,demand_EOM
0,2196.6
1,2173.0
2,2147.6
3,2136.0
4,2119.8
5,2095.2
6,2071.6
7,2044.2
8,2029.2
9,2010.2
10,1996.8
11,1986.6
12,1978.6
13,1962.4
14,1961.2
15,1960.2
16,1960.2
17,1957.0
18,1955.0
19,1947.2
20,1948.2
21,1934.0
22,1930.2
23,1914.6
24,1897.2
25,1898.0
26,1906.2
27,1923.0
28,1929.6
29,1940.8
30,1943.8
31,1960.8
32,1963.4
33,1970.8
34,1992.6
35,2011.8
36,2058.8
37,2092.4
38,2132.0
39,2164.0
40,2202.2
41,2232.0
42,2262.8
43,2288.0
44,2340.4
45,2380.0
46,2414.6
47,2423.4
48,2447.2
49,2460.2
50,2456.8
51,2460.4
52,2450.0
53,2437.8
54,2437.4
55,2433.2
56,2434.8
57,2425.4
58,2424.8
59,2421.8
60,2444.0
61,2447.6
62,2450.6
63,2451.2
64,2474.8
65,2502.2
66,2556.8
67,2604.8
68,2662.6
69,2684.0
70,2707.4
71,2725.4
72,2734.4
73,2735.4
74,2733.0
75,2730.0
76,2721.4
77,2695.6
78,2672.4
79,2640.8
80,2610.2
81,2586.4
82,2552.6
83,2521.0
84,2507.2
85,2489.6
86,2479.8
87,2470.8
88,2483.4
89,2450.6
90,2424.2
91,2389.8
92,2355.0
93,2319.0
94,2271.2
95,2246.2
96,2232.6
97,2202.2
98,2172.6
99,2158.2
100,2143.8
101,2113.6
102,2107.4
103,2100.2
104,2106.8
105,2098.0
106,2092.8
107,2090.0
108,2095.0
109,2111.8
110,2132.8
111,2146.0
112,2156.2
113,2173.0
114,2206.4
115,2235.6
116,2273.6
117,2302.2
118,2368.0
119,2442.4
120,2524.4
121,2606.2
122,2670.4
123,2742.4
124,2828.6
125,2885.2
126,2935.8
127,2984.2
128,3044.0
129,3056.4
130,3090.6
131,3111.8
132,3146.2
133,3154.6
134,3183.4
135,3201.8
136,3213.0
137,3214.4
138,3228.0
139,3239.0
140,3257.2
141,3281.8
142,3310.4
143,3308.8
144,3313.8
145,3304.6
146,3299.8
147,3291.8
148,3292.6
149,3275.2
150,3265.4
151,3230.2
152,3226.6
153,3213.0
154,3201.8
155,3181.4
156,3212.2
157,3201.6
158,3192.8
159,3187.2
160,3215.4
161,3220.8
162,3271.0
163,3330.2
164,3392.0
165,3425.8
166,3431.8
167,3438.4
168,3421.0
169,3405.8
170,3402.4
171,3393.8
172,3383.6
173,3337.8
174,3299.6
175,3266.8
176,3209.4
177,3159.2
178,3105.0
179,3066.6
180,3019.4
181,2989.6
182,2960.4
183,2939.2
184,2945.8
185,2908.8
186,2859.6
187,2812.4
188,2777.6
189,2722.0
190,2668.0
191,2625.0
192,2579.0
193,2570.0
194,2547.4
195,2507.0
196,2512.6
197,2503.4
198,2502.6
199,2489.8
200,2487.4
201,2484.4
202,2491.4
203,2488.4
204,2487.0
205,2475.4
206,2479.2
207,2489.8
208,2496.0
209,2508.2
210,2529.0
211,2553.2
212,2604.8
213,2620.8
214,2664.0
215,2720.0
216,2794.8
217,2860.0
218,2927.8
219,2986.6
220,3044.0
221,3085.8
222,3135.2
223,3180.4
224,3207.4
225,3229.2
226,3250.2
227,3273.6
228,3295.2
229,3301.8
230,3305.6
231,3315.2
232,3324.4
233,3327.4
234,3336.6
235,3346.4
236,3363.0
237,3380.8
238,3388.0
239,3381.6
240,3403.8
241,3390.6
242,3387.0
243,3379.4
244,3365.6
245,3340.0
246,3320.8
247,3300.4
248,3297.2
249,3282.4
250,3275.2
251,3260.4
252,3268.8
253,3247.4
254,3237.8
255,3248.2
256,3264.2
257,3288.4
258,3325.8
259,3383.6
260,3441.0
261,3467.4
262,3481.6
263,3485.0
264,3472.6
265,3459.0
266,3444.0
267,3435.4
268,3411.4
269,3369.6
270,3332.8
271,3309.8
272,3246.8
273,3185.2
274,3153.8
275,3111.2
276,3076.0
277,3049.8
278,3004.8
279,2987.8
280,2971.4
281,2937.8
282,2882.2
283,2855.6
284,2812.0
285,2758.6
286,2723.0
287,2696.2
288,2637.2
289,2605.0
290,2579.6
291,2552.2
292,2507.8
293,2496.0
294,2505.0
295,2498.4
296,2473.0
297,2466.4
298,2479.6
299,2486.2
300,2485.2
301,2489.6
302,2497.0
303,2518.4
304,2538.4
305,2540.0
306,2549.2
307,2581.0
308,2626.8
309,2637.0
310,2681.6
311,2730.2
312,2817.6
313,2887.4
314,2938.8
315,3014.4
316,3107.4
317,3161.0
318,3209.0
319,3248.0
320,3309.2
321,3337.0
322,3348.8
323,3369.6
324,3387.4
325,3415.4
326,3436.8
327,3430.6
328,3436.0
329,3444.2
330,3459.8
331,3473.4
332,3460.6
333,3477.6
334,3494.6
335,3507.0
336,3523.8
337,3513.4
338,3516.2
339,3500.2
340,3491.2
341,3462.6
342,3446.0
343,3411.2
344,3390.8
345,3368.4
346,3351.8
347,3338.2
348,3340.4
349,3327.8
350,3322.6
351,3320.8
352,3360.8
353,3372.8
354,3401.8
355,3431.6
356,3479.6
357,3493.6
358,3505.2
359,3506.8
360,3489.4
361,3472.8
362,3458.4
363,3438.4
364,3421.2
365,3373.2
366,3354.8
367,3314.4
368,3232.6
369,3182.2
370,3156.4
371,3097.0
372,3052.6
373,3027.6
374,3013.0
375,2973.8
376,2973.0
377,2953.0
378,2907.6
379,2863.8
380,2790.4
381,2749.2
382,2702.2
383,2657.0
384,2621.8
385,2595.8
386,2577.0
387,2536.6
388,2507.4
389,2465.4
390,2457.4
391,2432.8
392,2419.6
393,2394.4
394,2402.2
395,2389.8
396,2385.4
397,2372.6
398,2375.2
399,2377.8
400,2385.6
401,2380.0
402,2381.0
403,2380.2
404,2387.0
405,2385.6
406,2384.2
407,2383.6
408,2388.2
409,2403.0
410,2427.2
411,2447.6
412,2492.6
413,2525.6
414,2545.6
415,2588.4
416,2662.0
417,2712.4
418,2723.2
419,2763.6
420,2828.8
421,2855.4
422,2904.0
423,2930.2
424,2957.6
425,2977.2
426,2991.6
427,3016.0
428,3036.4
429,3040.2
430,3059.4
431,3048.2
432,3057.4
433,3045.2
434,3038.2
435,3017.6
436,3011.8
437,2981.8
438,2962.0
439,2948.0
440,2947.8
441,2923.2
442,2920.2
443,2903.4
444,2913.8
445,2899.6
446,2895.6
447,2898.4
448,2912.4
449,2929.2
450,2958.4
451,3010.8
452,3074.2
453,3091.0
454,3100.2
455,3112.4
456,3122.6
457,3089.2
458,3097.4
459,3078.2
460,3055.4
461,3020.8
462,2990.0
463,2953.8
464,2880.2
465,2828.0
466,2789.4
467,2759.8
468,2728.8
469,2705.8
470,2687.2
471,2665.4
472,2688.4
473,2662.8
474,2626.0
475,2602.2
476,2547.2
477,2502.8
478,2481.2
479,2452.8
480,2391.0
481,2337.4
482,2309.6
483,2282.6
484,2254.6
485,2228.6
486,2220.2
487,2205.8
488,2175.2
489,2165.6
490,2154.0
491,2147.2
492,2154.0
493,2159.8
494,2151.4
495,2143.6
496,2147.6
497,2157.0
498,2154.8
499,2157.8
500,2152.8
501,2133.2
502,2126.8
503,2118.6
504,2105.4
505,2111.4
506,2112.2
507,2122.4
508,2143.6
509,2150.4
510,2169.0
511,2207.2
512,2249.2
513,2275.2
514,2309.6
515,2355.4
516,2411.0
517,2455.8
518,2497.2
519,2527.8
520,2573.2
521,2605.0
522,2639.0
523,2671.2
524,2713.0
525,2741.0
526,2767.0
527,2779.0
528,2791.4
529,2776.8
530,2768.8
531,2755.6
532,2729.2
533,2705.0
534,2700.6
535,2682.4
536,2692.0
537,2680.8
538,2669.8
539,2652.4
540,2631.0
541,2637.4
542,2636.0
543,2637.4
544,2660.0
545,2690.6
546,2739.6
547,2801.4
548,2858.4
549,2896.6
550,2915.2
551,2922.2
552,2965.0
553,2960.4
554,2938.8
555,2909.8
556,2908.8
557,2869.6
558,2857.2
559,2822.8
560,2800.8
561,2767.4
562,2722.8
563,2699.6
564,2692.8
565,2683.6
566,2655.2
567,2648.4
568,2651.6
569,2669.0
570,2633.2
571,2591.0
572,2556.6
573,2524.6
574,2482.8
575,2443.8
576,2397.6
577,2363.0
578,2340.4
579,2312.6
580,2290.6
581,2262.4
582,2262.6
583,2247.0
584,2243.4
585,2233.0
586,2242.0
587,2248.4
588,2263.6
589,2267.8
590,2280.0
591,2290.6
592,2322.6
593,2348.6
594,2380.0
595,2420.0
596,2494.0
597,2542.2
598,2605.6
599,2698.4
600,2863.8
601,2981.6
602,3072.4
603,3145.0
604,3259.4
605,3302.2
606,3364.2
607,3400.0
608,3452.0
609,3455.0
610,3470.4
611,3479.2
612,3471.2
613,3469.4
614,3477.4
615,3494.8
616,3517.8
617,3537.8
618,3555.2
619,3559.6
620,3574.2
621,3590.2
622,3595.6
623,3597.2
624,3586.2
625,3584.2
626,3586.2
627,3586.4
628,3596.6
629,3597.6
630,3590.6
631,3565.6
632,3565.4
633,3570.4
634,3575.6
635,3572.4
636,3591.0
637,3572.2
638,3560.0
639,3565.2
640,3581.0
641,3612.0
642,3634.8
643,3675.2
644,3720.6
645,3733.8
646,3738.4
647,3743.2
648,3722.0
649,3695.8
650,3681.8
651,3666.4
652,3643.0
653,3602.2
654,3577.4
655,3560.0
656,3498.6
657,3446.4
658,3408.2
659,3362.4
660,3336.4
661,3299.4
662,3261.8
663,3208.2
664,3193.6
665,3146.4
666,3092.0
667,3027.0
668,2971.6
669,2938.4
670,2894.8
671,2867.6
672,2771.2
673,2739.2
674,2709.0
675,2686.0
676,2667.2
677,2650.8
678,2630.6
679,2602.4
680,2594.8
681,2594.2
682,2594.0
683,2595.0
684,2609.6
685,2616.2
686,2629.0
687,2640.6
688,2661.8
689,2685.8
690,2722.8
691,2749.0
692,2807.4
693,2837.2
694,2895.8
695,2957.2
696,3103.6
697,3194.6
698,3282.0
699,3365.0
700,3472.2
701,3535.4
702,3579.4
703,3615.8
704,3662.8
705,3680.0
706,3678.4
707,3668.2
708,3662.0
709,3677.0
710,3682.2
711,3689.8
712,3710.4
713,3700.0
714,3712.0
715,3715.4
716,3734.0
717,3740.2
718,3748.2
719,3736.0
720,3738.4
721,3728.0
722,3724.2
723,3720.2
724,3730.4
725,3727.4
726,3712.6
727,3700.4
728,3686.4
729,3684.4
730,3679.4
731,3663.4
732,3667.8
733,3660.6
734,3651.0
735,3652.8
736,3664.2
737,3673.4
738,3706.8
739,3737.2
740,3773.4
741,3787.2
742,3799.8
743,3800.2
744,3772.8
745,3775.2
746,3763.4
747,3742.0
748,3719.2
749,3682.8
750,3664.4
751,3631.6
752,3566.8
753,3501.2
754,3448.4
755,3401.4
756,3362.6
757,3322.8
758,3275.8
759,3245.0
760,3218.4
761,3171.2
762,3124.6
763,3074.0
764,3025.8
765,2979.8
766,2944.8
767,2902.2
768,2835.2
769,2800.6
770,2751.2
771,2723.2
772,2704.8
773,2696.6
774,2684.8
775,2656.6
776,2625.6
777,2641.6
778,2639.6
779,2647.6
780,2650.4
781,2644.6
782,2664.6
783,2686.4
784,2691.0
785,2729.6
786,2767.4
787,2765.4
788,2815.8
789,2851.4
790,2927.0
791,2965.8
792,3086.2
793,3212.6
794,3299.6
795,3389.2
796,3494.6
797,3544.8
798,3593.0
799,3645.8
800,3689.8
801,3712.8
802,3702.6
803,3707.4
804,3703.0
805,3726.4
806,3735.6
807,3756.8
808,3764.0
809,3758.8
810,3774.4
811,3793.8
812,3807.4
813,3811.2
814,3825.6
815,3822.0
816,3798.6
817,3790.6
818,3791.6
819,3789.0
820,3799.8
821,3784.6
822,3771.8
823,3751.0
824,3751.6
825,3756.0
826,3737.8
827,3725.4
828,3730.6
829,3707.0
830,3700.4
831,3691.6
832,3698.0
833,3707.8
834,3732.6
835,3776.8
836,3816.6
837,3848.6
838,3859.0
839,3856.4
840,3824.0
841,3805.6
842,3802.8
843,3785.0
844,3769.8
845,3733.8
846,3697.2
847,3658.6
848,3585.2
849,3518.4
850,3476.8
851,3431.8
852,3392.8
853,3355.8
854,3304.4
855,3247.6
856,3252.8
857,3213.4
858,3151.4
859,3081.2
860,3025.8
861,2969.0
862,2917.2
863,2879.0
864,2857.4
865,2833.0
866,2812.0
867,2762.2
868,2730.6
869,2707.6
870,2685.4
871,2668.2
872,2657.0
873,2648.6
874,2642.2
875,2651.8
876,2660.6
877,2654.4
878,2651.4
879,2662.2
