assume_storage_id,name,technology,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,unit_operator,operating_type,node,bidding_EOM,bidding_CRM_capacity_pos,bidding_CRM_capacity_neg,bidding_CRM_energy_pos,bidding_CRM_energy_neg,bidding_redispatch
storage_21,storage_21,battery,1.6825529864671147,1.7172484508506425,0.9797958971132712,0.9797958971132712,0.0,1.0,14.83463991171141,0.0,0.0,storage_battery,Market,DE0 1,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_22,storage_22,battery,2097.268804229456,2140.516009925257,0.9797958971132712,0.9797958971132712,0.0,1.0,277.9968422835683,0.0,0.0,storage_battery,Market,DE0 10,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_23,storage_23,battery,2097.268804229456,2140.516009925257,0.9797958971132712,0.9797958971132712,0.0,1.0,18494.14407640761,0.0,0.0,storage_battery,Market,DE0 10,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_24,storage_24,battery,980.2387062996854,1000.4519402336653,0.9797958971132712,0.9797958971132712,0.0,1.0,8643.903051217962,0.0,0.0,storage_battery,Market,DE0 11,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_25,storage_25,battery,1173.8628645266458,1198.0687692053727,0.9797958971132712,0.9797958971132712,0.0,1.0,10351.31134098758,0.0,0.0,storage_battery,Market,DE0 12,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_26,storage_26,battery,0.0396241403547367,0.0404412189023148,0.9797958971132712,0.9797958971132712,0.0,1.0,0.3448097523496255,0.0,0.0,storage_battery,Market,DE0 13,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_27,storage_27,battery,944.3232745329084,963.7959061835094,0.9797958971132712,0.9797958971132712,0.0,1.0,8327.177848445861,0.0,0.0,storage_battery,Market,DE0 14,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_28,storage_28,battery,0.0434774928658774,0.0443740303403854,0.9797958971132712,0.9797958971132712,0.0,1.0,0.3820917763721906,0.0,0.0,storage_battery,Market,DE0 15,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_29,storage_29,battery,1918.446906738004,1958.006675054232,0.9797958971132712,0.9797958971132712,0.0,1.0,924.4291035359968,0.0,0.0,storage_battery,Market,DE0 16,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_30,storage_30,battery,1918.446906738004,1958.006675054232,0.9797958971132712,0.9797958971132712,0.0,1.0,16917.255752310823,0.0,0.0,storage_battery,Market,DE0 16,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
