datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen
2035-01-01 00:00:00,3.2829200610224736,163.19640359680542,119.65592666536138,167.07409791131087,102.33854509906732,0.0,0.0,466.87522183788053,139.03996249862558
2035-01-01 01:00:00,3.2829200610224736,163.19640359680542,119.65592666536138,167.07409791131087,102.33854509906732,0.0,0.0,466.87522183788053,139.03996249862558
2035-01-01 02:00:00,3.2829200610224736,163.19640359680542,119.65592666536138,167.07409791131087,102.33854509906732,0.0,0.0,466.87522183788053,139.03996249862558
2035-01-01 03:00:00,3.282991237474865,163.19640359681998,119.65592669229656,167.07409792550527,102.33854727533004,0.0,0.0,466.87522183788053,139.02529160599263
2035-01-01 04:00:00,3.282991237474865,163.19640359681998,119.65592669229656,167.07409792550527,102.33854727533004,0.0,0.0,466.87522183788053,139.02529160599263
2035-01-01 05:00:00,3.282991237474865,163.19640359681998,119.65592669229656,167.07409792550527,102.33854727533004,0.0,0.0,466.87522183788053,139.02529160599263
2035-01-01 06:00:00,3.283062899714219,163.19640359682165,119.65592669395824,167.0740979383812,102.3385481022472,0.0,0.0,466.87522183788053,139.02337056672997
2035-01-01 07:00:00,3.283062899714219,163.19640359682165,119.65592669395824,167.0740979383812,102.3385481022472,0.0,0.0,466.87522183788053,139.02337056672997
2035-01-01 08:00:00,3.283062899714219,163.19640359682165,119.65592669395824,167.0740979383812,102.3385481022472,0.0,0.0,466.87522183788053,139.02337056672997
2035-01-01 09:00:00,3.2831348953766306,163.19640359680798,119.6559266776692,167.07409793456634,102.33854860905114,0.0,0.0,466.87522183788053,138.91339781260004
2035-01-01 10:00:00,3.2831348953766306,163.19640359680798,119.6559266776692,167.07409793456634,102.33854860905114,0.0,0.0,466.87522183788053,138.91339781260004
2035-01-01 11:00:00,3.2831348953766306,163.19640359680798,119.6559266776692,167.07409793456634,102.33854860905114,0.0,0.0,466.87522183788053,138.91339781260004
2035-01-01 12:00:00,3.283207341841816,163.19640359678792,119.65592667594692,167.07409793760493,102.33854899312452,0.0,0.0,466.87522183788053,138.9163061899744
2035-01-01 13:00:00,3.283207341841816,163.19640359678792,119.65592667594692,167.07409793760493,102.33854899312452,0.0,0.0,466.87522183788053,138.9163061899744
2035-01-01 14:00:00,3.283207341841816,163.19640359678792,119.65592667594692,167.07409793760493,102.33854899312452,0.0,0.0,466.87522183788053,138.9163061899744
2035-01-01 15:00:00,3.283280208245294,163.1964035967757,119.655926678951,167.07409794002214,102.33854930673824,0.0,0.0,466.87522183788053,138.91364384818408
2035-01-01 16:00:00,3.283280208245294,163.1964035967757,119.655926678951,167.07409794002214,102.33854930673824,0.0,0.0,466.87522183788053,138.91364384818408
