datetime,uranium,lignite,hard_coal,natural_gas,oil,biomass,co2
2025-01-01 00:00:00,0.9,1.8,8.507057661000001,25.8244992175,21.67,20.7,24.897578125
2025-01-01 00:15:00,0.9,1.8,8.507057661000001,25.8244992175,21.67,20.7,24.897578125
2025-01-01 00:30:00,0.9,1.8,8.507057661000001,25.8244992175,21.67,20.7,24.897578125
2025-01-01 00:45:00,0.9,1.8,8.507057661000001,25.8244992175,21.67,20.7,24.897578125
2025-01-01 01:00:00,0.9,1.8,8.5076898305,25.7031980025,21.67,20.7,24.904453125
2025-01-01 01:15:00,0.9,1.8,8.5076898305,25.7031980025,21.67,20.7,24.904453125
2025-01-01 01:30:00,0.9,1.8,8.5076898305,25.7031980025,21.67,20.7,24.904453125
2025-01-01 01:45:00,0.9,1.8,8.5076898305,25.7031980025,21.67,20.7,24.904453125
2025-01-01 02:00:00,0.9,1.8,8.5083220005,25.5818967875,21.67,20.7,24.911328125
2025-01-01 02:15:00,0.9,1.8,8.5083220005,25.5818967875,21.67,20.7,24.911328125
2025-01-01 02:30:00,0.9,1.8,8.5083220005,25.5818967875,21.67,20.7,24.911328125
2025-01-01 02:45:00,0.9,1.8,8.5083220005,25.5818967875,21.67,20.7,24.911328125
2025-01-01 03:00:00,0.9,1.8,8.50895417025,25.460595575,21.67,20.7,24.918203125
2025-01-01 03:15:00,0.9,1.8,8.50895417025,25.460595575,21.67,20.7,24.918203125
2025-01-01 03:30:00,0.9,1.8,8.50895417025,25.460595575,21.67,20.7,24.918203125
2025-01-01 03:45:00,0.9,1.8,8.50895417025,25.460595575,21.67,20.7,24.918203125
2025-01-01 04:00:00,0.9,1.8,8.5096258505,25.3455685625,21.67,20.7,24.925078125
2025-01-01 04:15:00,0.9,1.8,8.5096258505,25.3455685625,21.67,20.7,24.925078125
2025-01-01 04:30:00,0.9,1.8,8.5096258505,25.3455685625,21.67,20.7,24.925078125
2025-01-01 04:45:00,0.9,1.8,8.5096258505,25.3455685625,21.67,20.7,24.925078125
2025-01-01 05:00:00,0.9,1.8,8.51036338175,25.2409985525,21.67,20.7,24.931953125
2025-01-01 05:15:00,0.9,1.8,8.51036338175,25.2409985525,21.67,20.7,24.931953125
2025-01-01 05:30:00,0.9,1.8,8.51036338175,25.2409985525,21.67,20.7,24.931953125
2025-01-01 05:45:00,0.9,1.8,8.51036338175,25.2409985525,21.67,20.7,24.931953125
2025-01-01 06:00:00,0.9,1.8,8.51110091325,25.1364285375,21.67,20.7,24.938828125
2025-01-01 06:15:00,0.9,1.8,8.51110091325,25.1364285375,21.67,20.7,24.938828125
2025-01-01 06:30:00,0.9,1.8,8.51110091325,25.1364285375,21.67,20.7,24.938828125
2025-01-01 06:45:00,0.9,1.8,8.51110091325,25.1364285375,21.67,20.7,24.938828125
2025-01-01 07:00:00,0.9,1.8,8.5118384445,25.0318585275,21.67,20.7,24.945703125
2025-01-01 07:15:00,0.9,1.8,8.5118384445,25.0318585275,21.67,20.7,24.945703125
2025-01-01 07:30:00,0.9,1.8,8.5118384445,25.0318585275,21.67,20.7,24.945703125
2025-01-01 07:45:00,0.9,1.8,8.5118384445,25.0318585275,21.67,20.7,24.945703125
2025-01-01 08:00:00,0.9,1.8,8.512536465250001,24.96807082,21.67,20.7,24.952578125
2025-01-01 08:15:00,0.9,1.8,8.512536465250001,24.96807082,21.67,20.7,24.952578125
2025-01-01 08:30:00,0.9,1.8,8.512536465250001,24.96807082,21.67,20.7,24.952578125
2025-01-01 08:45:00,0.9,1.8,8.512536465250001,24.96807082,21.67,20.7,24.952578125
2025-01-01 09:00:00,0.9,1.8,8.513168635,24.97225362,21.67,20.7,24.959453125
2025-01-01 09:15:00,0.9,1.8,8.513168635,24.97225362,21.67,20.7,24.959453125
2025-01-01 09:30:00,0.9,1.8,8.513168635,24.97225362,21.67,20.7,24.959453125
2025-01-01 09:45:00,0.9,1.8,8.513168635,24.97225362,21.67,20.7,24.959453125
2025-01-01 10:00:00,0.9,1.8,8.5138008045,24.97643642,21.67,20.7,24.966328125
2025-01-01 10:15:00,0.9,1.8,8.5138008045,24.97643642,21.67,20.7,24.966328125
2025-01-01 10:30:00,0.9,1.8,8.5138008045,24.97643642,21.67,20.7,24.966328125
2025-01-01 10:45:00,0.9,1.8,8.5138008045,24.97643642,21.67,20.7,24.966328125
2025-01-01 11:00:00,0.9,1.8,8.5144329745,24.98061922,21.67,20.7,24.973203125
2025-01-01 11:15:00,0.9,1.8,8.5144329745,24.98061922,21.67,20.7,24.973203125
2025-01-01 11:30:00,0.9,1.8,8.5144329745,24.98061922,21.67,20.7,24.973203125
2025-01-01 11:45:00,0.9,1.8,8.5144329745,24.98061922,21.67,20.7,24.973203125
2025-01-01 12:00:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.980078125
2025-01-01 12:15:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.980078125
2025-01-01 12:30:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.980078125
2025-01-01 12:45:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.980078125
2025-01-01 13:00:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.986953125
2025-01-01 13:15:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.986953125
2025-01-01 13:30:00,0.9,1.8,8.51482808,24.98323347,21.67,20.7,24.986953125
