datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2
1/3/2030 2:00,3.30503775,62.63576329,57.8759291,86.36877285,76.68139148,24.62489926,0,130.7564852
1/3/2030 3:00,3.305099514,62.63576335,57.87592922,86.36877316,76.68139352,24.62489939,0,130.7571374
1/3/2030 4:00,3.305099514,62.63576335,57.87592922,86.36877316,76.68139352,24.62489939,0,130.7571374
1/3/2030 5:00,3.305099514,62.63576335,57.87592922,86.36877316,76.68139352,24.62489939,0,130.7571374
1/3/2030 6:00,3.305162338,62.63576335,57.87592923,86.36877331,76.68139539,24.62489942,0,130.7583859
1/3/2030 7:00,3.305162338,62.63576335,57.87592923,86.36877331,76.68139539,24.62489942,0,130.7583859
1/3/2030 8:00,3.305162338,62.63576335,57.87592923,86.36877331,76.68139539,24.62489942,0,130.7583859
1/3/2030 9:00,3.305226357,62.63576335,57.8759292,86.36877327,76.68139711,24.62489941,0,130.7600492
1/3/2030 10:00,3.305226357,62.63576335,57.8759292,86.36877327,76.68139711,24.62489941,0,130.7600492
1/3/2030 11:00,3.305226357,62.63576335,57.8759292,86.36877327,76.68139711,24.62489941,0,130.7600492
1/3/2030 12:00,3.305291735,62.63576335,57.87592923,86.3687733,76.68139872,24.62489944,0,130.762243
1/3/2030 13:00,3.305291735,62.63576335,57.87592923,86.3687733,76.68139872,24.62489944,0,130.762243
1/3/2030 14:00,3.305291735,62.63576335,57.87592923,86.3687733,76.68139872,24.62489944,0,130.762243
1/3/2030 15:00,3.305358573,62.63576335,57.87592926,86.36877333,76.68140024,24.62489948,0,130.7665146
1/3/2030 16:00,3.305358573,62.63576335,57.87592926,86.36877333,76.68140024,24.62489948,0,130.7665146
1/3/2030 17:00,3.305358573,62.63576335,57.87592926,86.36877333,76.68140024,24.62489948,0,130.7665146
1/3/2030 18:00,3.305426678,62.63576335,57.87592925,86.36877319,76.68140167,24.62489949,0,130.7667751
1/3/2030 19:00,3.305426678,62.63576335,57.87592925,86.36877319,76.68140167,24.62489949,0,130.7667751
1/3/2030 20:00,3.305426678,62.63576335,57.87592925,86.36877319,76.68140167,24.62489949,0,130.7667751
1/3/2030 21:00,3.305496036,62.63576335,57.87592919,86.36877296,76.68140302,24.62489944,0,130.7671186
1/3/2030 22:00,3.305496036,62.63576335,57.87592919,86.36877296,76.68140302,24.62489944,0,130.7671186
1/3/2030 23:00,3.305496036,62.63576335,57.87592919,86.36877296,76.68140302,24.62489944,0,130.7671186
1/4/2030 0:00,3.305566534,62.63576335,57.87592917,86.36877283,76.68140433,24.62489942,0,130.7679071
1/4/2030 1:00,3.305566534,62.63576335,57.87592917,86.36877283,76.68140433,24.62489942,0,130.7679071
1/4/2030 2:00,3.305566534,62.63576335,57.87592917,86.36877283,76.68140433,24.62489942,0,130.7679071
1/4/2030 3:00,3.305638155,62.63576335,57.87592923,86.36877313,76.6814056,24.6248995,0,130.7684041
1/4/2030 4:00,3.305638155,62.63576335,57.87592923,86.36877313,76.6814056,24.6248995,0,130.7684041
1/4/2030 5:00,3.305638155,62.63576335,57.87592923,86.36877313,76.6814056,24.6248995,0,130.7684041
1/4/2030 6:00,3.305711184,62.63576334,57.87592923,86.36877328,76.6814068,24.62489951,0,130.7700927
1/4/2030 7:00,3.305711184,62.63576334,57.87592923,86.36877328,76.6814068,24.62489951,0,130.7700927
1/4/2030 8:00,3.305711184,62.63576334,57.87592923,86.36877328,76.6814068,24.62489951,0,130.7700927
1/4/2030 9:00,3.305785859,62.63576329,57.87592914,86.36877328,76.68140794,24.62489943,0,130.7708327
1/4/2030 10:00,3.305785859,62.63576329,57.87592914,86.36877328,76.68140794,24.62489943,0,130.7708327
1/4/2030 11:00,3.305785859,62.63576329,57.87592914,86.36877328,76.68140794,24.62489943,0,130.7708327
1/4/2030 12:00,3.305862457,62.63576329,57.87592912,86.36877333,76.68140903,24.62489942,0,130.7716392
1/4/2030 13:00,3.305862457,62.63576329,57.87592912,86.36877333,76.68140903,24.62489942,0,130.7716392
