,supply_volume,demand_volume,uniform_price,price,node_id,product_start,product_end,only_hours,name,time
0,61280.87074829932,61280.87074829932,56.70936183428291,56.70936183428291,,2019-01-01 04:00:00,2019-01-01 05:00:00,,EOM,1546311600.0
0,51851.319727891154,51851.319727891154,47.39428221587596,47.39428221587596,,2019-01-01 06:00:00,2019-01-01 07:00:00,,EOM,1546318800.0
0,65641.95918367348,65641.95918367348,46.158676411356694,46.158676411356694,,2019-01-01 07:00:00,2019-01-01 08:00:00,,EOM,1546322400.0
0,0,0,3000.0,3000.0,,2019-01-01 08:00:00,2019-01-01 09:00:00,,EOM,1546326000.0
0,67623.61904761905,67623.61904761905,42.141303305369604,42.141303305369604,,2019-01-01 09:00:00,2019-01-01 10:00:00,,EOM,1546329600.0
0,57483.068493150684,57483.068493150684,38.7449192097118,38.7449192097118,,2019-01-01 10:00:00,2019-01-01 11:00:00,,EOM,1546333200.0
0,0,0,3000.0,3000.0,,2019-01-01 11:00:00,2019-01-01 12:00:00,,EOM,1546336800.0
0,64725.19727891157,64725.19727891157,32.11498381083203,32.11498381083203,,2019-01-01 12:00:00,2019-01-01 13:00:00,,EOM,1546340400.0
0,69800.57534246576,69800.57534246576,48.39974709861974,48.39974709861974,,2019-01-01 13:00:00,2019-01-01 14:00:00,,EOM,1546344000.0
0,0,0,3000.0,3000.0,,2019-01-01 14:00:00,2019-01-01 15:00:00,,EOM,1546347600.0
0,55605.397260273974,55605.397260273974,48.37301515350764,48.37301515350764,,2019-01-01 15:00:00,2019-01-01 16:00:00,,EOM,1546351200.0
0,64485.85034013606,64485.85034013606,98.8550106123386,98.8550106123386,,2019-01-01 16:00:00,2019-01-01 17:00:00,,EOM,1546354800.0
0,0,0,3000.0,3000.0,,2019-01-01 17:00:00,2019-01-01 18:00:00,,EOM,1546358400.0
0,66355.97260273973,66355.97260273973,55.736546838010725,55.736546838010725,,2019-01-01 18:00:00,2019-01-01 19:00:00,,EOM,1546362000.0
