,solar_00,solar_01_0,solar_01_1,solar_01_2,solar_02,solar_03_0,solar_03_1,solar_03_2,solar_04_0,solar_04_1,solar_04_2,solar_05,solar_06_0,solar_06_1,solar_06_2,solar_06_3,solar_07_0,solar_07_1,solar_08,solar_09_0,solar_09_1,solar_09_2,wind_offshore_00,wind_offshore_06,wind_offshore_07,wind_onshore_00_0,wind_onshore_00_1,wind_onshore_00_2,wind_onshore_01,wind_onshore_02,wind_onshore_03_0,wind_onshore_03_1,wind_onshore_04,wind_onshore_05,wind_onshore_06_0,wind_onshore_06_1,wind_onshore_07_0,wind_onshore_07_1,wind_onshore_07_2,wind_onshore_07_3,wind_onshore_08,wind_onshore_09
0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.000000001069,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0000000000005,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0000000000005,3000.0,3000.0,3000.0000000017535,3000.0000000015616,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0000000023956,3000.0,3000.0,3000.0,3000.0000000009804,3000.000000000001,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0000000017535,3000.0,3000.0,3000.0,3000.0000000009804
2,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.00000000187,3000.0,3000.0,3000.0000000015616,3000.0000000015098,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0000000017535,3000.0,3000.0,3000.0,3000.0000000017535,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,2999.9999999406073,3000.0,3000.0,3000.0,3000.00000000187
3,376.14775984890457,376.14775984890457,143.65347023361937,143.65347023361474,143.65347023361528,143.65347023361733,376.14775984890457,143.65347023361528,376.14775984890366,376.14775984890457,376.14775984890457,376.147759848905,376.14775984890457,376.1477598489047,110.41115662455613,376.14775984890457,376.14775984890457,376.14775984890457,376.14775984890457,143.65347023361937,376.1477598489041,376.14775984890457,376.147759848905,376.147759848905,96.61320942155974,97.07645437458565,96.79491938402523,376.1477598489047,376.14775984890457,376.14775984890457,58.46121240602854,93.60950109229111,143.65347023361528,376.14775984890593,58.4612124060285,93.60950108362957,143.65347023361528,57.342044520770514,376.147759848905,91.61939452615405,376.14775984890434,376.147759848905
4,57.34204452076938,57.34204452077048,57.34204452077048,57.34204452077002,57.34204452076938,57.342044520769505,57.34204452076938,57.34204452077048,57.342044520769974,57.34204452077048,57.34204452076938,57.34204449232816,57.34204452077048,57.34204452077048,57.34204452077048,57.34204452077062,57.34204451411631,57.34204452076938,57.34204452076938,57.34204452077048,57.34204452076986,57.34204452077048,91.61939449831587,91.61939449794659,91.61939811706212,90.23925800994681,91.61939449831587,90.23925799096016,90.13663309248284,23.83105459064913,90.23925798943846,91.61939451808156,91.61939449739879,91.61939449831587,57.34204452076483,91.61939449831587,57.34204452076392,57.342044520770514,91.61939451098482,91.61939449831587,91.61939449831587,86.84018844382584
5,57.34204452076938,57.34204452076938,57.34204452076938,57.34204449506528,57.34204452076938,57.34204452077127,57.34204452076938,57.34204452076938,57.34204452077158,57.34204452077048,57.34204452076938,57.342044520769605,57.34204452077048,57.34204452077048,57.34204452076938,57.34204452076938,57.34204452076938,57.34204452076938,57.34204452076938,57.34204452077048,57.342044520769974,57.34204452076938,57.34204452076973,91.61939449794613,91.61939449831586,57.34204452076938,91.61939449831587,90.23925798709237,91.61939450940251,57.34204452077178,91.61939449831587,91.6193945255324,91.61939449831829,91.61939449831587,89.58509672705247,57.342044520770955,57.34204452076938,39.13640033941302,91.61939454745631,91.61939449831587,91.61939449831587,91.61939449794612
6,57.34204452076938,96.79491939395714,96.79491938402523,96.7949193840272,57.34204452076938,57.34204452076955,57.34204452076938,57.34204452076938,57.34204452077189,57.34204452077048,57.34204452076938,57.34204452076938,96.79491938402523,96.79491938402526,96.79491940758375,90.13663309248294,57.34204452076938,57.34204452076938,57.34204452076938,57.34204452077048,57.34204452076938,57.34204452076938,95.56321717715791,96.7949193939569,96.7949193840247,96.6954719603602,96.7692685498818,57.34204452076983,90.13663310185115,96.79491938402523,95.56321717715784,95.5632171771577,96.79491938449996,96.79491936545301,96.60798689576276,96.79491942340566,91.61939449831587,32.87993081796725,96.79491938402523,96.79491938402523,96.79491946570319,96.79491939768884
7,23.831054590649487,23.83105459065041,57.34204452077097,23.83105459064882,23.83105459064882,23.831054590644726,57.342044520770486,23.831054590649487,23.831054590644726,23.831054590650375,57.342044520770514,23.831054590649956,23.831054590649956,57.34204452076938,23.831054590651522,23.831054590644726,23.831054590650375,23.831054590649487,23.831054590838903,23.831054590649956,23.831054590640193,57.342044520770514,23.83105459064882,23.831054590649956,23.831054590644673,23.831054590644726,23.831054590644726,57.34204452077597,23.831054590649682,23.831054590644726,23.831054590649956,23.831054590649956,23.831054590651192,23.831054590644726,23.831054590649956,23.831054590649956,23.831054590649842,57.342044520770514,23.831054590651135,23.831054590651224,23.831054590759493,23.831054590649956
8,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
9,-500.0,-499.9954481253051,-500.0,-500.0,-500.0,-499.9958619660974,-500.00000000000006,-500.0,-500.0,-499.99999999991604,-500.0,-500.0,-500.00000000185537,-500.00000000000006,-500.0,-500.0,-500.0,-500.0,-500.0,-500.00000000000006,-500.0,-500.0,-500.0,-500.00000000185537,-500.00000000000415,-500.0,-500.0,-499.9999999999997,-500.0,-500.00000000221115,-500.0,-500.0,-500.0000000020561,-500.0,-500.0,-500.0,-500.0,-500.00000000004377,-500.0,-500.0,-500.0,-500.00000000221416
10,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
11,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
