datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen,naphtha for industry,solid biomass for industry,natural gas for industry,hard coal for industry
1/1/2035 0:00,3.284287447,6.2696157436526585,27.45782807302903,175.3745301,104.4986851,0,0.0,497.5313993233674,140.1764999,87.4106357916535,96.06083290818282,125.9792269,173.499451
1/1/2035 1:00,3.284287447,6.2696157436526585,27.45782807302903,175.3745301,104.4986851,0,0.0,497.5313993233674,140.1764999,87.4106357916535,96.06083290818282,125.9792269,173.499451
1/1/2035 2:00,3.284287447,6.2696157436526585,27.45782807302903,175.3745301,104.4986851,0,0.0,497.5313993233674,140.1764999,87.4106357916535,96.06083290818282,125.9792269,173.499451
1/1/2035 3:00,3.284360503,6.269615738907135,27.45782837999928,175.3745303,104.4987126,0,0.0,497.5313993233674,140.2660623,87.30263913188834,96.0609255072072,125.9792272,173.499451
1/1/2035 4:00,3.284360503,6.269615738907135,27.45782837999928,175.3745303,104.4987126,0,0.0,497.5313993233674,140.2660623,87.30263913188834,96.0609255072072,125.9792272,173.499451
1/1/2035 5:00,3.284360503,6.269615738907135,27.45782837999928,175.3745303,104.4987126,0,0.0,497.5313993233674,140.2660623,87.30263913188834,96.0609255072072,125.9792272,173.499451
1/1/2035 6:00,3.284433885,6.2696157338046,27.45782839927068,175.3745305,104.4987237,0,0.0,497.5313993233674,140.332456,87.62640886642018,96.06096684475246,125.9792272,173.499451
1/1/2035 7:00,3.284433885,6.2696157338046,27.45782839927068,175.3745305,104.4987237,0,0.0,497.5313993233674,140.332456,87.62640886642018,96.06096684475246,125.9792272,173.499451
1/1/2035 8:00,3.284433885,6.2696157338046,27.45782839927068,175.3745305,104.4987237,0,0.0,497.5313993233674,140.332456,87.62640886642018,96.06096684475246,125.9792272,173.499451
1/1/2035 9:00,3.284507763,6.269615728780309,27.45782819462289,175.3745304,104.4987305,0,0.0,497.5313993233674,140.111139,90.05756287456865,96.06099337624632,125.979227,173.499451
1/1/2035 10:00,3.284507763,6.269615728780309,27.45782819462289,175.3745304,104.4987305,0,0.0,497.5313993233674,140.111139,90.05756287456865,96.06099337624632,125.979227,173.499451
1/1/2035 11:00,3.284507763,6.269615728780309,27.45782819462289,175.3745304,104.4987305,0,0.0,497.5313993233674,140.111139,90.05756287456865,96.06099337624632,125.979227,173.499451
1/1/2035 12:00,3.28458219,6.269615727506174,27.45782817489719,175.3745305,104.4987357,0,0.0,497.5313993233674,140.1539586,90.04678806026166,96.0610133356652,125.979227,173.499451
1/1/2035 13:00,3.28458219,6.269615727506174,27.45782817489719,175.3745305,104.4987357,0,0.0,497.5313993233674,140.1539586,90.04678806026166,96.0610133356652,125.979227,173.499451
1/1/2035 14:00,3.28458219,6.269615727506174,27.45782817489719,175.3745305,104.4987357,0,0.0,497.5313993233674,140.1539586,90.04678806026166,96.0610133356652,125.979227,173.499451
1/1/2035 15:00,3.284657222,6.269615730006875,27.45782820917105,175.3745305,104.4987399,0,0.0,497.5313993233674,140.1534371,90.00286778260747,96.06102939575698,125.9792271,173.499451
1/1/2035 16:00,3.284657222,6.269615730006875,27.45782820917105,175.3745305,104.4987399,0,0.0,497.5313993233674,140.1534371,90.00286778260747,96.06102939575698,125.9792271,173.499451
1/1/2035 17:00,3.284657222,6.269615730006875,27.45782820917105,175.3745305,104.4987399,0,0.0,497.5313993233674,140.1534371,90.00286778260747,96.06102939575698,125.9792271,173.499451
1/1/2035 18:00,3.284732806,6.269615731464355,27.45782821127985,175.3745303,104.4987434,0,0.0,497.5313993233674,140.0461581,89.98883057182667,96.06104277350587,125.9792271,173.499451
1/1/2035 19:00,3.284732806,6.269615731464355,27.45782821127985,175.3745303,104.4987434,0,0.0,497.5313993233674,140.0461581,89.98883057182667,96.06104277350587,125.9792271,173.499451
1/1/2035 20:00,3.284732806,6.269615731464355,27.45782821127985,175.3745303,104.4987434,0,0.0,497.5313993233674,140.0461581,89.98883057182667,96.06104277350587,125.9792271,173.499451
1/1/2035 21:00,3.284809054,6.269615731956051,27.45782803413822,175.3745302,104.4987464,0,0.0,497.5313993233674,139.9931878,90.4487707615214,96.0610542831282,125.9792269,173.499451
1/1/2035 22:00,3.284809054,6.269615731956051,27.45782803413822,175.3745302,104.4987464,0,0.0,497.5313993233674,139.9931878,90.4487707615214,96.0610542831282,125.9792269,173.499451
