name,technology,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,unit_operator,operating_type,node
powerplant_41,onshore wind,renewable,0.0,0.1400560251106316,0.0,1.0,0.1400560251106316,0.1400560251106316,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_42,run-of-river hydro,renewable,0.0,244.459,0.0,0.9,244.459,244.459,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_44,solar,renewable,0.0,3506.954047290433,0.0,1.0,3506.954047290433,3506.954047290433,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10 low voltage
powerplant_45,solar,renewable,0.0,0.0001918228532662,0.0,1.0,0.0001918228532662,0.0001918228532662,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10 low voltage
powerplant_46,solar,renewable,0.0,69.19414508299107,0.0,1.0,69.19414508299107,69.19414508299107,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_47,solar,renewable,0.0,568.2328660059432,0.0,1.0,568.2328660059432,568.2328660059432,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_48,solar,renewable,0.0,756.004825113751,0.0,1.0,756.004825113751,756.004825113751,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_49,solar,renewable,0.0,514.751790087842,0.0,1.0,514.751790087842,514.751790087842,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_50,solar,renewable,0.0,9417.57295539687,0.0,1.0,9417.57295539687,9417.57295539687,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_51,solar,renewable,0.0,3109.806420599226,0.0,1.0,3109.806420599226,3109.806420599226,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_52,solar,renewable,0.0,0.2036615491666341,0.0,1.0,0.2036615491666341,0.2036615491666341,0.0,0.0,0.0,0.0,0,0,,Market,DE0 10
powerplant_56,onshore wind,renewable,0.0,285.01093058498776,0.0,1.0,285.01093058498776,285.01093058498776,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_57,onshore wind,renewable,0.0,481.07850837167496,0.0,1.0,481.07850837167496,481.07850837167496,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_58,onshore wind,renewable,0.0,435.97535410102216,0.0,1.0,435.97535410102216,435.97535410102216,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_59,onshore wind,renewable,0.0,0.5031893353198439,0.0,1.0,0.5031893353198439,0.5031893353198439,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_60,run-of-river hydro,renewable,0.0,9.065,0.0,0.9,9.065,9.065,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_62,solar,renewable,0.0,67.6441718855259,0.0,1.0,67.6441718855259,67.6441718855259,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11 low voltage
powerplant_63,solar,renewable,0.0,3086.7698253973563,0.0,1.0,3086.7698253973563,3086.7698253973563,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11 low voltage
powerplant_64,solar,renewable,0.0,336.741491905465,0.0,1.0,336.741491905465,336.741491905465,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11 low voltage
powerplant_65,solar,renewable,0.0,66.49657390174964,0.0,1.0,66.49657390174964,66.49657390174964,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_66,solar,renewable,0.0,546.080000301289,0.0,1.0,546.080000301289,546.080000301289,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_67,solar,renewable,0.0,726.5315679955324,0.0,1.0,726.5315679955324,726.5315679955324,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_68,solar,renewable,0.0,494.6839151745433,0.0,1.0,494.6839151745433,494.6839151745433,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_69,solar,renewable,0.0,2231.8810906512454,0.0,1.0,2231.8810906512454,2231.8810906512454,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_70,solar,renewable,0.0,4907.64369413322,0.0,1.0,4907.64369413322,4907.64369413322,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_71,solar,renewable,0.0,0.2179457829673651,0.0,1.0,0.2179457829673651,0.2179457829673651,0.0,0.0,0.0,0.0,0,0,,Market,DE0 11
powerplant_75,onshore wind,renewable,0.0,299.6770181639437,0.0,1.0,299.6770181639437,299.6770181639437,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_76,onshore wind,renewable,0.0,505.8338380064049,0.0,1.0,505.8338380064049,505.8338380064049,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_77,onshore wind,renewable,0.0,458.40978134166426,0.0,1.0,458.40978134166426,458.40978134166426,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_78,onshore wind,renewable,0.0,4561.817437160552,0.0,1.0,4561.817437160552,4561.817437160552,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_79,onshore wind,renewable,0.0,424.720270931047,0.0,1.0,424.720270931047,424.720270931047,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_80,run-of-river hydro,renewable,0.0,124.045,0.0,0.9,124.045,124.045,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_82,solar,renewable,0.0,3593.076833536962,0.0,1.0,3593.076833536962,3593.076833536962,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12 low voltage
powerplant_83,solar,renewable,0.0,0.0001344248066816,0.0,1.0,0.0001344248066816,0.0001344248066816,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12 low voltage
powerplant_84,solar,renewable,0.0,64.98322478337374,0.0,1.0,64.98322478337374,64.98322478337374,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_85,solar,renewable,0.0,533.652146676233,0.0,1.0,533.652146676233,533.652146676233,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_86,solar,renewable,0.0,709.9969430760166,0.0,1.0,709.9969430760166,709.9969430760166,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_87,solar,renewable,0.0,483.42577092969447,0.0,1.0,483.42577092969447,483.42577092969447,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_88,solar,renewable,0.0,714.5170609921485,0.0,1.0,714.5170609921485,714.5170609921485,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
powerplant_89,solar,renewable,0.0,6890.836909698023,0.0,1.0,6890.836909698023,6890.836909698023,0.0,0.0,0.0,0.0,0,0,,Market,DE0 12
