datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen,naphtha for industry,solid biomass for industry,natural gas for industry,hard coal for industry
2029-12-31 00:00:00,3.3028277360758715,6.215819821789025,24.713985111305902,89.00404405322809,78.13825112188162,0.0,0.0,177.5742683278162,87.92949312488298,56.594002351356046,67.48435130422057,59.88430929309427,65.90821121058951
2029-12-31 01:00:00,3.3028277360758715,6.215819821789025,24.713985111305902,89.00404405322809,78.13825112188162,0.0,0.0,177.5742683278162,87.92949312488298,56.594002351356046,67.48435130422057,59.88430929309427,65.90821121058951
2029-12-31 02:00:00,3.3028277360758715,6.215819821789025,24.713985111305902,89.00404405322809,78.13825112188162,0.0,0.0,177.5742683278162,87.92949312488298,56.594002351356046,67.48435130422057,59.88430929309427,65.90821121058951
2029-12-31 03:00:00,3.3028812682264057,6.215819831148259,24.71398540127005,89.00404463368456,78.1383280744413,0.0,0.0,177.5742683278162,88.07803917571492,56.95657803131625,67.48462645733034,59.88430958305841,65.90821121994874
2029-12-31 04:00:00,3.3028812682264057,6.215819831148259,24.71398540127005,89.00404463368456,78.1383280744413,0.0,0.0,177.5742683278162,88.07803917571492,56.95657803131625,67.48462645733034,59.88430958305841,65.90821121994874
2029-12-31 05:00:00,3.3028812682264057,6.215819831148259,24.71398540127005,89.00404463368456,78.1383280744413,0.0,0.0,177.5742683278162,88.07803917571492,56.95657803131625,67.48462645733034,59.88430958305841,65.90821121994874
2029-12-31 06:00:00,3.3029353527312484,6.215819820533496,24.713985391761373,89.00404492583796,78.13835713405119,0.0,0.0,177.5742683278162,88.23112523319433,57.48571883864947,67.48474712048056,59.88430957354973,65.90821120933398
2029-12-31 07:00:00,3.3029353527312484,6.215819820533496,24.713985391761373,89.00404492583796,78.13835713405119,0.0,0.0,177.5742683278162,88.23112523319433,57.48571883864947,67.48474712048056,59.88430957354973,65.90821120933398
2029-12-31 08:00:00,3.3029353527312484,6.215819820533496,24.713985391761373,89.00404492583796,78.13835713405119,0.0,0.0,177.5742683278162,88.23112523319433,57.48571883864947,67.48474712048056,59.88430957354973,65.90821120933398
2029-12-31 09:00:00,3.302990465234781,6.215819759406236,24.71398521337053,89.00404483283963,78.13837535887903,0.0,0.0,177.5742683278162,88.83049353485886,58.69323506595198,67.4848258645141,59.88430939515889,65.90821114820672
2029-12-31 10:00:00,3.302990465234781,6.215819759406236,24.71398521337053,89.00404483283963,78.13837535887903,0.0,0.0,177.5742683278162,88.83049353485886,58.69323506595198,67.4848258645141,59.88430939515889,65.90821114820672
2029-12-31 11:00:00,3.302990465234781,6.215819759406236,24.71398521337053,89.00404483283963,78.13837535887903,0.0,0.0,177.5742683278162,88.83049353485886,58.69323506595198,67.4848258645141,59.88430939515889,65.90821114820672
