,availability_Biomass,availability_Unit 3,fuel_price_co2,fuel_price_lignite,fuel_price_uranium,availability_Wind onshore,availability_Hydro,fuel_price_natural gas,hydrogen_demand,fuel_price_hard coal,availability_Unit 1,availability_Solar,availability_Unit 4,demand_EOM,residual_load_EOM,availability_Wind offshore,fuel_price_oil,fuel_price_biomass,availability_Unit 2,price_EOM,heat_demand,360_residential_load_profile
1/1/2019 0:00,0.591217026,1,25,2,1,0.375925926,0.315384615,25,1.192295055,10,1,0,1,101.5,101.5,0.414880952,40,20,1,125.4771745,2,4
1/1/2019 1:00,0.588009592,1,25,2,1,0.4142978,0.314524291,25,1.041001698,10,1,0,1,105.5,105.5,0.379365079,40,20,1,120.4416025,2,4
1/1/2019 2:00,0.583513189,1,25,2,1,0.427679075,0.305870445,25,1.338906337,10,1,0,1,109.5,109.5,0.325330688,40,20,1,65.25755752,2,4
1/1/2019 3:00,0.583423261,1,25,2,1,0.448773266,0.302580972,25,1.228263057,10,1,0,1,113.5,113.5,0.356845238,40,20,1,65.05751054,2,4
1/1/2019 4:00,0.583603118,1,25,2,1,0.487337845,0.295192308,25,0.565546359,10,1,0,1,117.5,117.5,0.34103836,40,20,1,64.34654923,2,4
1/1/2019 5:00,0.582703837,1,25,2,1,0.515679639,0.280364372,25,0.851542344,10,1,0,1,121.5,121.5,0.314649471,40,20,1,56.94119144,2,4
1/1/2019 6:00,0.583723022,1,25,2,1,0.546836811,0.286690283,25,1.216490358,10,1,0,1,125.5,125.5,0.255324074,40,20,1,54.01966825,2,4
1/1/2019 7:00,0.585311751,1,25,2,1,0.562234443,0.289878543,25,0.990531892,10,1,0,1,129.5,129.5,0.270436508,40,20,1,52.57165899,2,4
1/1/2019 8:00,0.58764988,1,25,2,1,0.572278624,0.292712551,25,1.172507592,10,1,0.001724314,1,133.5,133.5,0.292063492,40,20,1,54.775,2,4
1/1/2019 9:00,0.58764988,1,25,2,1,0.567771198,0.300253036,25,1.149236882,10,1,0.011926934,1,137.5,137.5,0.274470899,40,20,1,13.02727273,2,4
1/1/2019 10:00,0.588579137,1,25,2,1,0.588663283,0.31082996,25,0.957387699,10,1,0.028013713,1,141.5,141.5,0.285085979,40,20,1,13.02727273,2,4
1/1/2019 11:00,0.58809952,1,25,2,1,0.620229366,0.318522267,25,1.144472565,10,1,0.042023127,1,145.5,145.5,0.360085979,40,20,1,13.02727273,2,4
1/1/2019 12:00,0.588429257,1,25,2,1,0.627538071,0.323987854,25,1.367823391,10,1,0.045676422,1,149.5,149.5,0.333465608,40,20,1,13.02727273,2,4
1/1/2019 13:00,0.588009592,1,25,2,1,0.642446889,0.318218623,25,1.088950044,10,1,0.041066312,1,153.5,153.5,0.301984127,40,20,1,13.02727273,2,4
1/1/2019 14:00,0.587889688,1,25,2,1,0.650940026,0.325101215,25,1.089425701,10,1,0.026550348,1,157.5,157.5,0.296891534,40,20,1,13.02727273,2,4
1/1/2019 15:00,0.587140288,1,25,2,1,0.652909381,0.315789474,25,1.357370356,10,1,0.009107655,1,161.5,161.5,0.280456349,40,20,1,13.02727273,2,4
1/1/2019 16:00,0.586840528,1,25,2,1,0.671907313,0.315738866,25,1.238798028,10,1,0.000445149,1,165.5,165.5,0.293154762,40,20,1,52.57165899,2,4
1/1/2019 17:00,0.586300959,1,25,2,1,0.6821348,0.292560729,25,1.092705782,10,1,0,1,169.5,169.5,0.299834656,40,20,1,52.57165899,2,4
