datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg,pos_reserve_energy_DE,neg_reserve_energy_DE
2019-01-02 02:15:00,41960,2756,2827,0,976
2019-01-02 02:30:00,41856,2756,2827,4,1060
2019-01-02 02:45:00,41800,2756,2827,4,848
2019-01-02 03:00:00,41900,2756,2827,4,1028
2019-01-02 03:15:00,42236,2756,2827,0,1108
2019-01-02 03:30:00,42656,2756,2827,0,744
2019-01-02 03:45:00,42920,2756,2827,0,556
2019-01-02 04:00:00,43124,2756,2827,0,1128
2019-01-02 04:15:00,43460,2756,2827,0,948
2019-01-02 04:30:00,44128,2756,2827,4,820
2019-01-02 04:45:00,44712,2756,2827,0,864
2019-01-02 05:00:00,45472,2756,2827,0,676
2019-01-02 05:15:00,46044,2756,2827,0,424
2019-01-02 05:30:00,47360,2756,2827,0,420
2019-01-02 05:45:00,48848,2756,2827,4,300
2019-01-02 06:00:00,50488,2756,2827,0,1044
2019-01-02 06:15:00,52124,2756,2827,4,908
2019-01-02 06:30:00,53408,2756,2827,4,828
2019-01-02 06:45:00,54848,2756,2827,0,700
2019-01-02 07:00:00,56572,2756,2827,0,1568
2019-01-02 07:15:00,57704,2756,2827,0,1320
2019-01-02 07:30:00,58716,2756,2827,12,720
2019-01-02 07:45:00,59684,2756,2827,4,500
2019-01-02 08:00:00,60880,2756,2827,4,772
2019-01-02 08:15:00,61128,2756,2827,4,384
2019-01-02 08:30:00,61812,2756,2827,20,304
2019-01-02 08:45:00,62236,2756,2827,4,88
2019-01-02 09:00:00,62924,2756,2827,4,536
2019-01-02 09:15:00,63092,2756,2827,12,348
2019-01-02 09:30:00,63668,2756,2827,8,336
2019-01-02 09:45:00,64036,2756,2827,0,220
2019-01-02 10:00:00,64260,2756,2827,0,312
2019-01-02 10:15:00,64288,2756,2827,0,468
2019-01-02 10:30:00,64560,2756,2827,0,600
2019-01-02 10:45:00,64780,2756,2827,0,1052
2019-01-02 11:00:00,65144,2756,2827,0,976
2019-01-02 11:15:00,65636,2756,2827,4,600
2019-01-02 11:30:00,66208,2756,2827,0,376
2019-01-02 11:45:00,66176,2756,2827,0,1116
2019-01-02 12:00:00,66276,2756,2827,4,680
2019-01-02 12:15:00,66092,2756,2827,0,1016
2019-01-02 12:30:00,65996,2756,2827,4,1020
2019-01-02 12:45:00,65836,2756,2827,0,848
2019-01-02 13:00:00,65852,2756,2827,0,428
2019-01-02 13:15:00,65504,2756,2827,0,652
2019-01-02 13:30:00,65308,2756,2827,4,412
2019-01-02 13:45:00,64604,2756,2827,12,248
2019-01-02 14:00:00,64532,2756,2827,0,1476
2019-01-02 14:15:00,64260,2756,2827,76,964
2019-01-02 14:30:00,64036,2756,2827,116,284
2019-01-02 14:45:00,63628,2756,2827,4,24
2019-01-02 15:00:00,64244,2756,2827,0,608
2019-01-02 15:15:00,64032,2756,2827,0,500
2019-01-02 15:30:00,63856,2756,2827,0,704
2019-01-02 15:45:00,63744,2756,2827,0,708
2019-01-02 16:00:00,64308,2756,2827,0,780
2019-01-02 16:15:00,64416,2756,2827,4,164
2019-01-02 16:30:00,65420,2756,2827,236,32
2019-01-02 16:45:00,66604,2756,2827,192,4
2019-01-02 17:00:00,67840,2756,2827,28,100
2019-01-02 17:15:00,68516,2756,2827,36,4
2019-01-02 17:30:00,68636,2756,2827,56,12
2019-01-02 17:45:00,68768,2756,2827,396,0
2019-01-02 18:00:00,68420,2756,2827,40,52
2019-01-02 18:15:00,68116,2756,2827,0,100
2019-01-02 18:30:00,68048,2756,2827,4,28
2019-01-02 18:45:00,67876,2756,2827,32,4
2019-01-02 19:00:00,67672,2756,2827,200,8
2019-01-02 19:15:00,66756,2756,2827,20,20
2019-01-02 19:30:00,65992,2756,2827,4,228
2019-01-02 19:45:00,65336,2756,2827,0,372
2019-01-02 20:00:00,64188,2756,2827,48,116
2019-01-02 20:15:00,63184,2756,2827,4,200
2019-01-02 20:30:00,62100,2756,2827,0,312
2019-01-02 20:45:00,61332,2756,2827,0,372
2019-01-02 21:00:00,60388,2756,2827,132,72
2019-01-02 21:15:00,59792,2756,2827,8,12
2019-01-02 21:30:00,59208,2756,2827,4,12
2019-01-02 21:45:00,58784,2756,2827,16,56
2019-01-02 22:00:00,58916,2756,2827,552,8
2019-01-02 22:15:00,58176,2756,2827,240,4
2019-01-02 22:30:00,57192,2756,2827,328,4
2019-01-02 22:45:00,56248,2756,2827,504,0
2019-01-02 23:00:00,55552,2756,2827,556,0
2019-01-02 23:15:00,54440,2756,2827,572,28
2019-01-02 23:30:00,53360,2756,2827,252,16
2019-01-02 23:45:00,52500,2756,2827,24,20
2019-01-03 00:00:00,51580,2756,2827,424,8
2019-01-03 00:15:00,51400,2756,2827,752,0
2019-01-03 00:30:00,50948,2756,2827,856,0
2019-01-03 00:45:00,50140,2756,2827,68,12
2019-01-03 01:00:00,50252,2756,2827,152,4
2019-01-03 01:15:00,50068,2756,2827,336,0
2019-01-03 01:30:00,50052,2756,2827,284,28
2019-01-03 01:45:00,49796,2756,2827,4,36
2019-01-03 02:00:00,49748,2756,2827,180,4
2019-01-03 02:15:00,49688,2756,2827,12,112
2019-01-03 02:30:00,49828,2756,2827,272,16
2019-01-03 02:45:00,49768,2756,2827,32,8
2019-01-03 03:00:00,49740,2756,2827,312,0
2019-01-03 03:15:00,49508,2756,2827,8,4
2019-01-03 03:30:00,49584,2756,2827,4,28
2019-01-03 03:45:00,49796,2756,2827,0,300
2019-01-03 04:00:00,49920,2756,2827,0,92
2019-01-03 04:15:00,50164,2756,2827,0,360
2019-01-03 04:30:00,50580,2756,2827,0,412
2019-01-03 04:45:00,51064,2756,2827,4,260
2019-01-03 05:00:00,52096,2756,2827,16,276
2019-01-03 05:15:00,52416,2756,2827,0,484
2019-01-03 05:30:00,53280,2756,2827,0,292
2019-01-03 05:45:00,54400,2756,2827,4,40
2019-01-03 06:00:00,55896,2756,2827,4,336
2019-01-03 06:15:00,57200,2756,2827,0,428
2019-01-03 06:30:00,58556,2756,2827,0,288
2019-01-03 06:45:00,59732,2756,2827,36,96
2019-01-03 07:00:00,60880,2756,2827,4,1388
2019-01-03 07:15:00,61716,2756,2827,0,1488
2019-01-03 07:30:00,62704,2756,2827,8,1080
2019-01-03 07:45:00,63608,2756,2827,152,440
2019-01-03 08:00:00,64148,2756,2827,212,220
2019-01-03 08:15:00,64584,2756,2827,56,24
2019-01-03 08:30:00,65004,2756,2827,68,4
2019-01-03 08:45:00,65472,2756,2827,32,40
2019-01-03 09:00:00,65904,2756,2827,224,56
2019-01-03 09:15:00,66036,2756,2827,500,0
2019-01-03 09:30:00,66112,2756,2827,408,0
2019-01-03 09:45:00,66304,2756,2827,412,0
2019-01-03 10:00:00,66488,2756,2827,344,4
2019-01-03 10:15:00,66548,2756,2827,200,4
2019-01-03 10:30:00,66732,2756,2827,524,0
2019-01-03 10:45:00,66928,2756,2827,404,0
2019-01-03 11:00:00,67260,2756,2827,688,0
2019-01-03 11:15:00,67616,2756,2827,544,0
2019-01-03 11:30:00,67760,2756,2827,664,0
2019-01-03 11:45:00,67632,2756,2827,968,0
2019-01-03 12:00:00,68076,2756,2827,848,0
2019-01-03 12:15:00,67812,2756,2827,340,4
2019-01-03 12:30:00,67740,2756,2827,516,0
2019-01-03 12:45:00,67588,2756,2827,56,4
2019-01-03 13:00:00,67312,2756,2827,300,0
2019-01-03 13:15:00,66800,2756,2827,24,0
2019-01-03 13:30:00,66416,2756,2827,8,8
2019-01-03 13:45:00,66008,2756,2827,4,64
2019-01-03 14:00:00,65944,2756,2827,28,36
2019-01-03 14:15:00,65648,2756,2827,68,8
2019-01-03 14:30:00,65504,2756,2827,4,8
2019-01-03 14:45:00,65208,2756,2827,4,56
2019-01-03 15:00:00,65376,2756,2827,124,44
2019-01-03 15:15:00,64948,2756,2827,72,4
2019-01-03 15:30:00,64756,2756,2827,8,12
2019-01-03 15:45:00,64964,2756,2827,4,4
2019-01-03 16:00:00,65284,2756,2827,16,108
2019-01-03 16:15:00,65768,2756,2827,28,20
2019-01-03 16:30:00,66516,2756,2827,4,32
2019-01-03 16:45:00,67672,2756,2827,24,28
2019-01-03 17:00:00,68820,2756,2827,0,128
2019-01-03 17:15:00,69348,2756,2827,4,20
2019-01-03 17:30:00,69632,2756,2827,32,28
2019-01-03 17:45:00,69700,2756,2827,444,0
2019-01-03 18:00:00,69452,2756,2827,656,0
2019-01-03 18:15:00,69180,2756,2827,640,0
2019-01-03 18:30:00,68880,2756,2827,384,0
2019-01-03 18:45:00,68708,2756,2827,172,8
2019-01-03 19:00:00,68228,2756,2827,48,4
2019-01-03 19:15:00,67392,2756,2827,12,8
2019-01-03 19:30:00,66656,2756,2827,8,176
2019-01-03 19:45:00,66196,2756,2827,0,400
2019-01-03 20:00:00,64936,2756,2827,104,40
2019-01-03 20:15:00,63704,2756,2827,100,120
2019-01-03 20:30:00,63076,2756,2827,20,68
2019-01-03 20:45:00,62224,2756,2827,0,212
2019-01-03 21:00:00,61520,2756,2827,476,4
2019-01-03 21:15:00,60996,2756,2827,456,0
2019-01-03 21:30:00,60096,2756,2827,92,0
2019-01-03 21:45:00,59756,2756,2827,44,4
2019-01-03 22:00:00,59428,2756,2827,372,4
2019-01-03 22:15:00,58756,2756,2827,212,0
2019-01-03 22:30:00,57644,2756,2827,136,4
2019-01-03 22:45:00,57112,2756,2827,256,4
2019-01-03 23:00:00,56240,2756,2827,332,8
2019-01-03 23:15:00,55172,2756,2827,56,4
2019-01-03 23:30:00,54460,2756,2827,52,16
2019-01-03 23:45:00,53924,2756,2827,104,20
2019-01-04 00:00:00,52744,2756,2827,756,0
2019-01-04 00:15:00,52100,2756,2827,376,0
2019-01-04 00:30:00,51592,2756,2827,8,8
2019-01-04 00:45:00,51044,2756,2827,0,272
2019-01-04 01:00:00,50156,2756,2827,28,36
2019-01-04 01:15:00,49920,2756,2827,48,4
2019-01-04 01:30:00,50100,2756,2827,28,4
2019-01-04 01:45:00,49968,2756,2827,4,136
2019-01-04 02:00:00,49460,2756,2827,304,4
2019-01-04 02:15:00,49328,2756,2827,124,4
2019-01-04 02:30:00,49592,2756,2827,92,4
2019-01-04 02:45:00,49724,2756,2827,16,56
2019-01-04 03:00:00,49704,2756,2827,572,0
2019-01-04 03:15:00,49792,2756,2827,236,0
2019-01-04 03:30:00,49940,2756,2827,60,8
2019-01-04 03:45:00,50368,2756,2827,16,44
2019-01-04 04:00:00,50768,2756,2827,104,20
2019-01-04 04:15:00,50800,2756,2827,172,0
2019-01-04 04:30:00,50984,2756,2827,308,0
2019-01-04 04:45:00,51620,2756,2827,524,0
2019-01-04 05:00:00,52536,2756,2827,396,4
2019-01-04 05:15:00,52740,2756,2827,204,0
2019-01-04 05:30:00,53632,2756,2827,244,0
2019-01-04 05:45:00,54604,2756,2827,256,0
2019-01-04 06:00:00,56352,2756,2827,4,180
2019-01-04 06:15:00,57748,2756,2827,236,4
2019-01-04 06:30:00,58776,2756,2827,208,0
2019-01-04 06:45:00,60288,2756,2827,28,8
2019-01-04 07:00:00,62148,2756,2827,0,424
2019-01-04 07:15:00,63220,2756,2827,0,220
2019-01-04 07:30:00,64180,2756,2827,4,156
2019-01-04 07:45:00,64960,2756,2827,40,48
2019-01-04 08:00:00,66184,2756,2827,40,56
2019-01-04 08:15:00,66740,2756,2827,128,12
2019-01-04 08:30:00,66976,2756,2827,64,20
2019-01-04 08:45:00,67392,2756,2827,100,24
2019-01-04 09:00:00,67748,2756,2827,748,28
2019-01-04 09:15:00,68308,2756,2827,1156,0
2019-01-04 09:30:00,68736,2756,2827,1296,0
2019-01-04 09:45:00,68612,2756,2827,1088,0
2019-01-04 10:00:00,68720,2756,2827,528,20
2019-01-04 10:15:00,68884,2756,2827,396,4
2019-01-04 10:30:00,69196,2756,2827,228,0
2019-01-04 10:45:00,69468,2756,2827,96,0
2019-01-04 11:00:00,69212,2756,2827,448,0
2019-01-04 11:15:00,69552,2756,2827,452,0
2019-01-04 11:30:00,69892,2756,2827,96,4
2019-01-04 11:45:00,70140,2756,2827,20,16
2019-01-04 12:00:00,70476,2756,2827,12,28
2019-01-04 12:15:00,70268,2756,2827,0,480
2019-01-04 12:30:00,70324,2756,2827,0,332
2019-01-04 12:45:00,70004,2756,2827,0,312
2019-01-04 13:00:00,69824,2756,2827,844,12
2019-01-04 13:15:00,69252,2756,2827,564,4
2019-01-04 13:30:00,68920,2756,2827,380,8
2019-01-04 13:45:00,68224,2756,2827,208,8
2019-01-04 14:00:00,67816,2756,2827,384,4
2019-01-04 14:15:00,67368,2756,2827,256,12
2019-01-04 14:30:00,67036,2756,2827,468,4
2019-01-04 14:45:00,66764,2756,2827,224,4
2019-01-04 15:00:00,66808,2756,2827,368,4
2019-01-04 15:15:00,66556,2756,2827,340,4
2019-01-04 15:30:00,66452,2756,2827,368,4
2019-01-04 15:45:00,66416,2756,2827,336,4
2019-01-04 16:00:00,67216,2756,2827,1136,0
2019-01-04 16:15:00,67456,2756,2827,1092,0
2019-01-04 16:30:00,68036,2756,2827,872,0
2019-01-04 16:45:00,68632,2756,2827,764,0
2019-01-04 17:00:00,69592,2756,2827,60,24
2019-01-04 17:15:00,69872,2756,2827,248,0
2019-01-04 17:30:00,70104,2756,2827,160,4
2019-01-04 17:45:00,70136,2756,2827,12,76
2019-01-04 18:00:00,69788,2756,2827,8,100
2019-01-04 18:15:00,69456,2756,2827,12,16
2019-01-04 18:30:00,69168,2756,2827,0,136
2019-01-04 18:45:00,68768,2756,2827,0,88
2019-01-04 19:00:00,68424,2756,2827,576,4
2019-01-04 19:15:00,67464,2756,2827,100,4
2019-01-04 19:30:00,67096,2756,2827,132,4
2019-01-04 19:45:00,66288,2756,2827,16,16
2019-01-04 20:00:00,64652,2756,2827,152,20
2019-01-04 20:15:00,63644,2756,2827,196,8
2019-01-04 20:30:00,63128,2756,2827,332,4
2019-01-04 20:45:00,61940,2756,2827,68,4
2019-01-04 21:00:00,61052,2756,2827,332,4
2019-01-04 21:15:00,60552,2756,2827,272,4
2019-01-04 21:30:00,60260,2756,2827,180,8
2019-01-04 21:45:00,59476,2756,2827,40,236
2019-01-04 22:00:00,59460,2756,2827,20,148
2019-01-04 22:15:00,59060,2756,2827,4,8
2019-01-04 22:30:00,58152,2756,2827,56,176
2019-01-04 22:45:00,57276,2756,2827,4,212
2019-01-04 23:00:00,55808,2756,2827,148,64
2019-01-04 23:15:00,54984,2756,2827,100,12
2019-01-04 23:30:00,54044,2756,2827,4,120
2019-01-04 23:45:00,53140,2756,2827,0,168
2019-01-05 00:00:00,52436,2756,2827,520,76
2019-01-05 00:15:00,51916,2756,2827,696,0
2019-01-05 00:30:00,51540,2756,2827,756,0
2019-01-05 00:45:00,50732,2756,2827,36,4
2019-01-05 01:00:00,50148,2756,2827,400,4
2019-01-05 01:15:00,49308,2756,2827,376,0
2019-01-05 01:30:00,49148,2756,2827,252,4
2019-01-05 01:45:00,48656,2756,2827,56,8
2019-01-05 02:00:00,48392,2756,2827,336,0
2019-01-05 02:15:00,47888,2756,2827,184,8
2019-01-05 02:30:00,48044,2756,2827,208,12
2019-01-05 02:45:00,47796,2756,2827,12,12
2019-01-05 03:00:00,47708,2756,2827,664,8
2019-01-05 03:15:00,47452,2756,2827,584,0
2019-01-05 03:30:00,47504,2756,2827,180,0
2019-01-05 03:45:00,47556,2756,2827,32,4
2019-01-05 04:00:00,47712,2756,2827,328,4
2019-01-05 04:15:00,47600,2756,2827,144,4
2019-01-05 04:30:00,47620,2756,2827,116,4
2019-01-05 04:45:00,47604,2756,2827,152,4
2019-01-05 05:00:00,47740,2756,2827,660,0
2019-01-05 05:15:00,47712,2756,2827,388,4
2019-01-05 05:30:00,47684,2756,2827,196,4
2019-01-05 05:45:00,47672,2756,2827,180,4
2019-01-05 06:00:00,47764,2756,2827,12,224
2019-01-05 06:15:00,48060,2756,2827,108,4
2019-01-05 06:30:00,48544,2756,2827,496,4
2019-01-05 06:45:00,48952,2756,2827,432,20
2019-01-05 07:00:00,49852,2756,2827,4,472
2019-01-05 07:15:00,50512,2756,2827,8,376
2019-01-05 07:30:00,50912,2756,2827,60,120
2019-01-05 07:45:00,51768,2756,2827,48,40
2019-01-05 08:00:00,53240,2756,2827,0,448
2019-01-05 08:15:00,54248,2756,2827,8,204
2019-01-05 08:30:00,54464,2756,2827,0,256
2019-01-05 08:45:00,55272,2756,2827,0,228
2019-01-05 09:00:00,56576,2756,2827,12,248
2019-01-05 09:15:00,57108,2756,2827,0,80
2019-01-05 09:30:00,58080,2756,2827,244,0
2019-01-05 09:45:00,58604,2756,2827,260,4
2019-01-05 10:00:00,59152,2756,2827,32,152
2019-01-05 10:15:00,59544,2756,2827,24,20
2019-01-05 10:30:00,59832,2756,2827,4,8
2019-01-05 10:45:00,60320,2756,2827,16,8
2019-01-05 11:00:00,60728,2756,2827,420,0
2019-01-05 11:15:00,60804,2756,2827,120,8
2019-01-05 11:30:00,61188,2756,2827,184,0
2019-01-05 11:45:00,60964,2756,2827,36,16
2019-01-05 12:00:00,61148,2756,2827,104,20
2019-01-05 12:15:00,60904,2756,2827,24,72
2019-01-05 12:30:00,60764,2756,2827,128,8
2019-01-05 12:45:00,60352,2756,2827,0,192
2019-01-05 13:00:00,60236,2756,2827,4,24
2019-01-05 13:15:00,59636,2756,2827,0,588
2019-01-05 13:30:00,59240,2756,2827,8,312
2019-01-05 13:45:00,58960,2756,2827,4,192
2019-01-05 14:00:00,58956,2756,2827,348,24
2019-01-05 14:15:00,58464,2756,2827,272,0
2019-01-05 14:30:00,58404,2756,2827,348,8
2019-01-05 14:45:00,58068,2756,2827,4,32
2019-01-05 15:00:00,58276,2756,2827,44,24
2019-01-05 15:15:00,57992,2756,2827,180,0
2019-01-05 15:30:00,57912,2756,2827,580,0
2019-01-05 15:45:00,57968,2756,2827,188,4
2019-01-05 16:00:00,58248,2756,2827,16,4
2019-01-05 16:15:00,58584,2756,2827,68,44
2019-01-05 16:30:00,59168,2756,2827,188,16
2019-01-05 16:45:00,60216,2756,2827,276,0
2019-01-05 17:00:00,61484,2756,2827,24,104
2019-01-05 17:15:00,61820,2756,2827,0,120
2019-01-05 17:30:00,62004,2756,2827,0,392
2019-01-05 17:45:00,62248,2756,2827,0,280
2019-01-05 18:00:00,62452,2756,2827,28,84
2019-01-05 18:15:00,61784,2756,2827,4,496
2019-01-05 18:30:00,61948,2756,2827,0,400
