,max_power_charge,technology,marginal_cost,efficiency_charge,efficiency_discharge,initial_soc,inflow,bidding_EOM,unit_operator,max_power_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow
battery_02,301,battery,0.0,0.9736678327890722,0.9842878519088518,0.0,0.0,storage_learning,storage_eom_operator,289,0,1811,0.0,0.0,,,
battery_05,351,battery,0.0,0.9753115907932288,0.9817071989725484,0.0,0.0,flexable_eom_storage,storage_eom_operator,336,0,2111,0.0,0.0,,,
battery_07,660,battery,0.0,0.9831244593434711,0.9798564438129265,0.0,0.0,flexable_eom_storage,storage_eom_operator,636,0,3962,0.0,0.0,,,
battery_08,221,battery,0.0,0.9806697146548232,0.983287388154792,0.0,0.0,flexable_eom_storage,storage_eom_operator,213,0,1329,0.0,0.0,,,
battery_09,442,battery,0.0,0.983318514270957,0.9837557999942145,0.0,0.0,flexable_eom_storage,storage_eom_operator,427,0,2653,0.0,0.0,,,
battery_00_0,707,battery,0.0,0.9757917490798014,0.973814884412212,0.0,0.0,flexable_eom_storage,storage_eom_operator,671,0,4242,0.0,0.0,,,
battery_00_1,707,battery,0.0,0.972478879725712,0.9767478361439633,0.0,0.0,flexable_eom_storage,storage_eom_operator,671,0,4242,0.0,0.0,,,
battery_01_0,522,battery,0.0,0.9835725085324024,0.9762512703868667,0.0,0.0,flexable_eom_storage,storage_eom_operator,501,0,3135,0.0,0.0,,,
battery_01_1,522,battery,0.0,0.9864008244787347,0.9782947250704911,0.0,0.0,flexable_eom_storage,storage_eom_operator,504,0,3135,0.0,0.0,,,
battery_03_0,746,battery,0.0,0.9817924040392375,0.9779090005473725,0.0,0.0,flexable_eom_storage,storage_eom_operator,716,0,4476,0.0,0.0,,,
battery_03_1,746,battery,0.0,0.9857372917332297,0.9772093585615905,0.0,0.0,flexable_eom_storage,storage_eom_operator,718,0,4476,0.0,0.0,,,
battery_03_2,746,battery,0.0,0.9675812852360913,0.9782712815522225,0.0,0.0,flexable_eom_storage,storage_eom_operator,706,0,4476,0.0,0.0,,,
battery_04_0,868,battery,0.0,0.978548248615732,0.9802658146115169,0.0,0.0,flexable_eom_storage,storage_eom_operator,833,0,5212,0.0,0.0,,,
battery_04_1,868,battery,0.0,0.9818571069011411,0.9822241986502533,0.0,0.0,flexable_eom_storage,storage_eom_operator,837,0,5212,0.0,0.0,,,
battery_04_2,868,battery,0.0,0.9839361212922237,0.9790453434412671,0.0,0.0,flexable_eom_storage,storage_eom_operator,836,0,5212,0.0,0.0,,,
battery_06_0,675,battery,0.0,0.9712784534439224,0.9744170830068904,0.0,0.0,flexable_eom_storage,storage_eom_operator,639,0,4054,0.0,0.0,,,
battery_06_1,675,battery,0.0,0.9784336692992892,0.978560393120615,0.0,0.0,flexable_eom_storage,storage_eom_operator,646,0,4054,0.0,0.0,,,
battery_06_2,675,battery,0.0,0.9698842159654432,0.9801595249393997,0.0,0.0,flexable_eom_storage,storage_eom_operator,642,0,4054,0.0,0.0,,,
Tanzmühle - Rabenleite,25,PSPP,,0.81,0.88,,,flexable_eom_storage,storage_eom_operator,35,1,404,,,0.28,0.28,0.0
Schwarzenbachwerk,20,PSPP,,0.73,0.82,,,flexable_eom_storage,storage_eom_operator,46,1,198,,,0.28,0.28,1.2
