,OCGT_00,OCGT_01_0,OCGT_01_1,OCGT_01_2,OCGT_01_3,OCGT_01_4,OCGT_02,OCGT_03,OCGT_04,OCGT_05,OCGT_06,OCGT_07,OCGT_08,OCGT_09,solar_00,solar_01_0,solar_01_1,solar_01_2,solar_02,solar_03_0,solar_03_1,solar_03_2,solar_04_0,solar_04_1,solar_04_2,solar_05,solar_06_0,solar_06_1,solar_06_2,solar_06_3,solar_07_0,solar_07_1,solar_08,solar_09_0,solar_09_1,solar_09_2,wind_offshore_00,wind_offshore_06,wind_offshore_07,wind_onshore_00_0,wind_onshore_00_1,wind_onshore_00_2,wind_onshore_01,wind_onshore_02,wind_onshore_03_0,wind_onshore_03_1,wind_onshore_04,wind_onshore_05,wind_onshore_06_0,wind_onshore_06_1,wind_onshore_07_0,wind_onshore_07_1,wind_onshore_07_2,wind_onshore_07_3,wind_onshore_08,wind_onshore_09,date
2013-01-22 01:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-19149.497477213525,-17930.185953776025,-20959.141031901025,-26776.01928710935,-32436.83268229164,-12396.504720052073,-31650.76090494789,-14950.829060872382,-18582.187906901025,-21843.951416015607,-7851.705423990878,-33178.348795572885,-10336.77978515624,-30840.04313151039,-31931.160481770807,-20948.968505859357,-19424.678548177068,-26459.889729817685,-33023.834228515596,-32699.945068359346,2013-01-22
2013-01-22 02:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-12699.281819661446,-30549.068196614557,-24404.846191406228,-24839.57316080727,-32394.805908203096,-12837.148030598946,-31029.30908203122,-15828.54614257811,-15454.501342773423,-24070.182291666646,-14432.169596354153,-33186.077880859346,-13823.046874999987,-30873.32967122393,-31852.34374999997,-25148.907470703103,-25878.033447265603,-26972.91870117185,-33014.447021484346,-32758.945719401014,2013-01-22
2013-01-22 03:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-23663.47859700519,-31935.040283203096,-27800.7873535156,-25721.571858723935,-32357.893880208303,-19542.665608723943,-30234.472656249975,-8154.433186848951,-16571.10392252603,-21751.82088216144,-17481.32934570311,-33192.85888671872,-10567.107137044262,-31048.032633463514,-31762.45524088539,-28063.916015624975,-31297.09879557289,-25329.359944661435,-33017.510986328096,-32786.905924479135,2013-01-22
2013-01-22 04:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-28014.4836425781,-32514.009602864553,-29407.02514648435,-25581.17268880206,-32322.50976562497,-23928.387451171853,-28927.522786458307,-8786.897786458325,-23216.204833984353,-18402.187093098943,-20268.26171874998,-33196.62068684893,-22857.055664062478,-31193.672688802057,-31672.578938802057,-29792.67781575518,-32029.087320963514,-26383.807373046853,-33025.17089843747,-32823.25439453122,2013-01-22
2013-01-22 05:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-30317.268880208307,-32769.403076171846,-30198.50463867185,-25332.743326822892,-32370.62174479164,-24423.976643880185,-28504.3518066406,-19042.767333984357,-26766.263834635392,-17133.125813802068,-22022.505696614564,-33198.64095052081,-25331.835937499978,-31358.455403645807,-31561.44205729164,-30652.022298177057,-32344.276936848928,-27923.990885416642,-33035.33528645831,-32862.40437825518,2013-01-22
2013-01-22 06:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-31050.44148763018,-32893.81306966143,-30676.340738932264,-24396.79972330727,-32490.098063151014,-25180.50333658852,-28195.61971028643,-22126.13728841144,-26516.79280598956,-23648.87898763019,-24661.073811848935,-33200.67952473956,-26551.36311848956,-31335.77067057289,-31354.98046874997,-31121.409098307264,-32491.957600911428,-28849.727376302057,-33043.473307291635,-32889.862060546846,2013-01-22
2013-01-22 07:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,,,,,,,,,,,,,,,,,,,,,,,-31503.767903645807,-32968.37361653643,-31248.62263997393,-24139.10725911456,-32572.369384765596,-28185.31697591143,-27194.116210937475,-21497.32869466144,-22871.270751953103,-27607.956949869767,-23078.009033203103,-33202.640787760385,-26770.01546223956,-31101.422119140596,-31207.05566406247,-31552.14843749997,-32551.60319010414,-29322.249348958307,-33051.15763346351,-32907.330322265596,2013-01-22
2013-01-22 08:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,-49323.9501953128,-49318.21899414092,-45185.13183593778,-48277.740478515916,-49961.560058594056,-49925.71411132843,-49921.18835449249,-49967.40112304718,-49946.801757812806,-49943.72253417999,-49952.98767089874,-49851.89514160204,-49964.48669433624,-49742.4804687503,-49613.11340332061,-49741.49475097686,-48728.03344726592,-49526.97143554717,-47934.271240234666,-49502.938842773736,-49960.107421875306,-49872.37548828155,-31989.206949869764,-33021.427408854135,-31539.646402994764,-22782.20418294269,-32667.28922526039,-29627.636718749975,-26363.480631510392,-22979.20939127602,-24450.673421223935,-30018.84155273435,-20430.731201171857,-33204.15852864581,-23672.833251953103,-31200.75683593747,-31192.830403645807,-31753.721110026014,-32649.86572265622,-29572.45279947914,-33056.134033203096,-32915.409342447885,2013-01-22
2013-01-22 09:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,-49579.98657226592,-49519.31762695342,-44613.36975097683,-48718.67980957061,-49963.195800781556,-49929.64172363312,-49926.05895996124,-49968.30139160187,-49948.229980469056,-49945.642089844056,-49954.14428710968,-49858.80432128954,-49965.31677246124,-49776.693725586236,-49651.33056640655,-49764.63928222686,-48651.6632080081,-49610.57434082061,-49112.338256836236,-49577.25219726592,-49961.09924316437,-49887.411499023736,-32258.587646484346,-33048.62060546872,-31780.442301432264,-19853.696695963525,-32731.186930338514,-30204.5471191406,-28807.529703776017,-20942.291259765607,-23652.52482096352,-30216.245524088514,-17939.36157226561,-33205.74951171872,-12128.632609049468,-31316.32080078122,-31455.52978515622,-31986.053466796846,-32723.482259114553,-29692.11629231768,-33061.04939778643,-32915.93017578122,2013-01-22
2013-01-22 10:00:00,1.0000000000000013,1.0000000000000013,0.9999999999999986,1.000000000000002,0.999999999999996,1.0000000000000049,1.0000000000000029,0.9999999999999972,0.9999999999999977,1.000000000000006,0.9999999999999973,0.9999999999999938,0.9999999999999972,1.0,-49663.766479492486,-49612.52746582061,-46341.528320312784,-48803.59497070342,-49964.514160156556,-49932.68127441437,-49930.17883300812,-49969.140625000306,-49949.23400878937,-49946.89636230499,-49955.29479980499,-49865.31982421923,-49966.03088378937,-49793.80493164092,-49660.50415039092,-49776.303100586236,-48760.09521484405,-49642.0654296878,-49349.69787597686,-49626.58996582061,-49962.18566894562,-49898.45275878936,-32413.474527994764,-33068.802897135385,-31970.896402994764,-22167.10205078123,-32796.282958984346,-31052.437337239557,-30336.88354492185,-18712.217203776025,-22114.632161458314,-31077.305094401014,-17936.34643554686,-33206.72200520831,-13950.951131184884,-31541.461181640596,-31835.40242513018,-32224.717203776014,-32807.03328450518,-29268.992106119767,,-32926.31429036456,2013-01-22
