,Bleiloch,Erzhausen,Geesthacht,Glems,Goldisthal,Happurg,Hohenwarte I,Hohenwarte II,Häusern,Koepchenwerk Herdecke II,Langenprozelten,Leitzach I,Leitzach II,Markersbach,Reisach - Rabenleite,Rönkhausen,Schwarzenbachwerk,Säckingen,Tanzmühle - Rabenleite,Waldeck I,Waldeck II,Waldshut,Wehr,Wendefurth,Witznau,battery_00_0,battery_00_1,battery_01_0,battery_01_1,battery_02,battery_03_0,battery_03_1,battery_03_2,battery_04_0,battery_04_1,battery_04_2,battery_05,battery_06_0,battery_06_1,battery_06_2,battery_07,battery_08,battery_09
2013-01-22 01:00:00,259.6526987255469,272.63533366182423,262.89835745961625,272.63533366182423,285.6179685981016,269.38967492775487,259.6526987255469,259.6526987255469,266.14401619368556,275.88099239589354,275.88099239589354,279.1266511299629,279.1266511299629,272.63533366182423,275.88099239589354,275.88099239589354,236.93308758706155,279.1266511299629,262.89835745961625,282.3723098640323,282.3723098640323,256.4070399914776,279.1266511299629,266.14401619368556,249.91572252333887,88.67843636494224,88.37736795103218,89.385539681443,89.6425726353528,88.48541815607801,89.22376655396071,89.58227181153067,87.93228218175949,88.92894275518128,89.22964664940869,89.41858424347552,88.63480032671885,88.26827507774148,88.9185299651249,88.14156894435847,89.34482166806927,89.12173828898791,89.36245707803722
2013-01-22 02:00:00,259.6528347133075,272.6354764489729,262.89849514722385,272.6354764489729,285.61811818463826,269.38981601505657,259.6528347133075,259.6528347133075,266.14415558114024,275.8811368828892,275.8811368828892,279.1267973168056,279.1267973168056,272.6354764489729,275.8811368828892,275.8811368828892,236.93321167589315,279.1267973168056,262.89849514722385,282.37245775072194,282.37245775072194,256.4071742793912,279.1267973168056,266.14415558114024,249.91585341155852,88.67848280844943,88.37741423686099,89.385586495281,89.64261958380654,88.48546449849587,89.22381328307337,89.5823187284031,87.93232823448378,88.92898932988604,89.22969338160094,89.41863107461994,88.63484674737255,88.26832130643513,88.91857653437619,88.14161510669238,89.34486846058206,89.12178496466535,89.36250387978617
2013-01-22 03:00:00,259.65324049271914,272.6359025173551,262.89890599887815,272.6359025173551,285.618564541991,269.39023701119606,259.65324049271914,259.65324049271914,266.1445715050371,275.88156802351403,275.88156802351403,279.12723352967305,279.12723352967305,272.6359025173551,275.88156802351403,275.88156802351403,236.93358194960618,279.12723352967305,262.89890599887815,282.372899035832,282.372899035832,256.4075749865601,279.12723352967305,266.1445715050371,249.91624397424218,88.67862139312005,88.37755235102864,89.38572618499683,89.64275967520767,88.48560278152196,89.22395271997377,89.58245872556746,87.93246565308137,88.92912830604241,89.22983282769061,89.41877081597706,88.63498526384976,88.26845925011487,88.91871549425969,88.14175285235865,89.34500808666468,89.12192424211827,89.36264353342902
2013-01-22 04:00:00,259.65416791763647,272.6368763135183,262.89984501660695,272.6368763135183,285.6195847094001,269.3911992145478,259.65416791763647,259.65416791763647,266.14552211557736,275.88255341248873,275.88255341248873,279.1282305114592,279.1282305114592,272.6368763135183,275.88255341248873,275.88255341248873,236.93442822484332,279.1282305114592,262.89984501660695,282.3739076104297,282.3739076104297,256.40849081866605,279.1282305114592,266.14552211557736,249.91713662072513,88.67893813387384,88.37786801642928,89.38604545137518,89.64307985965377,88.48591883285525,89.22427140853247,89.58277869463168,87.9327797287291,88.92944594155243,89.2301515372518,89.41909020038365,88.63530184874477,88.26877452585867,88.91903309257741,88.14206767553475,89.34532720760684,89.12224256625345,89.36296271736117
2013-01-22 05:00:00,259.65494432059893,272.63769153662884,262.90063112460643,272.63769153662884,285.62043875265886,269.3920047326214,259.65494432059893,259.65494432059893,266.1463179286139,275.88337834063634,275.88337834063634,279.12906514464385,279.12906514464385,272.63769153662884,275.88337834063634,275.88337834063634,236.9351366925465,279.12906514464385,262.90063112460643,282.3747519486513,282.3747519486513,256.4092575165915,279.12906514464385,266.1463179286139,249.91788390857647,88.67920329653549,88.37813227884837,89.38631272838848,89.64334790523657,88.48618341836168,89.22453820181833,89.5830465599054,87.93304266027079,88.92971185326813,89.23041834812007,89.41935757620544,88.63556688092771,88.26903846207269,88.9192989731572,88.14233123287721,89.34559436286678,89.12250905445852,89.36322992535379
2013-01-22 06:00:00,259.65585381410085,272.6386465048059,262.9015519867771,272.6386465048059,285.62143919551096,269.3929483321296,259.65585381410085,259.65585381410085,266.14725015945334,275.88434467748215,275.88434467748215,279.1300428501584,279.1300428501584,272.6386465048059,275.88434467748215,275.88434467748215,236.935966605367,279.1300428501584,262.9015519867771,282.3757410228347,282.3757410228347,256.4101556414246,279.1300428501584,266.14725015945334,249.9187592960721,88.67951391322475,88.37844184097602,89.38662582187028,89.64366189903562,88.48649335896012,89.22485072865243,89.58336034248691,87.93335066338283,88.93002334741382,89.23073089555056,89.41967078543347,88.63587734477169,88.26934764207738,88.91961043082969,88.14263996906443,89.34590731372435,89.12282122391508,89.36354293798347
2013-01-22 07:00:00,259.6591044059453,272.64205962624254,262.9048432110196,272.64205962624254,285.62501484653984,269.3963208211683,259.6591044059453,259.6591044059453,266.15058201609395,275.88779843131687,275.88779843131687,279.13353723639125,279.13353723639125,272.64205962624254,275.88779843131687,275.88779843131687,236.9389327704251,279.13353723639125,262.9048432110196,282.3792760414655,282.3792760414655,256.41336560087103,279.13353723639125,266.15058201609395,249.92188799072235,88.68062407847026,88.3795482371464,89.38774483934142,89.64478413430203,88.48760110781087,89.22596772088596,89.58448182284735,87.93445148752494,88.93113664874855,89.23184796139701,89.42079021658944,88.63698696373767,88.2704526725142,88.92072360180671,88.1437434132673,89.34702582144672,89.12393693885687,89.36466166648351
2013-01-22 08:00:00,261.02791351589593,274.07930919169075,264.2907624348447,274.07930919169075,287.1307048674855,270.816460272742,261.02791351589593,261.02791351589593,267.5536113537933,277.34215811063945,277.34215811063945,280.60500702958814,280.60500702958814,274.07930919169075,277.34215811063945,277.34215811063945,238.187971083255,280.60500702958814,264.2907624348447,283.8678559485368,283.8678559485368,257.76506459694724,280.60500702958814,267.5536113537933,251.23936675904986,89.14810950091453,88.8454465195775,89.85895789283308,90.11735218641527,88.95406899766652,89.69632795624119,90.05673198757724,88.39800341477206,89.39994266377956,89.70223919480561,89.89217747084143,89.10424235041904,88.73577585089467,89.38947472381346,88.60839863591109,89.81802422210434,89.59375931260215,89.83575303559454
2013-01-22 09:00:00,262.29333957562847,275.4080065544099,265.5720063203238,275.4080065544099,288.5226735331913,272.12933980971457,262.29333957562847,262.29333957562847,268.8506730650192,278.6866732991053,278.6866732991053,281.9653400438006,281.9653400438006,275.4080065544099,278.6866732991053,278.6866732991053,239.342672362761,281.9653400438006,265.5720063203238,285.244006788496,285.244006788496,259.0146728309331,281.9653400438006,268.8506730650192,252.4573393415424,89.58028680876969,89.27615656050804,90.29458129220977,90.55422824443825,89.38530562486363,90.13116294890274,90.49331416753053,88.8265443154086,89.83334082285596,90.13710284430782,90.3279619139898,89.53620699659118,89.16595422408031,89.82282213581134,89.03795950254316,90.25344918088913,90.02809706712229,90.27126394113611
2013-01-22 10:00:00,263.44951308140406,276.62198873547425,266.7426319949216,276.62198873547425,289.7944643895445,273.32886982195674,263.44951308140406,263.44951308140406,270.0357509084392,279.91510764899186,279.91510764899186,283.2082265625094,283.2082265625094,276.62198873547425,279.91510764899186,279.91510764899186,240.39768068678123,283.2082265625094,266.7426319949216,286.5013454760269,286.5013454760269,260.15639416788656,283.2082265625094,270.0357509084392,253.57015634085147,89.97515140737387,89.66968057099086,90.69259445859082,90.95338591920638,89.77931075795748,90.52845577690542,90.89220333665546,89.21808646174459,90.22932086856638,90.53442185501763,90.72612222017459,89.93087729399403,89.55899246919121,90.21875581577225,89.43043355450239,90.65128103935965,90.42493558682244,90.66917432601467
