,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
188,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Säckingen
186,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Hohenwarte II
184,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Witznau
182,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Erzhausen
180,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Waldshut
178,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Langenprozelten
176,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Happurg
174,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Koepchenwerk Herdecke II
172,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Häusern
70,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_04_2
170,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Waldeck I
166,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Geesthacht
164,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Reisach - Rabenleite
162,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Glems
160,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Wendefurth
158,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Bleiloch
156,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Hohenwarte I
154,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Leitzach I
152,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Leitzach II
150,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Schwarzenbachwerk
148,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Tanzmühle - Rabenleite
146,2013-01-22 00:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_06_2
