name,bidding_EOM,unit_operator,node
exchange_1,exchange_energy_naive,Exchanges Operator,DE0 6
exchange_2,exchange_energy_naive,Exchanges Operator,DE0 18
exchange_3,exchange_energy_naive,Exchanges Operator,DE0 29
exchange_4,exchange_energy_naive,Exchanges Operator,DE0 0
exchange_5,exchange_energy_naive,Exchanges Operator,DE0 10
exchange_6,exchange_energy_naive,Exchanges Operator,DE0 14
exchange_7,exchange_energy_naive,Exchanges Operator,DE0 12
exchange_8,exchange_energy_naive,Exchanges Operator,DE0 12
exchange_9,exchange_energy_naive,Exchanges Operator,DE0 27
exchange_10,exchange_energy_naive,Exchanges Operator,DE0 16
exchange_11,exchange_energy_naive,Exchanges Operator,DE0 7
exchange_12,exchange_energy_naive,Exchanges Operator,DE0 20
exchange_13,exchange_energy_naive,Exchanges Operator,DE0 22
exchange_14,exchange_energy_naive,Exchanges Operator,DE0 23
exchange_15,exchange_energy_naive,Exchanges Operator,DE0 26
exchange_16,exchange_energy_naive,Exchanges Operator,DE0 6
exchange_17,exchange_energy_naive,Exchanges Operator,DE0 9
exchange_18,exchange_energy_naive,Exchanges Operator,DE0 0
exchange_19,exchange_energy_naive,Exchanges Operator,DE0 0
exchange_20,exchange_energy_naive,Exchanges Operator,DE0 22
exchange_21,exchange_energy_naive,Exchanges Operator,DE0 22
exchange_22,exchange_energy_naive,Exchanges Operator,DE0 2
exchange_23,exchange_energy_naive,Exchanges Operator,DE0 2
exchange_24,exchange_energy_naive,Exchanges Operator,DE0 23
exchange_25,exchange_energy_naive,Exchanges Operator,DE0 23
exchange_26,exchange_energy_naive,Exchanges Operator,DE0 2
exchange_27,exchange_energy_naive,Exchanges Operator,DE0 2
exchange_28,exchange_energy_naive,Exchanges Operator,DE0 15
exchange_29,exchange_energy_naive,Exchanges Operator,DE0 15
exchange_30,exchange_energy_naive,Exchanges Operator,DE0 20
exchange_31,exchange_energy_naive,Exchanges Operator,DE0 20
