name,technology,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,unit_operator,operating_type,node,bidding_EOM,bidding_CRM_capacity_pos,bidding_CRM_capacity_neg,bidding_CRM_energy_pos,bidding_CRM_energy_neg,bidding_redispatch
powerplant_30,solar,renewable,0,729.5225828857554,0.0,1.0,729.5225828857554,729.5225828857554,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_31,solar,renewable,0,496.7204516589888,0.0,1.0,496.7204516589888,496.7204516589888,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_32,solar,renewable,0,3259.223677519424,0.0,1.0,3259.223677519424,3259.223677519424,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_33,solar,renewable,0,421.3756462614174,0.0,1.0,421.3756462614174,421.3756462614174,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_34,solar,renewable,0,0.0047465478153528,0.0,1.0,0.0047465478153528,0.0047465478153528,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 1,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_38,onshore wind,renewable,0,332.39699322133566,0.0,1.0,332.39699322133566,332.39699322133566,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_39,onshore wind,renewable,0,301.2333796075933,0.0,1.0,301.2333796075933,301.2333796075933,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_40,onshore wind,renewable,0,0.0053181408072711,0.0,1.0,0.0053181408072711,0.0053181408072711,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_41,run-of-river hydro,renewable,0,244.459,0.0,0.9,244.459,244.459,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_43,solar,renewable,0,3506.954047290433,0.0,1.0,3506.954047290433,3506.954047290433,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_44,solar,renewable,0,0.0001897774390246,0.0,1.0,0.0001897774390246,0.0001897774390246,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_45,solar,renewable,0,568.2328660059432,0.0,1.0,568.2328660059432,568.2328660059432,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_46,solar,renewable,0,756.004825113751,0.0,1.0,756.004825113751,756.004825113751,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_47,solar,renewable,0,514.751790087842,0.0,1.0,514.751790087842,514.751790087842,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_48,solar,renewable,0,9417.57295539687,0.0,1.0,9417.57295539687,9417.57295539687,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_49,solar,renewable,0,2600.186193433565,0.0,1.0,2600.186193433565,2600.186193433565,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_50,solar,renewable,0,3109.806420599226,0.0,1.0,3109.806420599226,3109.806420599226,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_51,solar,renewable,0,0.0043080775428816,0.0,1.0,0.0043080775428816,0.0043080775428816,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 10,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_55,onshore wind,renewable,0,481.07850837167496,0.0,1.0,481.07850837167496,481.07850837167496,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_56,onshore wind,renewable,0,435.97535410102216,0.0,1.0,435.97535410102216,435.97535410102216,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_57,onshore wind,renewable,0,6952.55149857375,0.0,1.0,6952.55149857375,6952.55149857375,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_58,run-of-river hydro,renewable,0,9.065,0.0,0.9,9.065,9.065,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_60,solar,renewable,0,67.6441718855259,0.0,1.0,67.6441718855259,67.6441718855259,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_61,solar,renewable,0,3086.7698253973563,0.0,1.0,3086.7698253973563,3086.7698253973563,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_62,solar,renewable,0,336.741491905465,0.0,1.0,336.741491905465,336.741491905465,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_63,solar,renewable,0,1.1461751238531973e-05,0.0,1.0,1.1461751238531973e-05,1.1461751238531973e-05,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_64,solar,renewable,0,546.080000301289,0.0,1.0,546.080000301289,546.080000301289,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_65,solar,renewable,0,726.5315679955324,0.0,1.0,726.5315679955324,726.5315679955324,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_66,solar,renewable,0,494.6839151745433,0.0,1.0,494.6839151745433,494.6839151745433,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_67,solar,renewable,0,2231.8810906512454,0.0,1.0,2231.8810906512454,2231.8810906512454,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_68,solar,renewable,0,14444.701152975907,0.0,1.0,14444.701152975907,14444.701152975907,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_69,solar,renewable,0,4907.64369413322,0.0,1.0,4907.64369413322,4907.64369413322,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_70,solar,renewable,0,0.0048351190518911,0.0,1.0,0.0048351190518911,0.0048351190518911,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 11,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_74,onshore wind,renewable,0,505.8338380064049,0.0,1.0,505.8338380064049,505.8338380064049,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_75,onshore wind,renewable,0,458.40978134166426,0.0,1.0,458.40978134166426,458.40978134166426,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_76,onshore wind,renewable,0,4561.817437160552,0.0,1.0,4561.817437160552,4561.817437160552,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_77,onshore wind,renewable,0,424.720270931047,0.0,1.0,424.720270931047,424.720270931047,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_78,onshore wind,renewable,0,299.6770526473888,0.0,1.0,299.6770526473888,299.6770526473888,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_79,run-of-river hydro,renewable,0,124.045,0.0,0.9,124.045,124.045,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_81,solar,renewable,0,3593.076833536962,0.0,1.0,3593.076833536962,3593.076833536962,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_82,solar,renewable,0,0.0001339770655877,0.0,1.0,0.0001339770655877,0.0001339770655877,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_83,solar,renewable,0,533.652146676233,0.0,1.0,533.652146676233,533.652146676233,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_84,solar,renewable,0,709.9969430760166,0.0,1.0,709.9969430760166,709.9969430760166,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_85,solar,renewable,0,483.42577092969447,0.0,1.0,483.42577092969447,483.42577092969447,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_86,solar,renewable,0,714.5170609921485,0.0,1.0,714.5170609921485,714.5170609921485,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_87,solar,renewable,0,2784.950356636182,0.0,1.0,2784.950356636182,2784.950356636182,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_88,solar,renewable,0,6890.836909698023,0.0,1.0,6890.836909698023,6890.836909698023,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_89,solar,renewable,0,0.0052144150166334,0.0,1.0,0.0052144150166334,0.0052144150166334,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 12,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
powerplant_94,onshore wind,renewable,0,383.1218715863616,0.0,1.0,383.1218715863616,383.1218715863616,0.0,0.0,0.0,0.0,0,0,PP_operator,Market,DE0 13,powerplant_energy_heuristic_flexable,powerplant_crm_pos,powerplant_crm_neg,powerplant_crm_pos,powerplant_crm_neg,powerplant_energy_naive_redispatch
