datetime,exchange_1_export,exchange_1_import,exchange_2_export,exchange_2_import,exchange_3_export,exchange_3_import,exchange_4_export,exchange_4_import,exchange_5_export,exchange_5_import,exchange_6_export,exchange_6_import,exchange_7_export,exchange_7_import,exchange_8_export,exchange_8_import,exchange_9_export,exchange_9_import,exchange_10_export,exchange_10_import,exchange_11_export,exchange_11_import,exchange_12_export,exchange_12_import,exchange_13_export,exchange_13_import,exchange_14_export,exchange_14_import,exchange_15_export,exchange_15_import,exchange_16_export,exchange_16_import,exchange_17_export,exchange_17_import,exchange_18_export,exchange_18_import,exchange_19_export,exchange_19_import,exchange_20_export,exchange_20_import,exchange_21_export,exchange_21_import,exchange_22_export,exchange_22_import,exchange_23_export,exchange_23_import,exchange_24_export,exchange_24_import,exchange_25_export,exchange_25_import,exchange_26_export,exchange_26_import,exchange_27_export,exchange_27_import,exchange_28_export,exchange_28_import,exchange_29_export,exchange_29_import,exchange_30_export,exchange_30_import,exchange_31_export,exchange_31_import
2039-12-31 00:00:00,0.0,-1341.8668673770264,0.0,-1056.3618989772629,0.0,-91.76936452727352,0.0,-8494.87988195437,0.0,-101.15078678389555,964.532677137262,0.0,1258.130084786954,0.0,0.0,-725.0376189386152,0.0,-176.0010161757896,0.0,-4510.869660412785,127.90649929234988,0.0,0.0,-4410.46370190041,3242.9126178645547,0.0,0.0,-7619.0903363792595,0.0,-577.9432168560057,566.8651009922653,0.0,269.1399374593327,0.0,2999.999937421213,0.0,0.0,-5.2959626863326166e-05,0.0,-0.0001611616747301,2999.999782072031,0.0,0.0,-956.9464083506538,0.0002808292990013,0.0,1999.998431968591,0.0,0.0,-0.0004765703326925,0.0,-3894.369124190874,0.0003049368335299,0.0,0.000269935403915,0.0,0.0,-956.5001289312014,0.0,-0.0001134911154803,999.999849116274,0.0
2039-12-31 01:00:00,0.0,-1341.8668673770264,0.0,-1056.3618989772629,0.0,-91.76936452727352,0.0,-8494.87988195437,0.0,-101.15078678389555,964.532677137262,0.0,1258.130084786954,0.0,0.0,-725.0376189386152,0.0,-176.0010161757896,0.0,-4510.869660412785,127.90649929234988,0.0,0.0,-4410.46370190041,3242.9126178645547,0.0,0.0,-7619.0903363792595,0.0,-577.9432168560057,566.8651009922653,0.0,269.1399374593327,0.0,2999.999937421213,0.0,0.0,-5.2959626863326166e-05,0.0,-0.0001611616747301,2999.999782072031,0.0,0.0,-956.9464083506538,0.0002808292990013,0.0,1999.998431968591,0.0,0.0,-0.0004765703326925,0.0,-3894.369124190874,0.0003049368335299,0.0,0.000269935403915,0.0,0.0,-956.5001289312014,0.0,-0.0001134911154803,999.999849116274,0.0
2039-12-31 02:00:00,0.0,-1341.8668673770264,0.0,-1056.3618989772629,0.0,-91.76936452727352,0.0,-8494.87988195437,0.0,-101.15078678389555,964.532677137262,0.0,1258.130084786954,0.0,0.0,-725.0376189386152,0.0,-176.0010161757896,0.0,-4510.869660412785,127.90649929234988,0.0,0.0,-4410.46370190041,3242.9126178645547,0.0,0.0,-7619.0903363792595,0.0,-577.9432168560057,566.8651009922653,0.0,269.1399374593327,0.0,2999.999937421213,0.0,0.0,-5.2959626863326166e-05,0.0,-0.0001611616747301,2999.999782072031,0.0,0.0,-956.9464083506538,0.0002808292990013,0.0,1999.998431968591,0.0,0.0,-0.0004765703326925,0.0,-3894.369124190874,0.0003049368335299,0.0,0.000269935403915,0.0,0.0,-956.5001289312014,0.0,-0.0001134911154803,999.999849116274,0.0
2039-12-31 03:00:00,0.0,-549.8504887276202,0.0,-1350.9424576539857,0.0,-442.53215178550266,0.0,-8209.346765189055,0.0,-131.83450534089408,716.5798872241176,0.0,1411.7573618088393,0.0,0.0,-248.34266799509157,0.0,-221.458268783949,0.0,-4378.502684745764,79.53017619335813,0.0,0.0,-4185.393466932671,3029.4459202726307,0.0,0.0,-4933.425049449919,0.0,-679.6652796294682,594.2991745905277,0.0,297.1500568522393,0.0,2999.9999378979587,0.0,0.0,-5.254199161617343e-05,0.0,-0.000124867213181,2999.9998427657506,0.0,0.0,-0.0004731067621146,999.9989771683984,0.0,1999.9997548240883,0.0,0.0,-0.0001804049365543,0.0,-1910.026434590768,0.0015382472233389,0.0,999.999016169964,0.0,0.0,-0.0004624426021869,0.0,-0.0001116259713819,999.9998527611616,0.0
2039-12-31 04:00:00,0.0,-549.8504887276202,0.0,-1350.9424576539857,0.0,-442.53215178550266,0.0,-8209.346765189055,0.0,-131.83450534089408,716.5798872241176,0.0,1411.7573618088393,0.0,0.0,-248.34266799509157,0.0,-221.458268783949,0.0,-4378.502684745764,79.53017619335813,0.0,0.0,-4185.393466932671,3029.4459202726307,0.0,0.0,-4933.425049449919,0.0,-679.6652796294682,594.2991745905277,0.0,297.1500568522393,0.0,2999.9999378979587,0.0,0.0,-5.254199161617343e-05,0.0,-0.000124867213181,2999.9998427657506,0.0,0.0,-0.0004731067621146,999.9989771683984,0.0,1999.9997548240883,0.0,0.0,-0.0001804049365543,0.0,-1910.026434590768,0.0015382472233389,0.0,999.999016169964,0.0,0.0,-0.0004624426021869,0.0,-0.0001116259713819,999.9998527611616,0.0
2039-12-31 05:00:00,0.0,-549.8504887276202,0.0,-1350.9424576539857,0.0,-442.53215178550266,0.0,-8209.346765189055,0.0,-131.83450534089408,716.5798872241176,0.0,1411.7573618088393,0.0,0.0,-248.34266799509157,0.0,-221.458268783949,0.0,-4378.502684745764,79.53017619335813,0.0,0.0,-4185.393466932671,3029.4459202726307,0.0,0.0,-4933.425049449919,0.0,-679.6652796294682,594.2991745905277,0.0,297.1500568522393,0.0,2999.9999378979587,0.0,0.0,-5.254199161617343e-05,0.0,-0.000124867213181,2999.9998427657506,0.0,0.0,-0.0004731067621146,999.9989771683984,0.0,1999.9997548240883,0.0,0.0,-0.0001804049365543,0.0,-1910.026434590768,0.0015382472233389,0.0,999.999016169964,0.0,0.0,-0.0004624426021869,0.0,-0.0001116259713819,999.9998527611616,0.0
2039-12-31 06:00:00,1142.4790880215508,0.0,0.0,-467.35609493077214,1564.1153204930542,0.0,0.0,-6381.661920390348,56.36133470720164,0.0,1188.60171202655,0.0,1497.5410021714656,0.0,200.92166546041076,0.0,189.32595918117497,0.0,0.0,-2314.098282917916,190.3155717162835,0.0,0.0,-3438.0906263162283,3820.53573864861,0.0,0.0,-3584.261559466569,0.0,-28.20194793614692,551.9190269794063,0.0,338.77134299368635,0.0,2999.999937225359,0.0,0.0,-5.3005512542529447e-05,0.0,-5.947865339150611e-05,2999.999932272931,0.0,0.0,-0.0001802500421698,999.9997734051584,0.0,1999.9998711674907,0.0,0.0,-0.0001083677542305,0.0,-0.00225747918052,361.03914353571776,0.0,999.9997894653188,0.0,0.0,-0.0001696434607499,0.0,-0.000108309660344,999.9998596671488,0.0
2039-12-31 07:00:00,1142.4790880215508,0.0,0.0,-467.35609493077214,1564.1153204930542,0.0,0.0,-6381.661920390348,56.36133470720164,0.0,1188.60171202655,0.0,1497.5410021714656,0.0,200.92166546041076,0.0,189.32595918117497,0.0,0.0,-2314.098282917916,190.3155717162835,0.0,0.0,-3438.0906263162283,3820.53573864861,0.0,0.0,-3584.261559466569,0.0,-28.20194793614692,551.9190269794063,0.0,338.77134299368635,0.0,2999.999937225359,0.0,0.0,-5.3005512542529447e-05,0.0,-5.947865339150611e-05,2999.999932272931,0.0,0.0,-0.0001802500421698,999.9997734051584,0.0,1999.9998711674907,0.0,0.0,-0.0001083677542305,0.0,-0.00225747918052,361.03914353571776,0.0,999.9997894653188,0.0,0.0,-0.0001696434607499,0.0,-0.000108309660344,999.9998596671488,0.0
2039-12-31 08:00:00,1142.4790880215508,0.0,0.0,-467.35609493077214,1564.1153204930542,0.0,0.0,-6381.661920390348,56.36133470720164,0.0,1188.60171202655,0.0,1497.5410021714656,0.0,200.92166546041076,0.0,189.32595918117497,0.0,0.0,-2314.098282917916,190.3155717162835,0.0,0.0,-3438.0906263162283,3820.53573864861,0.0,0.0,-3584.261559466569,0.0,-28.20194793614692,551.9190269794063,0.0,338.77134299368635,0.0,2999.999937225359,0.0,0.0,-5.3005512542529447e-05,0.0,-5.947865339150611e-05,2999.999932272931,0.0,0.0,-0.0001802500421698,999.9997734051584,0.0,1999.9998711674907,0.0,0.0,-0.0001083677542305,0.0,-0.00225747918052,361.03914353571776,0.0,999.9997894653188,0.0,0.0,-0.0001696434607499,0.0,-0.000108309660344,999.9998596671488,0.0
2039-12-31 09:00:00,0.0,-4722.251096845453,0.0,-1122.7720302343855,251.43793141247684,0.0,0.0,-6554.990295012341,0.0,-232.08080676312707,0.0,-690.116238344393,1121.592937473957,0.0,891.4492027295564,0.0,0.0,-234.1554314520468,0.0,-3526.8099098338857,0.0,-164.73100831751722,0.0,-3502.3551368065887,4350.003116031142,0.0,0.0,-6108.548136935211,0.0,-594.8213341567201,418.6725703465144,0.0,235.11485141948813,0.0,2999.9999375558377,0.0,0.0,-5.455226365524195e-05,0.0,-4.747597408445856e-05,2999.999947152282,0.0,0.0,-0.0010876102983215,999.9982909680484,0.0,1999.999910892942,0.0,0.0,-7.88111731619391e-05,0.0,-0.0058451113469557,1684.7628988200531,0.0,0.0013493606957254,0.0,0.0,-956.4973953475608,0.0,-0.0001511206648111,999.9998052281508,0.0
