name,v_nom,x,y
1,220,13.67714,54.8172808
2,380,9.552734342,53.56351079
3,220,7.135589007,51.41706529
4,380,7.135881814,51.41726327
5,220,7.244493853,51.40074485
6,380,7.244787025,51.40094255
7,380,11.9490965,51.40012245
8,380,8.9079328,51.39009809
9,220,7.1890594,51.37620589
10,220,6.7035127,51.37052449
11,220,6.709224388,51.36152847
12,380,6.709515012,51.36172751
13,220,9.644376,51.35748599
14,220,7.597289747,51.34823074
15,380,9.524278468,53.54646034
16,220,6.721174529,51.34265579
17,380,6.721465088,51.34285479
18,380,6.821038506,51.3414018
19,380,6.7924513,51.32606169
20,220,6.5227314,51.32248809
21,380,6.5881942,51.28422529
22,380,6.6574929,51.19155419
23,220,6.8797647,51.18915739
24,380,12.40807583,51.17810643
25,380,9.951962864,53.48959909
26,380,9.0957296,51.16389409
27,220,6.9357514,51.14209109
28,380,6.9109967,51.11766229
29,220,6.62170787,51.05444962
30,380,6.621996235,51.05464888
31,220,6.96291436,51.05087051
32,380,6.659123618,51.03709978
33,380,6.634290411,51.03417078
34,220,6.8541511,51.02386209
35,380,9.3886907,53.3384205
36,380,6.9591121,51.02029029
37,220,6.6994739,50.97486829
38,220,7.9695049,50.95411029
39,380,6.213656042,50.94372876
40,380,11.42968685,50.91163214
41,220,8.1007167,50.87100909
42,380,6.6481563,50.86716379
43,220,7.941187924,50.8479644
44,380,7.941480604,50.84816037
45,220,6.894042365,50.8478302
46,380,6.894330636,50.84802878
47,220,6.926703078,50.83784972
48,380,6.926991426,50.83804823
49,380,9.3837797,53.3146739
50,380,7.9421349,50.83695639
51,380,6.323187902,50.83602329
52,380,12.7425046,50.82320829
53,380,7.9295009,50.81890659
54,380,7.0586911,50.81015569
55,220,8.0440017,50.78721689
56,380,8.3209437,50.72948799
57,380,7.911066905,50.7271405
58,220,7.921593908,50.71402625
59,380,7.921885681,50.71422227
60,380,12.8259721,50.65684439
61,220,8.8726099,53.1849108
62,380,8.0151758,50.63921884
63,220,11.47317314,50.60092148
64,380,8.464794649,50.60065519
65,380,7.0741578,50.59365769
66,380,7.095084785,50.58369396
67,380,7.500068556,50.34548015
68,380,8.1238717,50.30984999
69,380,11.77528079,50.20809321
70,380,11.6734418,50.19603029
71,380,8.58628489,50.13518577
72,220,13.96643146,53.1746152
73,220,8.5426736,50.09608319
74,380,8.492270955,50.08394191
75,380,8.437251353,50.05982333
76,220,10.1967491,50.02801519
77,220,6.1941964,49.94526609
78,380,8.673573991,49.94240518
79,220,7.818220453,49.89198335
80,380,6.5120236,49.88357789
81,380,8.530958454,49.85314777
82,220,9.5679286,49.82068279
83,380,8.5985415,53.0859141
84,380,6.7934258,49.81926699
85,220,7.7928907,49.81114489
86,220,6.567516277,49.79945161
87,380,6.567797045,49.79965103
88,220,6.577212817,49.769434
89,220,8.3924707,49.56774289
90,220,6.608589542,49.4915678
91,220,8.6894493,49.33602339
92,220,6.795921422,49.33468125
93,380,8.6289005,49.33340689
94,220,9.0735161,49.31193539
95,220,11.88107943,53.08326849
96,380,11.88140417,53.0834541
97,220,8.7530299,49.30962609
98,380,8.6700993,49.30920229
99,380,8.605843,49.16169079
100,220,8.321627,49.04169159
101,380,9.0844334,48.95320199
102,380,9.0757491,48.94575389
103,380,8.8219795,48.93937229
104,380,8.8342098,48.92815939
105,380,9.3025725,48.88318119
106,380,9.2936083,48.86634919
107,380,12.01229835,53.06999993
108,380,9.2403641,48.86323499
109,380,9.3397477,48.84354569
110,380,9.3940779,48.71817519
111,380,9.4033277,48.71042649
112,220,8.1001077,48.70706109
113,380,9.421214407,48.67539466
114,380,8.8718148,48.62833039
115,380,9.350048555,48.60906051
116,380,9.240195959,48.54315025
117,380,9.2182231,48.53246029
118,220,14.0307483,54.7830701
119,380,7.18438535,52.75621645
120,380,10.2346772,48.43467519
121,220,12.8651391,48.32958149
122,220,10.05453307,48.31109383
123,380,10.05481913,48.31128455
124,220,12.99714893,48.2945713
125,220,13.06402678,48.29442831
126,220,10.06477996,48.27253944
127,380,10.06506584,48.27273013
128,220,13.05576146,48.27020227
129,380,8.627626158,48.05668046
130,380,8.5887872,48.04535759
131,380,8.5305556,47.91484819
132,220,13.21034488,52.68001802
133,220,11.3045349,47.65462729
134,220,11.3365743,47.62954239
135,380,7.9953862,47.57836749
136,220,13.47625688,52.62953996
137,380,13.47658492,52.62972123
138,220,13.51468766,52.61931968
139,380,13.51501578,52.61950085
140,220,13.5334559,52.61919433
141,380,13.5337841,52.61937545
142,380,12.9076739,52.59692919
143,380,13.6798066,52.58468839
144,220,13.6943539,52.56038756
145,380,13.69468231,52.56056823
146,380,9.0012677,52.53951469
147,220,11.76852762,52.50430072
148,220,13.93619911,54.7583177
149,220,8.40186431,52.49658071
150,380,8.402169691,52.49677548
151,380,7.4129489,52.47010479
152,220,8.325695,52.45700399
153,380,8.3057941,52.43941219
154,380,8.308483,52.40315969
155,220,8.297912629,52.38157647
156,380,8.298216771,52.38177151
157,220,10.1846439,52.30526549
158,220,7.8807455,52.26568799
159,220,8.1123126,52.24362339
160,220,7.3719734,52.19769579
161,220,10.2041312,54.3407327
162,220,10.24758678,52.18899105
163,380,7.381831,52.17897039
164,220,8.2116205,52.17861839
165,220,10.35713549,52.17604951
166,380,10.9761229,52.16974479
167,380,7.3986181,52.16873389
168,380,14.5112165,52.16161529
169,220,11.5632769,52.12414779
170,380,9.412715272,52.02804271
171,380,12.1304799,54.1408596
172,380,6.9670047,52.00760219
173,220,8.6807188,51.99684189
174,220,8.6290784,51.99452089
175,380,7.484673306,51.95615718
176,380,6.9454549,51.92675029
177,220,9.8524163,51.89876529
178,380,7.6372691,51.88868729
179,380,9.926370324,51.88199355
180,380,14.45775273,51.83403498
181,220,9.8524753,51.81831119
182,380,9.3557308,53.8783433
183,220,9.8759312,51.76466939
184,380,7.833887761,51.75348916
185,220,6.52533729,51.75308879
186,380,6.52562956,51.75328827
187,220,8.7391058,51.70055739
188,220,7.7008697,51.69036949
189,380,7.6098655,51.68884639
190,220,6.855912376,51.67963526
191,380,6.856205625,51.67983393
192,220,6.669634143,51.67612268
193,380,6.669926559,51.67632181
194,220,7.456434436,51.66014681
195,380,7.456730165,51.66034398
196,220,7.367656109,51.62877255
197,380,7.367951253,51.62896994
198,220,9.4596775,53.8646575
199,220,6.62976191,51.61427907
200,380,6.630053764,51.6144783
201,220,7.4758498,51.61382509
202,220,7.3437134,51.61310499
203,220,6.64624066,51.6070172
204,380,6.64653254,51.60721639
205,220,6.659488155,51.59944831
206,380,6.659780045,51.59964747
207,380,7.3699008,51.58694899
208,380,6.929913726,51.56483615
209,220,6.703760588,51.55830037
