name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE938534551104,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,1.82,1.638,0.95,0.95,0,1,0.28,0.28,0,battery_operator_0,186
SEE911836897996,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,5,4.5,0.95,0.95,0,1,0.28,0.28,0,battery_operator_1,233
SEE966091400436,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,18.149,16.3341,0.95,0.95,0,1,0.28,0.28,0,battery_operator_2,718
SEE905490507995,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,9.626,8.6634,0.95,0.95,0,1,0.28,0.28,0,battery_operator_3,201
SEE971138728251,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,15,13.5,0.95,0.95,0,1,0.28,0.28,0,battery_operator_4,246
SEE964940893804,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,15,13.5,0.95,0.95,0,1,0.28,0.28,0,battery_operator_5,435
SEE948862230381,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,6.545,5.8905,0.95,0.95,0,1,0.28,0.28,0,battery_operator_6,423
SEE960687200189,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,1.064,0.9576,0.95,0.95,0,1,0.28,0.28,0,battery_operator_7,27
SEE909145211435,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,1.064,0.9576,0.95,0.95,0,1,0.28,0.28,0,battery_operator_8,27
SEE998402334093,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,7.5,6.75,0.95,0.95,0,1,0.28,0.28,0,battery_operator_9,417
SEE906903701511,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,1.5,1.35,0.95,0.95,0,1,0.28,0.28,0,battery_operator_10,633
SEE947652720293,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,2.4,2.16,0.95,0.95,0,1,0.28,0.28,0,battery_operator_11,718
SEE913265695471,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,2.74,2.466,0.95,0.95,0,1,0.28,0.28,0,battery_operator_12,795
SEE977231455070,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,9.6,8.64,0.95,0.95,0,1,0.28,0.28,0,battery_operator_13,51
SEE979298824578,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,7.018,6.3162,0.95,0.95,0,1,0.28,0.28,0,battery_operator_14,625
SEE911454349471,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,13,11.7,0.95,0.95,0,1,0.28,0.28,0,battery_operator_15,422
SEE934842271741,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,8.1,7.29,0.95,0.95,0,1,0.28,0.28,0,battery_operator_16,422
SEE971932533266,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,72,64.8,0.95,0.95,0,1,0.28,0.28,0,battery_operator_17,189
SEE935147494255,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,4.56,4.104,0.95,0.95,0,1,0.28,0.28,0,battery_operator_18,233
SEE948347896118,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,2.616,2.3544,0.95,0.95,0,1,0.28,0.28,0,battery_operator_19,723
SEE972107201331,li_ion_battery,flexable_eom_storage,FixedDispatchStrategy,8.12,7.308,0.95,0.95,0,1,0.28,0.28,0,battery_operator_20,492
