name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/127187723-380+1,way/979801144-380,way/952346322-380,380,2.58,2,3396.205,0.053754,0.440782,3.11E-05,3583.59
merged_way/1286792202-380+3,way/48057110-380,DE178-380,380,2.58,1,1698.103,0.579589,4.752627,8.38E-05,19319.62
merged_way/128714149-1-220+4,DE166-220,way/149987048-220,220,1.29,1,491.556,3.253089,16.319663,0.00021291,54218.15
merged_way/128714156-380+2,way/1223405794-380,way/149987048-380,380,2.58,4,6792.41,0.072309,0.592935,0.00016719,9641.22
merged_way/129175345-380+2,way/11285720-380,way/24502420-380,380,2.58,2,3396.205,0.429528,3.522128,0.00024829,28635.19
merged_way/131472622-380+2,DE187-380,way/43688805-380,380,2.58,2,3396.205,0.27089,2.221295,0.00015659,18059.31
merged_way/132074206-220+1,way/89215122-220,DE177-220,220,1.29,2,983.112,0.109736,0.550508,2.87E-05,3657.86
merged_way/138220867-380+2,DE152-380,DE150-380,380,2.58,2,3396.205,0.508499,4.169691,0.00029394,33899.93
merged_way/139305260-1-380+2,way/54359256-380,way/152018146-380,380,2.58,2,3396.205,0.294719,2.416694,0.00017036,19647.92
merged_way/139305260-2-220+2,way/54359256-220,way/152018146-220,220,1.29,2,983.112,0.613101,3.075723,0.00016051,20436.7
merged_way/143848416-220+1,way/152973139-220,DE176-220,220,1.29,1,491.556,0.979347,4.913057,6.41E-05,16322.45
merged_way/143901793-1-220+1,DE179-220,way/143903369-220,220,1.29,1,491.556,0.150704,0.756034,9.86E-06,2511.74
merged_way/143980167-220+3,way/42410916-220,DE169-220,220,1.29,2,983.112,2.180514,10.938912,0.00057086,72683.8
merged_way/144232574-220+2,way/87653464-220,way/933248930-220,220,1.29,2,983.112,1.465814,7.353501,0.00038375,48860.47
merged_way/145129281-1-380+5,way/143903369-380,DE181-380,380,2.58,1,1698.103,0.955773,7.837336,0.00013812,31859.09
merged_way/145129281-2-220+2,DE180-220,way/143903369-220,220,1.29,1,491.556,1.531804,7.684551,0.00010026,25530.07
