name,bus0,bus1,s_nom,x,r
0,AT0 0,CH0 0,5094.0,46.23792040305165,5.638770780859957
1,AT0 0,CZ0 0,5094.0,26.95162126107195,3.2867830806185303
10,BE0 0,LU0 0,1698.0,38.49929187293208,4.69503559426001
11,BE0 0,NL0 0,10188.0,9.058420567709426,1.1046854350865154
12,CH0 0,DE0 6,22074.0,2.81527728130245,0.343326497719811
13,CH0 0,FR0 0,13584.0,14.973222550638324,1.8260027500778444
14,CH0 0,IT0 0,10188.0,22.8445526203745,2.785921051265183
15,CZ0 0,DE0 18,3396.0,37.11859161905775,4.526657514519236
16,CZ0 0,DE0 29,5094.0,23.62257413279064,2.880801723511053
17,CZ0 0,PL0 0,5094.0,34.11623287961148,4.160516204830668
18,DE0 0,DE0 17,15282.0,2.0281219857172057,0.247331949477708
19,DE0 0,DE0 20,11886.0,2.739974604267584,0.3341432444228761
21,DE0 0,DE0 25,1698.0,37.471532145298205,4.569699042109536
22,DE0 0,NL0 0,6792.0,10.684887120901257,1.3030350147440557
23,DE0 1,DE0 18,1698.0,20.356725557127227,2.4825275069667345
24,DE0 1,DE0 18,5094.0,6.785576374323518,0.8275093139418924
25,DE0 1,DE0 24,6792.0,9.269706309356431,1.1304519889459064
26,DE0 1,DE0 27,5094.0,18.386724370618,2.2422834598314627
27,DE0 1,DE0 3,8490.0,5.107459594607598,0.6228609261716583
28,DE0 1,DE0 7,5094.0,17.93432697543547,2.187113045784814
29,DE0 10,DE0 27,5094.0,5.22567831648024,0.6372778434731998
3,AT0 0,DE0 10,1698.0,82.98270713192605,10.119842333161712
30,DE0 10,DE0 7,3396.0,11.257065641469437,1.372812883106029
31,DE0 11,DE0 16,1698.0,54.35593933321513,6.62877308941648
32,DE0 11,DE0 2,5094.0,17.142701176001054,2.0905733141464697
33,DE0 11,DE0 2,5094.0,17.14270116486582,2.0905733127885147
34,DE0 11,DE0 2,5094.0,17.142701164587635,2.0905733127545894
35,DE0 11,DE0 24,3396.0,21.076312303864828,2.5702819882761987
36,DE0 11,DE0 24,5094.0,14.050874561723363,1.7135212880150443
37,DE0 11,DE0 4,6792.0,9.427160147269644,1.149653676496298
38,DE0 11,DE0 8,3396.0,16.498017099867965,2.011953304861947
39,DE0 12,DE0 20,3396.0,21.99661802967656,2.682514393862995
4,AT0 0,DE0 14,3396.0,20.099967038731453,2.451215492528226
40,DE0 12,DE0 25,1698.0,41.13579412613929,5.016560259285279
41,DE0 12,DE0 9,5094.0,13.472225102210237,1.6429542807573456
42,DE0 12,FR0 0,6792.0,30.16750203398377,3.678963662680947
43,DE0 12,LU0 0,5094.0,6.1969803556376055,0.7557293116631225
44,DE0 13,DE0 19,3396.0,22.402778294722005,2.7320461335026835
45,DE0 13,DE0 25,6792.0,5.87922765238358,0.7169789819979975
46,DE0 13,DE0 3,8490.0,5.634612099875778,0.6871478170580216
47,DE0 13,DE0 9,5094.0,9.599261673218024,1.1706416674656126
48,DE0 14,DE0 18,1698.0,55.04674354571523,6.713017505575028
49,DE0 14,DE0 7,6792.0,7.600628050075345,0.926905859765286
5,AT0 0,DE0 27,3396.0,49.3088144532904,6.013270055279317
50,DE0 14,DE0 7,5094.0,10.134170888329749,1.2358744985767984
51,DE0 15,DE0 2,5094.0,13.380271490611792,1.6317404256843648
52,DE0 15,DE0 23,11886.0,3.070389350506374,0.374437725671509
53,DE0 15,DE0 5,10188.0,5.417633733320008,0.6606870406487814
54,DE0 15,DE0 8,5094.0,16.587515849947597,2.022867786578975
55,DE0 16,DE0 29,10188.0,6.848998122190819,0.8352436734379048
56,DE0 16,DE0 4,11886.0,5.442173540820464,0.6636797001000564
57,DE0 16,PL0 0,3396.0,51.23732633228018,6.248454430765876
58,DE0 17,DE0 19,3396.0,18.38568908199589,2.2421572051214493
59,DE0 17,DE0 20,1698.0,32.005174079214335,3.9030700096602846
6,AT0 0,DE0 7,1698.0,62.180625765058,7.583003142080243
60,DE0 17,DE0 22,5094.0,16.447235322316903,2.005760405160597
61,DE0 17,DE0 25,1698.0,35.699681857113575,4.353619738672387
62,DE0 17,DE0 28,10188.0,4.455467413155659,0.5433496845311778
63,DE0 18,DE0 29,5094.0,12.80046098191215,1.5610318270624572
64,DE0 19,DE0 24,3396.0,22.136429568086484,2.699564581473961
65,DE0 19,DE0 28,6792.0,7.756424824758035,0.9459054664339068
66,DE0 19,DE0 3,3396.0,28.55411276911306,3.482208874282081
67,DE0 19,DE0 8,6792.0,8.741921447216553,1.0660879813678723
68,DE0 2,DE0 26,5094.0,10.91432611616226,1.331015380019788
69,DE0 20,DE0 25,10188.0,4.218220637176957,0.5144171508752386
70,DE0 20,NL0 0,3396.0,27.963508510142216,3.4101839646514898
71,DE0 21,DE0 27,6792.0,6.3598539834778895,0.7755919492046206
72,DE0 21,DE0 3,3396.0,18.868731926560137,2.3010648690927
73,DE0 21,DE0 6,3396.0,17.84024581990629,2.1756397341349136
74,DE0 21,DE0 9,10188.0,3.7827091209503823,0.4613059903598027
75,DE0 22,DE0 5,5094.0,8.020048940425761,0.9780547488324098
76,DE0 22,NL0 0,3396.0,29.39514088236753,3.5847732783375044
77,DE0 23,DE0 5,5094.0,11.810742614828737,1.4403344652230166
78,DE0 23,DK0 0,10188.0,10.507869852618589,1.281447543002267
8,AT0 0,IT0 0,3396.0,74.6837955579737,9.107779946094352
81,DE0 24,DE0 29,8490.0,6.386902884343671,0.7788905956516672
82,DE0 24,DE0 3,5094.0,14.514303972473492,1.7700370698138403
83,DE0 25,DE0 9,3396.0,23.090296092392865,2.8158897673649834
84,DE0 26,DE0 4,8490.0,8.969238786257943,1.0938096080802369
86,DE0 26,PL0 0,3396.0,66.06034831955783,8.056140038970465
87,DE0 27,DE0 3,1698.0,52.47091167135929,6.398891667238938
88,DE0 27,DE0 6,1698.0,33.34064708639987,4.065932571512179
89,DE0 28,DE0 5,13584.0,3.798685945573585,0.4632543836065347
9,BE0 0,FR0 0,6792.0,32.7182403851115,3.990029315257499
90,DE0 28,DE0 8,1698.0,34.71069388955364,4.233011449945566
91,DE0 6,DE0 9,5094.0,15.77062699335076,1.9232471943110685
92,DE0 6,DE0 9,5094.0,15.770626958192842,1.9232471900235173
93,DE0 6,FR0 0,3396.0,61.87728658427651,7.546010559058111
94,DE0 9,FR0 0,1698.0,142.5322231109412,17.38197842816356
95,DK1 0,SE1 0,3396.0,92.00830114454804,11.22052452982293
96,ES0 0,FR0 0,6792.0,67.61497927372037,8.245729179721994
97,FR0 0,IT0 0,6792.0,58.87209497368792,7.179523777279015
98,FR0 0,LU0 0,1698.0,110.07289630339008,13.423523939437816
99,NO1 0,SE1 0,8490.0,24.00044432169504,2.926883453865249
