,pp_1,pp_2,pp_3,pp_4,pp_6,pp_7
0,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,85.70833333333337,69.98256527059037
1,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
2,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.9825652705912,69.98256527059037
3,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
4,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037
5,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
6,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
7,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
8,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037
9,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
10,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
11,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
12,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037
13,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037
14,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037
15,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
16,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059043,69.98256527059037
17,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
18,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059034,69.98256527059037
19,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
20,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
21,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
22,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527058766,69.98256527059037
23,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
24,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059037,69.98256527059036,69.98256527059037
