name,technology,bidding_EOM,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_costs,hot_start_costs,warm_start_costs,cold_start_costs,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Wind Onshore,wind_onshore,powerplant_energy_heuristic_flexable,renewable,0,53190,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Wind Offshore,wind_offshore,powerplant_energy_heuristic_flexable,renewable,0,7560,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Solar,solar,powerplant_energy_heuristic_flexable,renewable,0,48860,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Hydro,hydro,powerplant_energy_heuristic_flexable,renewable,0,4940,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
Biomass,biomass,powerplant_energy_heuristic_flexable,renewable,0,8340,0,1,,,0,0,0,0,0,0,0,0,renewables_operator
KKW ISAR 2,nuclear,powerplant_energy_learning,uranium,0,1485.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW BROKDORF,nuclear,powerplant_energy_learning,uranium,0,1480.0,590.0,0.33,890.0,890.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW GROHNDE,nuclear,powerplant_energy_learning,uranium,0,1430.0,570.0,0.33,860.0,860.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW EMSLAND,nuclear,powerplant_energy_learning,uranium,0,1406.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW NECKARWESTHEIM,nuclear,powerplant_energy_learning,uranium,0,1400.0,560.0,0.33,840.0,840.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
KKW GUNDREMMINGEN C,nuclear,powerplant_energy_learning,uranium,0,1344.0,540.0,0.33,810.0,810.0,10.3,140.0,140.0,140.0,72.0,10.0,no,0.0,RL_operator
NEURATH F,lignite,powerplant_energy_learning,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH G,lignite,powerplant_energy_learning,lignite,0.406,1120.0,560.0,0.434,590.0,590.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NIEDERAUSSEM K,lignite,powerplant_energy_learning,lignite,0.406,1012.0,510.0,0.422,540.0,540.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
LIPPENDORF R,lignite,powerplant_energy_learning,lignite,0.406,933.0,470.0,0.416,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,RL_operator
LIPPENDORF S,lignite,powerplant_energy_learning,lignite,0.406,933.0,470.0,0.415,490.0,490.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,165.0,RL_operator
BOXBERG Q,lignite,powerplant_energy_learning,lignite,0.406,907.0,460.0,0.415,480.0,480.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,65.0,RL_operator
SCHWARZE PUMPE A,lignite,powerplant_energy_learning,lignite,0.406,800.0,400.0,0.408,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,RL_operator
SCHWARZE PUMPE B,lignite,powerplant_energy_learning,lignite,0.406,800.0,400.0,0.407,420.0,420.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,60.0,RL_operator
BOXBERG R,lignite,powerplant_energy_learning,lignite,0.406,675.0,340.0,0.433,360.0,360.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NIEDERAUSSEM G,lignite,powerplant_energy_learning,lignite,0.406,620.0,310.0,0.38,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,245.0,RL_operator
NIEDERAUSSEM H,lignite,powerplant_energy_learning,lignite,0.406,620.0,310.0,0.374,330.0,330.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH D,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RL_operator
WEISWEILER H,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.364,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RL_operator
NEURATH E,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.363,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,5.0,RL_operator
WEISWEILER G,lignite,powerplant_energy_learning,lignite,0.406,600.0,300.0,0.354,320.0,320.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,92.0,RL_operator
JAENSCHWALDE D,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.388,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
JAENSCHWALDE B,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.38,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
JAENSCHWALDE C,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.379,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
BOXBERG P,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.372,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,RL_operator
JAENSCHWALDE A,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.37,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,76.0,RL_operator
BOXBERG N,lignite,powerplant_energy_learning,lignite,0.406,500.0,250.0,0.362,270.0,270.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,30.0,RL_operator
SCHKOPAU II A,lignite,powerplant_energy_learning,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,RL_operator
SCHKOPAU II B,lignite,powerplant_energy_learning,lignite,0.406,480.0,240.0,0.41,260.0,260.0,1.65,30.4,47.5,69.3,10.0,7.0,yes,100.0,RL_operator
NIEDERAUSSEM C,lignite,powerplant_energy_learning,lignite,0.406,335.0,170.0,0.338,180.0,180.0,1.65,30.4,47.5,69.3,10.0,7.0,no,0.0,RL_operator
NEURATH A,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
NEURATH B,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.355,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WEISWEILER E,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.338,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WEISWEILER F,lignite,powerplant_energy_learning,lignite,0.406,300.0,150.0,0.337,160.0,160.0,1.65,45.1,73.9,73.2,10.0,7.0,no,0.0,RL_operator
WERDOHL ELVERLINGSEN E4,hard coal,powerplant_energy_learning,hard coal,0.335,315.0,130.0,0.39,220.0,220.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
BEXBACH C 1,hard coal,powerplant_energy_learning,hard coal,0.335,773.0,310.0,0.389,530.0,530.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
GERSTEINWERK BLOCK K,hard coal,powerplant_energy_learning,hard coal,0.335,670.0,270.0,0.42,460.0,460.0,1.3,30.4,47.5,69.3,7.0,6.0,no,0.0,RL_operator
