,Wind Onshore,Wind Offshore,Solar,Hydro,Biomass
2021-01-01 00:00:00,0.07396127091558563,0.050661375661375664,0.0,0.24412955465587044,0.5511990407673861
2021-01-01 01:00:00,0.06657266403459297,0.052248677248677246,0.0,0.2423076923076923,0.5497601918465228
2021-01-01 02:00:00,0.06050009400263207,0.04034391534391534,0.0,0.23582995951417005,0.549400479616307
2021-01-01 03:00:00,0.05241586764429404,0.042328042328042326,0.0,0.2388663967611336,0.5479616306954437
2021-01-01 04:00:00,0.046869712351945855,0.039285714285714285,0.0,0.23380566801619435,0.5480815347721822
2021-01-01 05:00:00,0.04025192705395751,0.05727513227513228,0.0,0.23198380566801619,0.5503597122302158
2021-01-01 06:00:00,0.0378266591464561,0.06746031746031746,0.0,0.23481781376518218,0.5550359712230216
2021-01-01 07:00:00,0.03713103966911074,0.051587301587301584,0.0,0.23461538461538461,0.5628297362110312
2021-01-01 08:00:00,0.03925549915397631,0.047619047619047616,0.003990994678673762,0.23319838056680162,0.5715827338129497
2021-01-01 09:00:00,0.03993231810490694,0.03306878306878307,0.027916496111338517,0.23562753036437248,0.571462829736211
2021-01-01 10:00:00,0.0361158112427148,0.059126984126984125,0.06115431846090872,0.23461538461538461,0.5743405275779376
2021-01-01 11:00:00,0.030607257003196088,0.07367724867724867,0.08673761768317642,0.23502024291497975,0.5750599520383693
2021-01-01 12:00:00,0.02485429592028577,0.08862433862433862,0.09881293491608678,0.23684210526315788,0.5683453237410072
2021-01-01 13:00:00,0.02178981011468321,0.11058201058201059,0.08667621776504297,0.23724696356275304,0.5628297362110312
2021-01-01 14:00:00,0.023406655386350818,0.10595238095238095,0.055792058943921405,0.2360323886639676,0.5611510791366906
2021-01-01 15:00:00,0.029441624365482234,0.0884920634920635,0.019340974212034383,0.23643724696356275,0.5627098321342926
2021-01-01 16:00:00,0.04036473021244595,0.11018518518518519,0.0009005321326238232,0.2417004048582996,0.571462829736211
2021-01-01 17:00:00,0.054972739236698626,0.09947089947089947,0.0,0.24473684210526317,0.5830935251798561
2021-01-01 18:00:00,0.0671554803534499,0.09259259259259259,0.0,0.24392712550607287,0.5842925659472422
2021-01-01 19:00:00,0.07390486933634141,0.10304232804232805,0.0,0.23927125506072874,0.5850119904076738
2021-01-01 20:00:00,0.07899981199473585,0.09576719576719576,0.0,0.2423076923076923,0.5788968824940048
2021-01-01 21:00:00,0.08322993043805227,0.08492063492063492,0.0,0.2479757085020243,0.5729016786570743
2021-01-01 22:00:00,0.08826847151720248,0.11137566137566138,0.0,0.24878542510121457,0.5676258992805755
2021-01-01 23:00:00,0.08687723256251174,0.07817460317460317,0.0,0.24777327935222673,0.5613908872901678
2021-01-02 00:00:00,0.08507238202669674,0.056216931216931214,0.0,0.241497975708502,0.5543165467625899
2021-01-02 01:00:00,0.08174468885128784,0.05740740740740741,0.0,0.23502024291497975,0.5510791366906475
2021-01-02 02:00:00,0.07757097198721565,0.07447089947089947,0.0,0.2374493927125506,0.5523980815347722
2021-01-02 03:00:00,0.07708215830043241,0.05357142857142857,0.0,0.23987854251012145,0.5532374100719425
2021-01-02 04:00:00,0.07529610829103214,0.04193121693121693,0.0,0.23623481781376518,0.5525179856115108
2021-01-02 05:00:00,0.06792630193645421,0.051455026455026455,0.0,0.2257085020242915,0.5531175059952038
2021-01-02 06:00:00,0.06251175032900921,0.06706349206349206,0.0,0.23319838056680162,0.5573141486810551
2021-01-02 07:00:00,0.0561947734536567,0.08214285714285714,0.0,0.23340080971659918,0.5640287769784172
2021-01-02 08:00:00,0.05055461552923482,0.06005291005291005,0.0031723291035611954,0.23987854251012145,0.5707434052757794
2021-01-02 09:00:00,0.042940402331265275,0.046031746031746035,0.020118706508391322,0.2431174089068826,0.5758992805755395
2021-01-02 10:00:00,0.03263771385598797,0.03796296296296296,0.04506753990994679,0.23441295546558705,0.5799760191846522
2021-01-02 11:00:00,0.024948298552359464,0.03677248677248677,0.06774457634056488,0.2354251012145749,0.5776978417266188
2021-01-02 12:00:00,0.019101334837375448,0.03955026455026455,0.07627916496111338,0.23319838056680162,0.5717026378896882
2021-01-02 13:00:00,0.017277683775145703,0.03505291005291005,0.0628735161686451,0.23076923076923078,0.5677458033573142
2021-01-02 14:00:00,0.020699379582628314,0.03148148148148148,0.03657388456815391,0.23076923076923078,0.5696642685851319
2021-01-02 15:00:00,0.025775521714608007,0.05092592592592592,0.012095783872288171,0.22732793522267206,0.5689448441247003
2021-01-02 16:00:00,0.03246850911825531,0.06812169312169312,0.00047073270568972575,0.22672064777327935,0.5770983213429257
2021-01-02 17:00:00,0.04004512126339538,0.09748677248677248,0.0,0.2291497975708502,0.5853717026378897
2021-01-02 18:00:00,0.05190825343109607,0.14537037037037037,0.0,0.2271255060728745,0.5863309352517986
2021-01-02 19:00:00,0.06157172400827223,0.17156084656084655,0.0,0.22793522267206479,0.5869304556354916
2021-01-02 20:00:00,0.0685843203609701,0.1869047619047619,0.0,0.2265182186234818,0.5804556354916067
2021-01-02 21:00:00,0.0775521714608009,0.2029100529100529,0.0,0.23178137651821862,0.5748201438848921
2021-01-02 22:00:00,0.09110735100582816,0.233994708994709,0.0,0.23340080971659918,0.5685851318944845
2021-01-02 23:00:00,0.10515134423763865,0.32261904761904764,0.0,0.2265182186234818,0.5627098321342926
2021-01-03 00:00:00,0.12265463432976123,0.36455026455026457,0.0,0.23218623481781375,0.5575539568345323
2021-01-03 01:00:00,0.14030832863320172,0.36124338624338626,0.0,0.22753036437246962,0.5553956834532374
