name,technology,bidding_EOM,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,unit_operator
Wind Onshore,wind_onshore,powerplant_energy_heuristic_flexable,renewable,0.0,68200,0,1.0,,,1.0,0.0,0.0,0.0,renewables_operator
Wind Offshore,wind_offshore,powerplant_energy_heuristic_flexable,renewable,0.0,9700,0,1.0,,,1.5,0.0,0.0,0.0,renewables_operator
Solar,solar,powerplant_energy_heuristic_flexable,renewable,0.0,107700,0,1.0,,,0.5,0.0,0.0,0.0,renewables_operator
Hydro,hydro,powerplant_energy_heuristic_flexable,renewable,0.0,4940,0,1.0,,,0.5,0.0,0.0,0.0,renewables_operator
Biomass,biomass,powerplant_energy_heuristic_flexable,renewable,0.0,8340,0,1.0,,,0.25,0.0,0.0,0.0,renewables_operator
NEURATH F,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,1120,560,0.434,590.0,590.0,1.65,30.4,47.5,69.3,RL_operator
NEURATH G,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,1120,560,0.434,590.0,590.0,1.65,30.4,47.5,69.3,RL_operator
NIEDERAUSSEM K,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,1012,510,0.422,540.0,540.0,1.65,30.4,47.5,69.3,RL_operator
LIPPENDORF R,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,933,470,0.416,490.0,490.0,1.65,30.4,47.5,69.3,RL_operator
LIPPENDORF S,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,933,470,0.415,490.0,490.0,1.65,30.4,47.5,69.3,RL_operator
BOXBERG Q,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,907,460,0.415,480.0,480.0,1.65,30.4,47.5,69.3,RL_operator
SCHWARZE PUMPE A,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,800,400,0.408,420.0,420.0,1.65,30.4,47.5,69.3,RL_operator
SCHWARZE PUMPE B,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,800,400,0.407,420.0,420.0,1.65,30.4,47.5,69.3,RL_operator
BOXBERG R,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,675,340,0.433,360.0,360.0,1.65,30.4,47.5,69.3,RL_operator
NIEDERAUSSEM G,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,620,310,0.38,330.0,330.0,1.65,30.4,47.5,69.3,RL_operator
NIEDERAUSSEM H,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,620,310,0.374,330.0,330.0,1.65,30.4,47.5,69.3,RL_operator
WEISWEILER H,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,600,300,0.364,320.0,320.0,1.65,30.4,47.5,69.3,RL_operator
WEISWEILER G,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,600,300,0.354,320.0,320.0,1.65,30.4,47.5,69.3,RL_operator
JAENSCHWALDE F,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.386,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
JAENSCHWALDE B,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.38,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
JAENSCHWALDE C,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.379,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
BOXBERG P,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.372,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
JAENSCHWALDE A,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.37,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
BOXBERG N,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,500,250,0.362,270.0,270.0,1.65,30.4,47.5,69.3,RL_operator
SCHKOPAU II A,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,480,240,0.41,260.0,260.0,1.65,30.4,47.5,69.3,RL_operator
SCHKOPAU II B,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,480,240,0.41,260.0,260.0,1.65,30.4,47.5,69.3,RL_operator
FRIMMERSDORF Q,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,300,150,0.346,160.0,160.0,1.65,45.1,73.9,73.2,RL_operator
FRIMMERSDORF P,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,300,150,0.337,160.0,160.0,1.65,45.1,73.9,73.2,RL_operator
NIEDERAUSSEM D,lignite,powerplant_energy_heuristic_flexable,lignite,0.406,300,150,0.337,160.0,160.0,1.65,45.1,73.9,73.2,RL_operator
RDK (KARLSRUHE) 8,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,912,370,0.452,620.0,620.0,1.3,30.4,47.5,69.3,RL_operator
GKM 9,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,911,370,0.454,620.0,620.0,1.3,30.4,47.5,69.3,RL_operator
HEYDEN 4,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,911,370,0.396,620.0,620.0,1.3,30.4,47.5,69.3,RL_operator
WESTFALEN E,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,820,330,0.452,560.0,560.0,1.3,30.4,47.5,69.3,RL_operator
WALSUM 10,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,790,320,0.454,540.0,540.0,1.3,30.4,47.5,69.3,RL_operator
WILHELMSHAVEN A,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,770,310,0.373,520.0,520.0,1.3,30.4,47.5,69.3,RL_operator
VOERDE B,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,761,310,0.398,520.0,520.0,1.3,30.4,47.5,69.3,RL_operator
VOERDE A,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,761,310,0.39,520.0,520.0,1.3,30.4,47.5,69.3,RL_operator
HEILBRONN 7,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,760,310,0.398,520.0,520.0,1.3,30.4,47.5,69.3,RL_operator
LUENEN 2 STUMMHAFEN,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,750,300,0.459,510.0,510.0,1.3,30.4,47.5,69.3,RL_operator
ROSTOCK 1,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,553,230,0.432,380.0,380.0,1.3,30.4,47.5,69.3,RL_operator
ZOLLING LEININGER 5,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,474,190,0.398,320.0,320.0,1.3,30.4,47.5,69.3,RL_operator
WALSUM BLOCK 9,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,410,170,0.406,280.0,280.0,1.3,30.4,47.5,69.3,RL_operator
HKW MUENCHEN NORD 2,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,365,150,0.412,250.0,250.0,1.3,30.4,47.5,69.3,RL_operator
WEST (VOERDE) 1,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,356,150,0.356,250.0,250.0,1.3,30.4,47.5,69.3,RL_operator
WEST (VOERDE) 2,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,356,150,0.356,250.0,250.0,1.3,30.4,47.5,69.3,RL_operator
KIEL A,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,354,150,0.356,240.0,240.0,1.3,30.4,47.5,69.3,RL_operator
LUENEN 7,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,350,140,0.356,240.0,240.0,1.3,30.4,47.5,69.3,RL_operator
BREMEN HAFEN 6,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,330,140,0.452,230.0,230.0,1.3,30.4,47.5,69.3,RL_operator
WERDOHL ELVERLINGSEN E4,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,315,130,0.39,220.0,220.0,1.3,30.4,47.5,69.3,RL_operator
GKH HANNOVER,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,300,120,0.405,210.0,210.0,1.3,45.1,73.9,73.2,RL_operator
HKW BERLIN REUTER WEST E,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,300,120,0.405,210.0,210.0,1.3,45.1,73.9,73.2,RL_operator
HKW BERLIN REUTER WEST D,hard coal,powerplant_energy_heuristic_flexable,hard coal,0.335,300,120,0.382,210.0,210.0,1.3,45.1,73.9,73.2,RL_operator
IRSCHING 5,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,860,350,0.597,710.0,710.0,3.5,24.1,34.2,46.7,RL_operator
EMSLAND LINGEN D,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,850,340,0.592,710.0,702.0,3.5,24.1,34.2,46.7,RL_operator
GUD HUERTH KNAPSACK 1,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,800,320,0.548,660.0,660.0,3.5,24.1,34.2,46.7,RL_operator
KW LAUSWARD BLOCK FORTUNA GUD,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,595,240,0.6,500.0,500.0,3.5,24.1,34.2,46.7,RL_operator
DORMAGEN RWE,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,580,240,0.523,480.0,480.0,3.5,24.1,34.2,46.7,RL_operator
IRSCHING 4,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,565,230,0.59,470.0,470.0,3.5,24.1,34.2,46.7,RL_operator
KW BASF LUDWIGSHAFEN MITTE,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,490,200,0.56,410.0,410.0,3.5,24.1,34.2,46.7,RL_operator
EMSLAND LINGEN B,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,481,200,0.46,400.0,400.0,3.5,24.1,34.2,46.7,RL_operator
EMSLAND LINGEN C,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,481,200,0.46,400.0,400.0,3.5,24.1,34.2,46.7,RL_operator
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,445,180,0.58,370.0,370.0,3.5,24.1,34.2,46.7,RL_operator
BERLIN MITTE HKW,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,444,180,0.488,370.0,370.0,3.5,24.1,34.2,46.7,RL_operator
GUD HUERTH KNAPSACK 2,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,430,180,0.59,360.0,360.0,3.5,24.1,34.2,46.7,RL_operator
HKW MUENCHEN SUED GUD,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,426,180,0.54,360.0,360.0,3.5,24.1,34.2,46.7,RL_operator
KW LAUSWARD BLOCK EMIL GUD,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,424,170,0.363,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
KW HERDECKE CUNO MARK E,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,417,170,0.548,350.0,350.0,3.5,24.1,34.2,46.7,RL_operator
KOELN NIEHL 2,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,405,170,0.54,340.0,340.0,3.5,24.1,34.2,46.7,RL_operator
HAMM UENTROP BLOCK 10,combined cycle gas turbine,powerplant_energy_heuristic_flexable,natural gas,0.201,400,160,0.575,330.0,330.0,3.5,24.1,34.2,46.7,RL_operator
