Line,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,g,b,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,carrier,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
11,16,5,13.7,3,50,71281,2.6,36.253,36253,1,TenneT,Leitung 3023,0.025,2,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
12,17,18,10.275,3,50,109962,1.95,200.291,200291,0.75,50Hertz,518,0.033333,518,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)",0.333333,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
13,17,12,10.275,3,50,109969,1.95,24.268,24268,0.75,50Hertz,520,0.033333,520,1283.449648,Al/St 240/40 4-bundle 380.0,380000,3,"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)",0.333333,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
14,13,15,6.85,3,,112804,1.3,44.371,44371,0.5,transpower,Oba-Oh,0.05,462,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)",0.5,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
15,14,15_220kV,23,6,50,112810,2.6,5.432,5432,2,,Nfi-Oh,0.04,286;287,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)",0.16,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
16,13_220kV,19,23,6,50,114252,2.6,30.996,30996,2,TenneT,OBR-OBA,0.04,269;270,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)",0.16,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
17,20,21,6.85,3,50,114696,1.3,31.287,31287,0.5,50Hertz,Hamburg/Ost - Hamburg/Nord,0.05,A,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)",0.5,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
18,20,22,13.7,3,,114718,2.6,57.378,57378,1,50Hertz,Brunsbüttel - Hamburg/Nord,0.025,G,1711.266198,Al/St 240/40 4-bundle 380.0,380000,4,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)",0.25,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
19,20_220kV,23,,3,,114723,,3.313,3313,1,,UW HH-Nord - UW Ulzburg,,,495.366531,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)",,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
20,23,24_220kV,,6,50,114724,,62.919,62919,2,TenneT,UW Hamburg Nord - UW Audorf,,,990.7330619,Al/St 240/40 2-bundle 220.0,220000,2,"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)",,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
21,25,26,,6,50,114738,,8.193,8193,1,TenneT,308 AKW Brokdorf - UW Wilster,,308,1711.266198,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.34400177215961 53.8517774635399)",,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
22,25,22,,3,50,114742,,10.275,10275,0.5,TenneT,309 AKW Brunsbüttel - UW Wilster,,309,855.6330989,Al/St 240/40 4-bundle 380.0,380000,2,"SRID=4326;LINESTRING(9.34476098807139 53.9218370583068,9.20210420095253 53.8951574100045)",,0,0,0,0,0,FALSE,0,inf,1,0,0,inf,,1,#NAME?,inf,,0,0,0,0,0,0,0
