datetime,uranium,lignite,hard coal,natural gas,oil,co2
2020-01-01 16:00:00,0.9,1.8,7.486304665,12.06933333,34.98163551,25.33
2020-01-01 16:15:00,0.9,1.8,7.486447055,12.06944792,34.97648842,25.33
2020-01-01 16:30:00,0.9,1.8,7.486589445,12.0695625,34.97134133,25.33
2020-01-01 16:45:00,0.9,1.8,7.486731835,12.06967708,34.96619424,25.33
2020-01-01 17:00:00,0.9,1.8,7.486874225,12.06979167,34.96104715,25.33
2020-01-01 17:15:00,0.9,1.8,7.487016615,12.06990625,34.95590007,25.33
2020-01-01 17:30:00,0.9,1.8,7.487159005,12.07002083,34.95075298,25.33
2020-01-01 17:45:00,0.9,1.8,7.487301396,12.07013542,34.94560589,25.33
2020-01-01 18:00:00,0.9,1.8,7.487443786,12.07025,34.9404588,25.33
2020-01-01 18:15:00,0.9,1.8,7.487586176,12.07036458,34.93531171,25.33
2020-01-01 18:30:00,0.9,1.8,7.487728566,12.07047917,34.93016462,25.33
2020-01-01 18:45:00,0.9,1.8,7.487870956,12.07059375,34.92501753,25.33
2020-01-01 19:00:00,0.9,1.8,7.488013346,12.07070833,34.91987044,25.33
2020-01-01 19:15:00,0.9,1.8,7.488155736,12.07082292,34.91472335,25.33
2020-01-01 19:30:00,0.9,1.8,7.488298127,12.0709375,34.90957626,25.33
2020-01-01 19:45:00,0.9,1.8,7.488440517,12.07105208,34.90442917,25.33
2020-01-01 20:00:00,0.9,1.8,7.488582907,12.07116667,34.89928208,25.33
2020-01-01 20:15:00,0.9,1.8,7.488725297,12.07128125,34.89413499,25.33
2020-01-01 20:30:00,0.9,1.8,7.488867687,12.07139583,34.8889879,25.33
2020-01-01 20:45:00,0.9,1.8,7.489010077,12.07151042,34.88384081,25.33
2020-01-01 21:00:00,0.9,1.8,7.489152468,12.071625,34.87869372,25.33
2020-01-01 21:15:00,0.9,1.8,7.489294858,12.07173958,34.87354663,25.33
2020-01-01 21:30:00,0.9,1.8,7.489437248,12.07185417,34.86839954,25.33
2020-01-01 21:45:00,0.9,1.8,7.489579638,12.07196875,34.86325245,25.33
2020-01-01 22:00:00,0.9,1.8,7.489722028,12.07208333,34.85810536,25.33
2020-01-01 22:15:00,0.9,1.8,7.489864418,12.07219792,34.85295827,25.33
2020-01-01 22:30:00,0.9,1.8,7.490006808,12.0723125,34.84781118,25.33
2020-01-01 22:45:00,0.9,1.8,7.490149199,12.07242708,34.8426641,25.33
2020-01-01 23:00:00,0.9,1.8,7.490291589,12.07254167,34.83751701,25.33
2020-01-01 23:15:00,0.9,1.8,7.490433979,12.07265625,34.83236992,25.33
2020-01-01 23:30:00,0.9,1.8,7.490576369,12.07277083,34.82722283,25.33
2020-01-01 23:45:00,0.9,1.8,7.490718759,12.07288542,34.82207574,25.33
2020-01-02 00:00:00,0.9,1.8,7.490861149,12.073,34.81692865,25.33
2020-01-02 00:15:00,0.9,1.8,7.491986757,12.0825,34.83134312,25.33
2020-01-02 00:30:00,0.9,1.8,7.493112366,12.092,34.84575759,25.33
2020-01-02 00:45:00,0.9,1.8,7.494237974,12.1015,34.86017206,25.33
2020-01-02 01:00:00,0.9,1.8,7.495363582,12.111,34.87458653,25.33
2020-01-02 01:15:00,0.9,1.8,7.49648919,12.1205,34.88900101,25.33
2020-01-02 01:30:00,0.9,1.8,7.497614798,12.13,34.90341548,25.33
2020-01-02 01:45:00,0.9,1.8,7.498740406,12.1395,34.91782995,25.33
2020-01-02 02:00:00,0.9,1.8,7.499866014,12.149,34.93224442,25.33
2020-01-02 02:15:00,0.9,1.8,7.500991622,12.1585,34.94665889,25.33
2020-01-02 02:30:00,0.9,1.8,7.50211723,12.168,34.96107336,25.33
2020-01-02 02:45:00,0.9,1.8,7.503242838,12.1775,34.97548784,25.33
2020-01-02 03:00:00,0.9,1.8,7.504368446,12.187,34.98990231,25.33
2020-01-02 03:15:00,0.9,1.8,7.505494055,12.1965,35.00431678,25.33
2020-01-02 03:30:00,0.9,1.8,7.506619663,12.206,35.01873125,25.33
2020-01-02 03:45:00,0.9,1.8,7.507745271,12.2155,35.03314572,25.33
2020-01-02 04:00:00,0.9,1.8,7.508870879,12.225,35.0475602,25.33
2020-01-02 04:15:00,0.9,1.8,7.509996487,12.2345,35.06197467,25.33
2020-01-02 04:30:00,0.9,1.8,7.511122095,12.244,35.07638914,25.33
2020-01-02 04:45:00,0.9,1.8,7.512247703,12.2535,35.09080361,25.33
2020-01-02 05:00:00,0.9,1.8,7.513373311,12.263,35.10521808,25.33
2020-01-02 05:15:00,0.9,1.8,7.514498919,12.2725,35.11963255,25.33
2020-01-02 05:30:00,0.9,1.8,7.515624527,12.282,35.13404703,25.33
2020-01-02 05:45:00,0.9,1.8,7.516750135,12.2915,35.1484615,25.33
2020-01-02 06:00:00,0.9,1.8,7.517875744,12.301,35.16287597,25.33
2020-01-02 06:15:00,0.9,1.8,7.519001352,12.3105,35.17729044,25.33
2020-01-02 06:30:00,0.9,1.8,7.52012696,12.32,35.19170491,25.33
2020-01-02 06:45:00,0.9,1.8,7.521252568,12.3295,35.20611938,25.33
