name,technology,bidding_EOM,bidding_redispatch,bidding_CRM_pos,bidding_CRM_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,initial_soc,min_soc,max_soc,ramp_up_charge,ramp_down_charge,ramp_up_discharge,ramp_down_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion0,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,64.67734915,64.67734915,0.95,0.95,12.93546983,0,129.3546983,64.67734915,64.67734915,64.67734915,64.67734915,0.28,0.28,0,battery_operator_0,DE1-220
battery_li_ion1,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,42.25420877,42.25420877,0.95,0.95,8.450841753,0,84.50841753,42.25420877,42.25420877,42.25420877,42.25420877,0.28,0.28,0,battery_operator_1,DE10-380
battery_li_ion2,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,18.26367308,18.26367308,0.95,0.95,3.652734616,0,36.52734616,18.26367308,18.26367308,18.26367308,18.26367308,0.28,0.28,0,battery_operator_2,DE100-220
battery_li_ion3,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,14.57695308,14.57695308,0.95,0.95,2.915390616,0,29.15390616,14.57695308,14.57695308,14.57695308,14.57695308,0.28,0.28,0,battery_operator_3,DE100-380
battery_li_ion4,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,22.04586308,22.04586308,0.95,0.95,4.409172616,0,44.09172616,22.04586308,22.04586308,22.04586308,22.04586308,0.28,0.28,0,battery_operator_4,DE102-220
battery_li_ion5,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,14.55993308,14.55993308,0.95,0.95,2.911986616,0,29.11986616,14.55993308,14.55993308,14.55993308,14.55993308,0.28,0.28,0,battery_operator_5,DE102-380
battery_li_ion6,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,194.789972,194.789972,0.95,0.95,38.9579944,0,389.579944,194.789972,194.789972,194.789972,194.789972,0.28,0.28,0,battery_operator_6,DE103-380
battery_li_ion7,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,57.16514255,57.16514255,0.95,0.95,11.43302851,0,114.3302851,57.16514255,57.16514255,57.16514255,57.16514255,0.28,0.28,0,battery_operator_7,DE104-380
battery_li_ion8,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.57403308,14.57403308,0.95,0.95,2.914806616,0,29.14806616,14.57403308,14.57403308,14.57403308,14.57403308,0.28,0.28,0,battery_operator_8,DE105-220
battery_li_ion9,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_9,DE106-220
battery_li_ion10,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_10,DE107-220
battery_li_ion11,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_11,DE107-380
battery_li_ion12,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,53.98805675,53.98805675,0.95,0.95,10.79761135,0,107.9761135,53.98805675,53.98805675,53.98805675,53.98805675,0.28,0.28,0,battery_operator_12,DE108-220
battery_li_ion13,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,17.16830808,17.16830808,0.95,0.95,3.433661616,0,34.33661616,17.16830808,17.16830808,17.16830808,17.16830808,0.28,0.28,0,battery_operator_13,DE109-220
battery_li_ion14,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,37.56750177,37.56750177,0.95,0.95,7.513500353,0,75.13500353,37.56750177,37.56750177,37.56750177,37.56750177,0.28,0.28,0,battery_operator_14,DE11-380
battery_li_ion15,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_15,DE110-220
battery_li_ion16,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_16,DE110-380
battery_li_ion17,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.58301308,14.58301308,0.95,0.95,2.916602616,0,29.16602616,14.58301308,14.58301308,14.58301308,14.58301308,0.28,0.28,0,battery_operator_17,DE111-380
battery_li_ion18,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,17.63679758,17.63679758,0.95,0.95,3.527359516,0,35.27359516,17.63679758,17.63679758,17.63679758,17.63679758,0.28,0.28,0,battery_operator_18,DE112-380
battery_li_ion19,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,21.32057308,21.32057308,0.95,0.95,4.264114616,0,42.64114616,21.32057308,21.32057308,21.32057308,21.32057308,0.28,0.28,0,battery_operator_19,DE113-220
battery_li_ion20,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,19.59522508,19.59522508,0.95,0.95,3.919045016,0,39.19045016,19.59522508,19.59522508,19.59522508,19.59522508,0.28,0.28,0,battery_operator_20,DE114-380
battery_li_ion21,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,30.22639458,30.22639458,0.95,0.95,6.045278916,0,60.45278916,30.22639458,30.22639458,30.22639458,30.22639458,0.28,0.28,0,battery_operator_21,DE117-380
battery_li_ion22,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,18.65908158,18.65908158,0.95,0.95,3.731816316,0,37.31816316,18.65908158,18.65908158,18.65908158,18.65908158,0.28,0.28,0,battery_operator_22,DE118-220
battery_li_ion23,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,75.6674739,75.6674739,0.95,0.95,15.13349478,0,151.3349478,75.6674739,75.6674739,75.6674739,75.6674739,0.28,0.28,0,battery_operator_23,DE119-380
battery_li_ion24,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,275.876347,275.876347,0.95,0.95,55.1752694,0,551.752694,275.876347,275.876347,275.876347,275.876347,0.28,0.28,0,battery_operator_24,DE12-380
battery_li_ion25,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,51.70501655,51.70501655,0.95,0.95,10.34100331,0,103.4100331,51.70501655,51.70501655,51.70501655,51.70501655,0.28,0.28,0,battery_operator_25,DE121-380
battery_li_ion26,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,23.76305158,23.76305158,0.95,0.95,4.752610316,0,47.52610316,23.76305158,23.76305158,23.76305158,23.76305158,0.28,0.28,0,battery_operator_26,DE122-220
battery_li_ion27,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,17.38346558,17.38346558,0.95,0.95,3.476693116,0,34.76693116,17.38346558,17.38346558,17.38346558,17.38346558,0.28,0.28,0,battery_operator_27,DE124-380
battery_li_ion28,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_28,DE125-220
battery_li_ion29,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,20.13997758,20.13997758,0.95,0.95,4.027995516,0,40.27995516,20.13997758,20.13997758,20.13997758,20.13997758,0.28,0.28,0,battery_operator_29,DE125-380
battery_li_ion30,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.57447708,14.57447708,0.95,0.95,2.914895416,0,29.14895416,14.57447708,14.57447708,14.57447708,14.57447708,0.28,0.28,0,battery_operator_30,DE126-220
battery_li_ion31,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.63842808,14.63842808,0.95,0.95,2.927685616,0,29.27685616,14.63842808,14.63842808,14.63842808,14.63842808,0.28,0.28,0,battery_operator_31,DE127-380
battery_li_ion32,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_32,DE128-380
battery_li_ion33,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,17.31347058,17.31347058,0.95,0.95,3.462694116,0,34.62694116,17.31347058,17.31347058,17.31347058,17.31347058,0.28,0.28,0,battery_operator_33,DE129-220
battery_li_ion34,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,53.04869175,53.04869175,0.95,0.95,10.60973835,0,106.0973835,53.04869175,53.04869175,53.04869175,53.04869175,0.28,0.28,0,battery_operator_34,DE13-380
battery_li_ion35,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.66476308,14.66476308,0.95,0.95,2.932952616,0,29.32952616,14.66476308,14.66476308,14.66476308,14.66476308,0.28,0.28,0,battery_operator_35,DE130-380
battery_li_ion36,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,18.08406808,18.08406808,0.95,0.95,3.616813616,0,36.16813616,18.08406808,18.08406808,18.08406808,18.08406808,0.28,0.28,0,battery_operator_36,DE131-220
battery_li_ion37,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.59383308,14.59383308,0.95,0.95,2.918766616,0,29.18766616,14.59383308,14.59383308,14.59383308,14.59383308,0.28,0.28,0,battery_operator_37,DE132-220
battery_li_ion38,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,40.62002908,40.62002908,0.95,0.95,8.124005816,0,81.24005816,40.62002908,40.62002908,40.62002908,40.62002908,0.28,0.28,0,battery_operator_38,DE133-380
battery_li_ion39,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,68.31848065,68.31848065,0.95,0.95,13.66369613,0,136.6369613,68.31848065,68.31848065,68.31848065,68.31848065,0.28,0.28,0,battery_operator_39,DE134-380
battery_li_ion40,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,20.26834508,20.26834508,0.95,0.95,4.053669016,0,40.53669016,20.26834508,20.26834508,20.26834508,20.26834508,0.28,0.28,0,battery_operator_40,DE135-220
battery_li_ion41,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,41.91299258,41.91299258,0.95,0.95,8.382598516,0,83.82598516,41.91299258,41.91299258,41.91299258,41.91299258,0.28,0.28,0,battery_operator_41,DE136-380
battery_li_ion42,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55728308,14.55728308,0.95,0.95,2.911456616,0,29.11456616,14.55728308,14.55728308,14.55728308,14.55728308,0.28,0.28,0,battery_operator_42,DE137-220
battery_li_ion43,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_43,DE137-380
battery_li_ion44,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,17.25466258,17.25466258,0.95,0.95,3.450932516,0,34.50932516,17.25466258,17.25466258,17.25466258,17.25466258,0.28,0.28,0,battery_operator_44,DE138-220
battery_li_ion45,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.60000308,14.60000308,0.95,0.95,2.920000616,0,29.20000616,14.60000308,14.60000308,14.60000308,14.60000308,0.28,0.28,0,battery_operator_45,DE138-380
battery_li_ion46,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.55513308,14.55513308,0.95,0.95,2.911026616,0,29.11026616,14.55513308,14.55513308,14.55513308,14.55513308,0.28,0.28,0,battery_operator_46,DE139-220
battery_li_ion47,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,14.56823308,14.56823308,0.95,0.95,2.913646616,0,29.13646616,14.56823308,14.56823308,14.56823308,14.56823308,0.28,0.28,0,battery_operator_47,DE139-380
battery_li_ion48,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,43.86091077,43.86091077,0.95,0.95,8.772182153,0,87.72182153,43.86091077,43.86091077,43.86091077,43.86091077,0.28,0.28,0,battery_operator_48,DE14-380
battery_li_ion49,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,32.37994303,32.37994303,0.95,0.95,6.475988605,0,64.75988605,32.37994303,32.37994303,32.37994303,32.37994303,0.28,0.28,0,battery_operator_49,DE140-380
battery_li_ion50,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,25.08802158,25.08802158,0.95,0.95,5.017604316,0,50.17604316,25.08802158,25.08802158,25.08802158,25.08802158,0.28,0.28,0,battery_operator_50,DE141-380
battery_li_ion51,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,89.6013059,89.6013059,0.95,0.95,17.92026118,0,179.2026118,89.6013059,89.6013059,89.6013059,89.6013059,0.28,0.28,0,battery_operator_51,DE142-380
battery_li_ion52,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,32.37959303,32.37959303,0.95,0.95,6.475918605,0,64.75918605,32.37959303,32.37959303,32.37959303,32.37959303,0.28,0.28,0,battery_operator_52,DE143-380
battery_li_ion53,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,19.85255458,19.85255458,0.95,0.95,3.970510916,0,39.70510916,19.85255458,19.85255458,19.85255458,19.85255458,0.28,0.28,0,battery_operator_53,DE144-380
battery_li_ion54,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,17.13883608,17.13883608,0.95,0.95,3.427767216,0,34.27767216,17.13883608,17.13883608,17.13883608,17.13883608,0.28,0.28,0,battery_operator_54,DE145-220
battery_li_ion55,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,56.62296005,56.62296005,0.95,0.95,11.32459201,0,113.2459201,56.62296005,56.62296005,56.62296005,56.62296005,0.28,0.28,0,battery_operator_55,DE146-380
battery_li_ion56,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,32.37959303,32.37959303,0.95,0.95,6.475918605,0,64.75918605,32.37959303,32.37959303,32.37959303,32.37959303,0.28,0.28,0,battery_operator_56,DE147-380
battery_li_ion57,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,36.31613503,36.31613503,0.95,0.95,7.263227005,0,72.63227005,36.31613503,36.31613503,36.31613503,36.31613503,0.28,0.28,0,battery_operator_57,DE148-220
battery_li_ion58,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,32.38696303,32.38696303,0.95,0.95,6.477392605,0,64.77392605,32.38696303,32.38696303,32.38696303,32.38696303,0.28,0.28,0,battery_operator_58,DE148-380
battery_li_ion59,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,,,80.4029449,80.4029449,0.95,0.95,16.08058898,0,160.8058898,80.4029449,80.4029449,80.4029449,80.4029449,0.28,0.28,0,battery_operator_59,DE149-380
