name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion732,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,41.003975159999996,41.003975159999996,0.95,0.95,1,53.822222159999995,0.28,0.28,0,battery_operator_732,way/87767098-380
battery_li_ion733,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,80.21066453,80.21066453,0.95,0.95,1,82.83355252999999,0.28,0.28,0,battery_operator_733,way/881636329-380
battery_li_ion734,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,82.86734453,82.86734453,0.95,0.95,1,90.29529553,0.28,0.28,0,battery_operator_734,way/883768276-380
battery_li_ion735,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,77.97906953,77.97906953,0.95,0.95,1,80.18270753,0.28,0.28,0,battery_operator_735,way/883768277-380
battery_li_ion736,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,84.39062253,84.39062253,0.95,0.95,1,90.58008353,0.28,0.28,0,battery_operator_736,way/883928228-380
battery_li_ion737,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,75.08912353,75.08912353,0.95,0.95,1,75.10231153,0.28,0.28,0,battery_operator_737,way/883928229-380
battery_li_ion738,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,63.27272728,63.27272728,0.95,0.95,1,63.27272728,0.28,0.28,0,battery_operator_738,way/88916034-220
battery_li_ion739,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,63.27272728,63.27272728,0.95,0.95,1,63.27272728,0.28,0.28,0,battery_operator_739,way/88916034-380
battery_li_ion740,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,173.45737,173.45737,0.95,0.95,1,207.230988,0.28,0.28,0,battery_operator_740,way/88945213-380
battery_li_ion741,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.11026616,29.11026616,0.95,0.95,1,29.11026616,0.28,0.28,0,battery_operator_741,way/89043564-220
battery_li_ion742,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,29.124266159999998,29.124266159999998,0.95,0.95,1,29.12854616,0.28,0.28,0,battery_operator_742,way/89043564-380
battery_li_ion743,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,64.76086604999999,64.76086604999999,0.95,0.95,1,64.77366605,0.28,0.28,0,battery_operator_743,way/89176939-220
battery_li_ion744,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,64.74418605,64.74418605,0.95,0.95,1,64.74418605,0.28,0.28,0,battery_operator_744,way/89176956-220
battery_li_ion745,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,103.498257,103.498257,0.95,0.95,1,120.69287,0.28,0.28,0,battery_operator_745,way/89215122-220
battery_li_ion746,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,34.09509016,34.09509016,0.95,0.95,1,37.63712016,0.28,0.28,0,battery_operator_746,way/90148336-220
battery_li_ion747,li_ion_battery,flexable_eom_storage,flexible_storage_redispatch_strategy,403.59333319999996,403.59333319999996,0.95,0.95,1,520.2084162,0.28,0.28,0,battery_operator_747,way/907539360-380
