,Bleiloch,Erzhausen,Geesthacht,Glems,Goldisthal,Happurg,Hohenwarte I,Hohenwarte II,Häusern,Koepchenwerk Herdecke II,Langenprozelten,Leitzach I,Leitzach II,Markersbach,Reisach - Rabenleite,Rönkhausen,Schwarzenbachwerk,Säckingen,Tanzmühle - Rabenleite,Waldeck I,Waldeck II,Waldshut,Wehr,Wendefurth,Witznau,battery_00_0,battery_00_1,battery_01_0,battery_01_1,battery_02,battery_03_0,battery_03_1,battery_03_2,battery_04_0,battery_04_1,battery_04_2,battery_05,battery_06_0,battery_06_1,battery_06_2,battery_07,battery_08,battery_09
2013-01-28 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.06196125719372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.47821487068169,0.0,0.0,0.0,60.754941754556015,0.0,0.0,0.0,0.0,0.0,62.924761102933026,0.0,57.138576173927696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,57.81616548093191,0.0,59.2615696179552,61.42967582349015,61.42967582349015,0.0,0.0,60.70697375497849,0.0,0.0,0.0,62.1523778920018,0.0,62.875079960513446,0.0,57.093463412420256,0.0,0.0,0.0,19.745788033904024,19.678749942926565,19.903236820531642,19.96046965450657,19.70280919039767,19.867215234949082,0.0,19.57964389621192,19.80156761556514,19.868524539928902,19.910594763954123,19.736071715070292,19.654458527332103,19.79924902771309,19.62624521466069,19.894170250413847,19.844496876617537,19.898097079543813
2013-01-28 04:00:00,0.0,0.0,58.62273917450095,0.0,0.0,60.07021421584665,57.89900165382809,0.0,59.346476695173784,61.517689257192345,61.517689257192345,0.0,0.0,60.793951736519496,61.517689257192345,0.0,52.83283900911813,62.24142677786521,0.0,62.96516429853805,0.0,57.175264133155245,0.0,0.0,55.72778909180954,19.774078832817132,19.706944692943164,19.931753204362096,19.98906803874108,19.7310384113268,19.89568000881429,0.0,19.60769665193415,19.829938332733498,19.896991189702216,19.93912168988588,19.764348592917205,19.682618473797042,19.827616422922222,19.654364738471738,19.922673644106272,19.87292910073056,19.926606099404875
2013-01-28 05:00:00,0.0,0.0,58.496256166196524,60.66278417235195,63.55148818055918,59.94060817030014,57.77408016414473,57.77408016414473,59.218432168248334,61.38496017440376,61.38496017440376,62.107136176455576,62.107136176455576,60.66278417235195,61.38496017440376,0.0,52.71884814978205,62.107136176455576,58.496256166196524,62.82931217850737,62.82931217850737,57.05190416209291,0.0,59.218432168248334,55.607552157989296,19.731414757196603,19.66442546432383,19.888748934319977,19.945940107594506,19.68846719868172,19.85275356942895,0.0,19.56539155849464,19.787153736003052,19.854061921344613,19.896101521777094,19.72170551102763,19.640151730841488,19.78483683588839,19.61195895509416,19.8796889639044,19.830051748155842,19.883612934632282
2013-01-28 06:00:00,0.0,0.0,57.99515026075046,60.143118788926394,63.00707682649432,59.42712927953441,57.279160751358475,57.279160751358475,58.71113977014243,60.859108298318375,60.859108298318375,61.57509780771036,61.57509780771036,60.143118788926394,60.859108298318375,0.0,52.267234185614605,61.57509780771036,57.99515026075046,62.29108731710234,62.29108731710234,56.563171241966494,0.0,58.71113977014243,55.13119222318253,19.56238635938692,19.49597092768852,19.718372739395534,19.775073986706495,19.519806709463232,19.682685727399164,0.0,19.39778539196544,19.617647852397283,19.683982871368983,19.7256623411979,19.55276028709798,19.47190513420085,19.615350799917426,19.443953870771466,19.709390380864477,19.660178380395863,19.713280737049594
2013-01-28 07:00:00,0.0,0.0,57.3736770108534,59.49862801125538,62.331896011791336,58.790311011121375,56.665360010719404,56.665360010719404,58.08199401098738,60.20694501138936,60.20694501138936,60.91526201152335,60.91526201152335,59.49862801125538,60.20694501138936,0.0,51.70714100978145,60.91526201152335,57.3736770108534,61.623579011657355,61.623579011657355,55.957043010585416,0.0,58.08199401098738,54.540409010317425,19.352756764983784,19.287053037867498,19.50707160242224,19.563165241885283,19.310633396547402,19.47176701073558,0.0,19.189919653638192,19.407426078484292,19.473050254572804,19.514283089201154,19.343233845224017,19.26324513226912,19.40515364110869,19.23559339323866,19.498185498414582,19.44950085138376,19.502034165729327
2013-01-28 08:00:00,55.69821435505848,58.4831250728114,56.394442034496706,58.4831250728114,61.26803579056432,57.78689739337317,55.69821435505848,55.69821435505848,57.090669713934936,59.17935275224963,59.17935275224963,59.875580431687865,59.875580431687865,58.4831250728114,59.17935275224963,59.17935275224963,50.824620598990855,59.875580431687865,56.394442034496706,60.571808111126096,60.571808111126096,55.001986675620245,59.875580431687865,57.090669713934936,53.609531316743784,19.022450302150474,18.957867984555445,19.174131344893116,19.229267596638046,18.981045881458844,19.139429320320975,19.21633244045628,18.862392440857978,19.076186537858135,19.140690662176066,19.181219748396682,19.013089916441018,18.934466424429246,19.073952885693373,18.90728663615088,19.16539690597477,19.117543192425433,19.169179885506487
2013-01-28 09:00:00,53.64125221004874,56.323314820551175,54.31176786267435,56.323314820551175,59.0053774310536,55.65279916792556,53.64125221004874,53.64125221004874,54.982283515299955,56.99383047317678,56.99383047317678,57.66434612580239,57.66434612580239,56.323314820551175,56.99383047317678,56.99383047317678,48.947642641669475,57.66434612580239,54.31176786267435,58.33486177842801,58.33486177842801,52.97073655742313,57.66434612580239,54.982283515299955,51.62970525217191,18.31994196090598,18.257744699709402,18.46602134896992,18.51912139212234,18.280066625607567,18.43260088704259,18.506663937549398,18.165795114275298,18.371693691294286,18.433815646929517,18.472847974284647,18.310927258793203,18.235207370580035,18.36954252899031,18.209031345101703,18.45760947712883,18.411523024494567,18.461252749386585
2013-01-28 10:00:00,50.94091020690686,53.48795571725219,51.57767158449319,53.48795571725219,56.03500122759753,52.85119433966585,50.94091020690686,50.94091020690686,52.21443296207952,54.12471709483853,54.12471709483853,54.76147847242486,54.76147847242486,53.48795571725219,54.12471709483853,54.12471709483853,46.483580563802505,54.76147847242486,51.57767158449319,55.3982398500112,55.3982398500112,50.30414882932052,54.76147847242486,52.21443296207952,49.03062607414784,17.397701954680162,17.338635751577304,17.536427593695933,17.58685453972654,17.359833974511606,17.504689543595106,17.5750242030237,17.251314979183338,17.44684846305099,17.505843151532535,17.54291056142778,17.38914105962367,17.317232968976572,17.44480559191632,17.292374664807163,17.528439181970366,17.484672756902512,17.531899049093056
