,demand_volume,demand_volume_energy,market_id,max_price,min_price,node,only_hours,price,product_end,product_start,simulation,supply_volume,supply_volume_energy,time
0,55,55,EOM,100,100,,,100,2023-01-02 01:00:00,2023-01-02 00:00:00,example_05b_base,55,55,2023-01-02 00:00:00
1,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 02:00:00,2023-01-02 01:00:00,example_05b_base,55,55,2023-01-02 01:00:00
2,55,55,EOM,100,100,,,100,2023-01-02 03:00:00,2023-01-02 02:00:00,example_05b_base,55,55,2023-01-02 02:00:00
3,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 04:00:00,2023-01-02 03:00:00,example_05b_base,55,55,2023-01-02 03:00:00
4,55,55,EOM,100,100,,,100,2023-01-02 05:00:00,2023-01-02 04:00:00,example_05b_base,55,55,2023-01-02 04:00:00
5,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 06:00:00,2023-01-02 05:00:00,example_05b_base,55,55,2023-01-02 05:00:00
6,55,55,EOM,100,100,,,100,2023-01-02 07:00:00,2023-01-02 06:00:00,example_05b_base,55,55,2023-01-02 06:00:00
7,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 08:00:00,2023-01-02 07:00:00,example_05b_base,55,55,2023-01-02 07:00:00
8,55,55,EOM,100,100,,,100,2023-01-02 09:00:00,2023-01-02 08:00:00,example_05b_base,55,55,2023-01-02 08:00:00
9,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 10:00:00,2023-01-02 09:00:00,example_05b_base,55,55,2023-01-02 09:00:00
10,55,55,EOM,100,100,,,100,2023-01-02 11:00:00,2023-01-02 10:00:00,example_05b_base,55,55,2023-01-02 10:00:00
11,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 12:00:00,2023-01-02 11:00:00,example_05b_base,55,55,2023-01-02 11:00:00
12,55,55,EOM,100,100,,,100,2023-01-02 13:00:00,2023-01-02 12:00:00,example_05b_base,55,55,2023-01-02 12:00:00
13,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 14:00:00,2023-01-02 13:00:00,example_05b_base,55,55,2023-01-02 13:00:00
14,55,55,EOM,100,100,,,100,2023-01-02 15:00:00,2023-01-02 14:00:00,example_05b_base,55,55,2023-01-02 14:00:00
15,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 16:00:00,2023-01-02 15:00:00,example_05b_base,55,55,2023-01-02 15:00:00
16,55,55,EOM,100,100,,,100,2023-01-02 17:00:00,2023-01-02 16:00:00,example_05b_base,55,55,2023-01-02 16:00:00
17,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 18:00:00,2023-01-02 17:00:00,example_05b_base,55,55,2023-01-02 17:00:00
18,55,55,EOM,100,100,,,100,2023-01-02 19:00:00,2023-01-02 18:00:00,example_05b_base,55,55,2023-01-02 18:00:00
19,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 20:00:00,2023-01-02 19:00:00,example_05b_base,55,55,2023-01-02 19:00:00
20,55,55,EOM,100,100,,,100,2023-01-02 21:00:00,2023-01-02 20:00:00,example_05b_base,55,55,2023-01-02 20:00:00
21,55,55,EOM,102.26,102.26,,,102.26,2023-01-02 22:00:00,2023-01-02 21:00:00,example_05b_base,55,55,2023-01-02 21:00:00
22,55,55,EOM,100,100,,,100,2023-01-02 23:00:00,2023-01-02 22:00:00,example_05b_base,55,55,2023-01-02 22:00:00
23,55,55,EOM,102.26,102.26,,,102.26,2023-01-03 00:00:00,2023-01-02 23:00:00,example_05b_base,55,55,2023-01-02 23:00:00
24,17,17,redispatch,,,north,,40.884,2023-01-02 01:00:00,2023-01-02 00:00:00,example_05b_base,10,10,2023-01-02 00:00:00
25,5,5,redispatch,,,east,,70.884,2023-01-02 01:00:00,2023-01-02 00:00:00,example_05b_base,10,10,2023-01-02 00:00:00
26,-0,-0,redispatch,,,west,,102.26,2023-01-02 01:00:00,2023-01-02 00:00:00,example_05b_base,12,12,2023-01-02 00:00:00
27,17,17,redispatch,,,north,,40.884,2023-01-02 02:00:00,2023-01-02 01:00:00,example_05b_base,10,10,2023-01-02 01:00:00
