time,pp_1,pp_2,pp_3,pp_4,Wind Onshore,pp_6,pp_7
2019-03-01 01:00:00,1.0,1.0,1.0,1.0,0.16258695243466814,1.0,1.0
2019-03-01 02:00:00,1.0,1.0,1.0,1.0,0.15257097198721564,1.0,1.0
2019-03-01 03:00:00,1.0,1.0,1.0,1.0,0.14552077458168824,1.0,1.0
2019-03-01 04:00:00,1.0,1.0,1.0,1.0,0.13903929310020677,1.0,1.0
2019-03-01 05:00:00,1.0,1.0,1.0,1.0,0.1326800150404211,1.0,1.0
2019-03-01 06:00:00,1.0,1.0,1.0,1.0,0.1312135739800714,1.0,1.0
2019-03-01 07:00:00,1.0,1.0,1.0,1.0,0.13007614213197966,1.0,1.0
2019-03-01 08:00:00,1.0,1.0,1.0,1.0,0.12662154540327125,1.0,1.0
2019-03-01 09:00:00,1.0,1.0,1.0,1.0,0.12553111487121635,1.0,1.0
2019-03-01 10:00:00,1.0,1.0,1.0,1.0,0.12539481105470948,1.0,1.0
2019-03-01 11:00:00,1.0,1.0,1.0,1.0,0.14156796390298926,1.0,1.0
2019-03-01 12:00:00,1.0,1.0,1.0,1.0,0.16149652190261324,1.0,1.0
2019-03-01 13:00:00,1.0,1.0,1.0,1.0,0.1668922729836435,1.0,1.0
2019-03-01 14:00:00,1.0,1.0,1.0,1.0,0.17088738484677568,1.0,1.0
2019-03-01 15:00:00,1.0,1.0,1.0,1.0,0.1560631697687535,1.0,1.0
2019-03-01 16:00:00,1.0,1.0,1.0,1.0,0.1482797518330513,1.0,1.0
2019-03-01 17:00:00,1.0,1.0,1.0,1.0,0.1474948298552359,1.0,1.0
2019-03-01 18:00:00,1.0,1.0,1.0,1.0,0.13894999059973678,1.0,1.0
2019-03-01 19:00:00,1.0,1.0,1.0,1.0,0.127758977251363,1.0,1.0
2019-03-01 20:00:00,1.0,1.0,1.0,1.0,0.11451870652378263,1.0,1.0
2019-03-01 21:00:00,1.0,1.0,1.0,1.0,0.10726170332769315,1.0,1.0
2019-03-01 22:00:00,1.0,1.0,1.0,1.0,0.10009400263207364,1.0,1.0
2019-03-01 23:00:00,1.0,1.0,1.0,1.0,0.09440684339161493,1.0,1.0
2019-03-02 00:00:00,1.0,1.0,1.0,1.0,0.09420473773265647,1.0,1.0
2019-03-02 01:00:00,1.0,1.0,1.0,1.0,0.0926630945666478,1.0,1.0
2019-03-02 02:00:00,1.0,1.0,1.0,1.0,0.0905527354765933,1.0,1.0
2019-03-02 03:00:00,1.0,1.0,1.0,1.0,0.08561289716112044,1.0,1.0
2019-03-02 04:00:00,1.0,1.0,1.0,1.0,0.0892225982327505,1.0,1.0
2019-03-02 05:00:00,1.0,1.0,1.0,1.0,0.0908018424515886,1.0,1.0
2019-03-02 06:00:00,1.0,1.0,1.0,1.0,0.09284639969919152,1.0,1.0
2019-03-02 07:00:00,1.0,1.0,1.0,1.0,0.08953280691859365,1.0,1.0
2019-03-02 08:00:00,1.0,1.0,1.0,1.0,0.08465877044557242,1.0,1.0
2019-03-02 09:00:00,1.0,1.0,1.0,1.0,0.08097856739988715,1.0,1.0
2019-03-02 10:00:00,1.0,1.0,1.0,1.0,0.0811430720060161,1.0,1.0
2019-03-02 11:00:00,1.0,1.0,1.0,1.0,0.07980823463056963,1.0,1.0
2019-03-02 12:00:00,1.0,1.0,1.0,1.0,0.08945290468133105,1.0,1.0
2019-03-02 13:00:00,1.0,1.0,1.0,1.0,0.10082252303064482,1.0,1.0
2019-03-02 14:00:00,1.0,1.0,1.0,1.0,0.10766121451400634,1.0,1.0
2019-03-02 15:00:00,1.0,1.0,1.0,1.0,0.11288306072570027,1.0,1.0
2019-03-02 16:00:00,1.0,1.0,1.0,1.0,0.1264805414551607,1.0,1.0
2019-03-02 17:00:00,1.0,1.0,1.0,1.0,0.1504841135551795,1.0,1.0
2019-03-02 18:00:00,1.0,1.0,1.0,1.0,0.19866046249294975,1.0,1.0
2019-03-02 19:00:00,1.0,1.0,1.0,1.0,0.2669721752209062,1.0,1.0
2019-03-02 20:00:00,1.0,1.0,1.0,1.0,0.31871592404587323,1.0,1.0
2019-03-02 21:00:00,1.0,1.0,1.0,1.0,0.36529892836999434,1.0,1.0
2019-03-02 22:00:00,1.0,1.0,1.0,1.0,0.3878078586200413,1.0,1.0
2019-03-02 23:00:00,1.0,1.0,1.0,1.0,0.4254089114495206,1.0,1.0
2019-03-03 00:00:00,1.0,1.0,1.0,1.0,0.4537366046249295,1.0,1.0
2019-03-03 01:00:00,1.0,1.0,1.0,1.0,0.4832299304380523,1.0,1.0
2019-03-03 02:00:00,1.0,1.0,1.0,1.0,0.5035297988343673,1.0,1.0
2019-03-03 03:00:00,1.0,1.0,1.0,1.0,0.5283840947546531,1.0,1.0
2019-03-03 04:00:00,1.0,1.0,1.0,1.0,0.5402190261327318,1.0,1.0
2019-03-03 05:00:00,1.0,1.0,1.0,1.0,0.5569608949050573,1.0,1.0
2019-03-03 06:00:00,1.0,1.0,1.0,1.0,0.5980071442000376,1.0,1.0
2019-03-03 07:00:00,1.0,1.0,1.0,1.0,0.6115952246662907,1.0,1.0
2019-03-03 08:00:00,1.0,1.0,1.0,1.0,0.6167136679827036,1.0,1.0
2019-03-03 09:00:00,1.0,1.0,1.0,1.0,0.6150451212633954,1.0,1.0
2019-03-03 10:00:00,1.0,1.0,1.0,1.0,0.6082863320172964,1.0,1.0
2019-03-03 11:00:00,1.0,1.0,1.0,1.0,0.6143636021808611,1.0,1.0
2019-03-03 12:00:00,1.0,1.0,1.0,1.0,0.595360970107163,1.0,1.0
2019-03-03 13:00:00,1.0,1.0,1.0,1.0,0.5600488813686784,1.0,1.0
2019-03-03 14:00:00,1.0,1.0,1.0,1.0,0.5492150780221846,1.0,1.0
2019-03-03 15:00:00,1.0,1.0,1.0,1.0,0.5402096258695244,1.0,1.0
2019-03-03 16:00:00,1.0,1.0,1.0,1.0,0.5415256627185561,1.0,1.0
2019-03-03 17:00:00,1.0,1.0,1.0,1.0,0.5519270539575107,1.0,1.0
2019-03-03 18:00:00,1.0,1.0,1.0,1.0,0.5623143448016544,1.0,1.0
2019-03-03 19:00:00,1.0,1.0,1.0,1.0,0.5887948862568152,1.0,1.0
2019-03-03 20:00:00,1.0,1.0,1.0,1.0,0.6251927053957511,1.0,1.0
2019-03-03 21:00:00,1.0,1.0,1.0,1.0,0.6355846963714984,1.0,1.0
2019-03-03 22:00:00,1.0,1.0,1.0,1.0,0.6114871216394059,1.0,1.0
2019-03-03 23:00:00,1.0,1.0,1.0,1.0,0.6105376950554615,1.0,1.0
2019-03-04 00:00:00,1.0,1.0,1.0,1.0,0.5954408723444257,1.0,1.0
2019-03-04 01:00:00,1.0,1.0,1.0,1.0,0.5917935702199661,1.0,1.0
2019-03-04 02:00:00,1.0,1.0,1.0,1.0,0.5995628877608573,1.0,1.0
2019-03-04 03:00:00,1.0,1.0,1.0,1.0,0.5903412295544275,1.0,1.0
2019-03-04 04:00:00,1.0,1.0,1.0,1.0,0.5789904117315285,1.0,1.0
2019-03-04 05:00:00,1.0,1.0,1.0,1.0,0.5938334273359654,1.0,1.0
2019-03-04 06:00:00,1.0,1.0,1.0,1.0,0.6371780409851475,1.0,1.0
2019-03-04 07:00:00,1.0,1.0,1.0,1.0,0.6646738108667043,1.0,1.0
2019-03-04 08:00:00,1.0,1.0,1.0,1.0,0.6694632449708592,1.0,1.0
2019-03-04 09:00:00,1.0,1.0,1.0,1.0,0.6895375070501975,1.0,1.0
2019-03-04 10:00:00,1.0,1.0,1.0,1.0,0.6966347057717616,1.0,1.0
2019-03-04 11:00:00,1.0,1.0,1.0,1.0,0.7137337845459673,1.0,1.0
2019-03-04 12:00:00,1.0,1.0,1.0,1.0,0.7152801278435796,1.0,1.0
2019-03-04 13:00:00,1.0,1.0,1.0,1.0,0.7169580748260951,1.0,1.0
2019-03-04 14:00:00,1.0,1.0,1.0,1.0,0.718838127467569,1.0,1.0
2019-03-04 15:00:00,1.0,1.0,1.0,1.0,0.7153882308704643,1.0,1.0
2019-03-04 16:00:00,1.0,1.0,1.0,1.0,0.701894153036285,1.0,1.0
2019-03-04 17:00:00,1.0,1.0,1.0,1.0,0.6975747320924985,1.0,1.0
2019-03-04 18:00:00,1.0,1.0,1.0,1.0,0.6930626057529611,1.0,1.0
2019-03-04 19:00:00,1.0,1.0,1.0,1.0,0.6950084602368867,1.0,1.0
2019-03-04 20:00:00,1.0,1.0,1.0,1.0,0.6895046061289716,1.0,1.0
2019-03-04 21:00:00,1.0,1.0,1.0,1.0,0.6957651814250799,1.0,1.0
2019-03-04 22:00:00,1.0,1.0,1.0,1.0,0.672090618537319,1.0,1.0
2019-03-04 23:00:00,1.0,1.0,1.0,1.0,0.66118631321677,1.0,1.0
2019-03-05 00:00:00,1.0,1.0,1.0,1.0,0.6602697875540515,1.0,1.0
2019-03-05 01:00:00,1.0,1.0,1.0,1.0,0.650700319608949,1.0,1.0
2019-03-05 02:00:00,1.0,1.0,1.0,1.0,0.651701447640534,1.0,1.0
2019-03-05 03:00:00,1.0,1.0,1.0,1.0,0.6532477909381462,1.0,1.0
2019-03-05 04:00:00,1.0,1.0,1.0,1.0,0.6420802782477909,1.0,1.0
2019-03-05 05:00:00,1.0,1.0,1.0,1.0,0.6368255311148712,1.0,1.0
2019-03-05 06:00:00,1.0,1.0,1.0,1.0,0.6403741304756533,1.0,1.0
2019-03-05 07:00:00,1.0,1.0,1.0,1.0,0.6378219590148524,1.0,1.0
2019-03-05 08:00:00,1.0,1.0,1.0,1.0,0.6324826095130663,1.0,1.0
2019-03-05 09:00:00,1.0,1.0,1.0,1.0,0.635053581500282,1.0,1.0
2019-03-05 10:00:00,1.0,1.0,1.0,1.0,0.6333239330701259,1.0,1.0
2019-03-05 11:00:00,1.0,1.0,1.0,1.0,0.6076189133295732,1.0,1.0
2019-03-05 12:00:00,1.0,1.0,1.0,1.0,0.5888653882308705,1.0,1.0
2019-03-05 13:00:00,1.0,1.0,1.0,1.0,0.5677570971987216,1.0,1.0
2019-03-05 14:00:00,1.0,1.0,1.0,1.0,0.5396362098138747,1.0,1.0
2019-03-05 15:00:00,1.0,1.0,1.0,1.0,0.5058422635833804,1.0,1.0
2019-03-05 16:00:00,1.0,1.0,1.0,1.0,0.4511609325061101,1.0,1.0
2019-03-05 17:00:00,1.0,1.0,1.0,1.0,0.3626997555931566,1.0,1.0
2019-03-05 18:00:00,1.0,1.0,1.0,1.0,0.3212915961646926,1.0,1.0
2019-03-05 19:00:00,1.0,1.0,1.0,1.0,0.32388606880992665,1.0,1.0
2019-03-05 20:00:00,1.0,1.0,1.0,1.0,0.3213808986651626,1.0,1.0
2019-03-05 21:00:00,1.0,1.0,1.0,1.0,0.31247884940778337,1.0,1.0
2019-03-05 22:00:00,1.0,1.0,1.0,1.0,0.2944585448392555,1.0,1.0
2019-03-05 23:00:00,1.0,1.0,1.0,1.0,0.28414645610077083,1.0,1.0
2019-03-06 00:00:00,1.0,1.0,1.0,1.0,0.2777636773829667,1.0,1.0
2019-03-06 01:00:00,1.0,1.0,1.0,1.0,0.2678416995675879,1.0,1.0
2019-03-06 02:00:00,1.0,1.0,1.0,1.0,0.263738484677571,1.0,1.0
2019-03-06 03:00:00,1.0,1.0,1.0,1.0,0.2602885880804663,1.0,1.0
2019-03-06 04:00:00,1.0,1.0,1.0,1.0,0.26053299492385784,1.0,1.0
2019-03-06 05:00:00,1.0,1.0,1.0,1.0,0.2729037413047565,1.0,1.0
2019-03-06 06:00:00,1.0,1.0,1.0,1.0,0.30341229554427523,1.0,1.0
2019-03-06 07:00:00,1.0,1.0,1.0,1.0,0.3262831359278059,1.0,1.0
2019-03-06 08:00:00,1.0,1.0,1.0,1.0,0.33158488437676253,1.0,1.0
2019-03-06 09:00:00,1.0,1.0,1.0,1.0,0.31143072006016165,1.0,1.0
2019-03-06 10:00:00,1.0,1.0,1.0,1.0,0.31320736980635455,1.0,1.0
2019-03-06 11:00:00,1.0,1.0,1.0,1.0,0.3643072006016168,1.0,1.0
2019-03-06 12:00:00,1.0,1.0,1.0,1.0,0.4138183869148336,1.0,1.0
2019-03-06 13:00:00,1.0,1.0,1.0,1.0,0.43202199661590523,1.0,1.0
2019-03-06 14:00:00,1.0,1.0,1.0,1.0,0.45073322053017484,1.0,1.0
2019-03-06 15:00:00,1.0,1.0,1.0,1.0,0.4525004700131603,1.0,1.0
2019-03-06 16:00:00,1.0,1.0,1.0,1.0,0.46109231058469635,1.0,1.0
2019-03-06 17:00:00,1.0,1.0,1.0,1.0,0.48072006016168456,1.0,1.0
2019-03-06 18:00:00,1.0,1.0,1.0,1.0,0.512558751645046,1.0,1.0
2019-03-06 19:00:00,1.0,1.0,1.0,1.0,0.5181613085166384,1.0,1.0
2019-03-06 20:00:00,1.0,1.0,1.0,1.0,0.5027495769881557,1.0,1.0
2019-03-06 21:00:00,1.0,1.0,1.0,1.0,0.48767625493513816,1.0,1.0
2019-03-06 22:00:00,1.0,1.0,1.0,1.0,0.4637854859936078,1.0,1.0
2019-03-06 23:00:00,1.0,1.0,1.0,1.0,0.4365341229554427,1.0,1.0
2019-03-07 00:00:00,1.0,1.0,1.0,1.0,0.4082675314908817,1.0,1.0
2019-03-07 01:00:00,1.0,1.0,1.0,1.0,0.3910556495581876,1.0,1.0
2019-03-07 02:00:00,1.0,1.0,1.0,1.0,0.39106974995299865,1.0,1.0
2019-03-07 03:00:00,1.0,1.0,1.0,1.0,0.40135363790186124,1.0,1.0
2019-03-07 04:00:00,1.0,1.0,1.0,1.0,0.4239377702575672,1.0,1.0
2019-03-07 05:00:00,1.0,1.0,1.0,1.0,0.4540656138371874,1.0,1.0
2019-03-07 06:00:00,1.0,1.0,1.0,1.0,0.49506016168452716,1.0,1.0
2019-03-07 07:00:00,1.0,1.0,1.0,1.0,0.5333803346493702,1.0,1.0
2019-03-07 08:00:00,1.0,1.0,1.0,1.0,0.5740317728896409,1.0,1.0
2019-03-07 09:00:00,1.0,1.0,1.0,1.0,0.6173810866704268,1.0,1.0
2019-03-07 10:00:00,1.0,1.0,1.0,1.0,0.6502209061853732,1.0,1.0
2019-03-07 11:00:00,1.0,1.0,1.0,1.0,0.6489048693363414,1.0,1.0
2019-03-07 12:00:00,1.0,1.0,1.0,1.0,0.6541596164692611,1.0,1.0
2019-03-07 13:00:00,1.0,1.0,1.0,1.0,0.6546155292348186,1.0,1.0
2019-03-07 14:00:00,1.0,1.0,1.0,1.0,0.6509306260575296,1.0,1.0
2019-03-07 15:00:00,1.0,1.0,1.0,1.0,0.638395375070502,1.0,1.0
2019-03-07 16:00:00,1.0,1.0,1.0,1.0,0.6234771573604061,1.0,1.0
2019-03-07 17:00:00,1.0,1.0,1.0,1.0,0.5961693927429967,1.0,1.0
2019-03-07 18:00:00,1.0,1.0,1.0,1.0,0.5970154164316601,1.0,1.0
2019-03-07 19:00:00,1.0,1.0,1.0,1.0,0.6106363978191389,1.0,1.0
2019-03-07 20:00:00,1.0,1.0,1.0,1.0,0.6431989095694679,1.0,1.0
2019-03-07 21:00:00,1.0,1.0,1.0,1.0,0.680654258319233,1.0,1.0
2019-03-07 22:00:00,1.0,1.0,1.0,1.0,0.6722598232750517,1.0,1.0
2019-03-07 23:00:00,1.0,1.0,1.0,1.0,0.6833803346493702,1.0,1.0
2019-03-08 00:00:00,1.0,1.0,1.0,1.0,0.686755029140816,1.0,1.0
2019-03-08 01:00:00,1.0,1.0,1.0,1.0,0.679878736604625,1.0,1.0
2019-03-08 02:00:00,1.0,1.0,1.0,1.0,0.6845976687347246,1.0,1.0
2019-03-08 03:00:00,1.0,1.0,1.0,1.0,0.6867033276931754,1.0,1.0
2019-03-08 04:00:00,1.0,1.0,1.0,1.0,0.671912013536379,1.0,1.0
2019-03-08 05:00:00,1.0,1.0,1.0,1.0,0.6635692799398383,1.0,1.0
2019-03-08 06:00:00,1.0,1.0,1.0,1.0,0.6781490881744688,1.0,1.0
2019-03-08 07:00:00,1.0,1.0,1.0,1.0,0.6707745816882873,1.0,1.0
2019-03-08 08:00:00,1.0,1.0,1.0,1.0,0.6622955442752397,1.0,1.0
2019-03-08 09:00:00,1.0,1.0,1.0,1.0,0.6388935890204925,1.0,1.0
2019-03-08 10:00:00,1.0,1.0,1.0,1.0,0.6216629065613837,1.0,1.0
2019-03-08 11:00:00,1.0,1.0,1.0,1.0,0.6012267343485618,1.0,1.0
2019-03-08 12:00:00,1.0,1.0,1.0,1.0,0.57139029892837,1.0,1.0
2019-03-08 13:00:00,1.0,1.0,1.0,1.0,0.5305602556871593,1.0,1.0
2019-03-08 14:00:00,1.0,1.0,1.0,1.0,0.4952434668170709,1.0,1.0
2019-03-08 15:00:00,1.0,1.0,1.0,1.0,0.4580607257003196,1.0,1.0
2019-03-08 16:00:00,1.0,1.0,1.0,1.0,0.41733408535438987,1.0,1.0
2019-03-08 17:00:00,1.0,1.0,1.0,1.0,0.36047189321300993,1.0,1.0
2019-03-08 18:00:00,1.0,1.0,1.0,1.0,0.31708967851099823,1.0,1.0
2019-03-08 19:00:00,1.0,1.0,1.0,1.0,0.30144294040233127,1.0,1.0
2019-03-08 20:00:00,1.0,1.0,1.0,1.0,0.32130099642789994,1.0,1.0
2019-03-08 21:00:00,1.0,1.0,1.0,1.0,0.35936736228614397,1.0,1.0
2019-03-08 22:00:00,1.0,1.0,1.0,1.0,0.3971564203797706,1.0,1.0
2019-03-08 23:00:00,1.0,1.0,1.0,1.0,0.43580090242526787,1.0,1.0
2019-03-09 00:00:00,1.0,1.0,1.0,1.0,0.48179169016732465,1.0,1.0
2019-03-09 01:00:00,1.0,1.0,1.0,1.0,0.5206946794510247,1.0,1.0
2019-03-09 02:00:00,1.0,1.0,1.0,1.0,0.5541502162060538,1.0,1.0
2019-03-09 03:00:00,1.0,1.0,1.0,1.0,0.591586764429404,1.0,1.0
2019-03-09 04:00:00,1.0,1.0,1.0,1.0,0.6155480353449896,1.0,1.0
2019-03-09 05:00:00,1.0,1.0,1.0,1.0,0.6484583568339913,1.0,1.0
2019-03-09 06:00:00,1.0,1.0,1.0,1.0,0.663649182177101,1.0,1.0
2019-03-09 07:00:00,1.0,1.0,1.0,1.0,0.6770398571159992,1.0,1.0
2019-03-09 08:00:00,1.0,1.0,1.0,1.0,0.7001175032900921,1.0,1.0
2019-03-09 09:00:00,1.0,1.0,1.0,1.0,0.6954549727392367,1.0,1.0
2019-03-09 10:00:00,1.0,1.0,1.0,1.0,0.6838127467569092,1.0,1.0
2019-03-09 11:00:00,1.0,1.0,1.0,1.0,0.6720624177476969,1.0,1.0
2019-03-09 12:00:00,1.0,1.0,1.0,1.0,0.6725324309080654,1.0,1.0
2019-03-09 13:00:00,1.0,1.0,1.0,1.0,0.6651861252115059,1.0,1.0
2019-03-09 14:00:00,1.0,1.0,1.0,1.0,0.6565566835871404,1.0,1.0
2019-03-09 15:00:00,1.0,1.0,1.0,1.0,0.6253995111863132,1.0,1.0
2019-03-09 16:00:00,1.0,1.0,1.0,1.0,0.6112944162436549,1.0,1.0
2019-03-09 17:00:00,1.0,1.0,1.0,1.0,0.6042348185749201,1.0,1.0
2019-03-09 18:00:00,1.0,1.0,1.0,1.0,0.6085166384658771,1.0,1.0
2019-03-09 19:00:00,1.0,1.0,1.0,1.0,0.6357633013724384,1.0,1.0
2019-03-09 20:00:00,1.0,1.0,1.0,1.0,0.6609513066365859,1.0,1.0
2019-03-09 21:00:00,1.0,1.0,1.0,1.0,0.6661872532430908,1.0,1.0
2019-03-09 22:00:00,1.0,1.0,1.0,1.0,0.6261092310584696,1.0,1.0
2019-03-09 23:00:00,1.0,1.0,1.0,1.0,0.6125869524346682,1.0,1.0
2019-03-10 00:00:00,1.0,1.0,1.0,1.0,0.583605940966347,1.0,1.0
2019-03-10 01:00:00,1.0,1.0,1.0,1.0,0.5466535062981763,1.0,1.0
2019-03-10 02:00:00,1.0,1.0,1.0,1.0,0.4935608197029517,1.0,1.0
2019-03-10 03:00:00,1.0,1.0,1.0,1.0,0.4632026696747509,1.0,1.0
2019-03-10 04:00:00,1.0,1.0,1.0,1.0,0.4134376762549351,1.0,1.0
2019-03-10 05:00:00,1.0,1.0,1.0,1.0,0.36121451400639215,1.0,1.0
2019-03-10 06:00:00,1.0,1.0,1.0,1.0,0.31875352509870275,1.0,1.0
2019-03-10 07:00:00,1.0,1.0,1.0,1.0,0.2821112991163753,1.0,1.0
2019-03-10 08:00:00,1.0,1.0,1.0,1.0,0.2658911449520587,1.0,1.0
2019-03-10 09:00:00,1.0,1.0,1.0,1.0,0.27329855235946604,1.0,1.0
2019-03-10 10:00:00,1.0,1.0,1.0,1.0,0.2777683775145704,1.0,1.0
2019-03-10 11:00:00,1.0,1.0,1.0,1.0,0.26631415679639026,1.0,1.0
2019-03-10 12:00:00,1.0,1.0,1.0,1.0,0.25563545779281815,1.0,1.0
2019-03-10 13:00:00,1.0,1.0,1.0,1.0,0.2517343485617597,1.0,1.0
2019-03-10 14:00:00,1.0,1.0,1.0,1.0,0.25274487685655195,1.0,1.0
2019-03-10 15:00:00,1.0,1.0,1.0,1.0,0.26713667982703515,1.0,1.0
2019-03-10 16:00:00,1.0,1.0,1.0,1.0,0.2783464937018236,1.0,1.0
2019-03-10 17:00:00,1.0,1.0,1.0,1.0,0.3311383718744125,1.0,1.0
2019-03-10 18:00:00,1.0,1.0,1.0,1.0,0.404906937394247,1.0,1.0
2019-03-10 19:00:00,1.0,1.0,1.0,1.0,0.45185185185185184,1.0,1.0
2019-03-10 20:00:00,1.0,1.0,1.0,1.0,0.47664504606128966,1.0,1.0
2019-03-10 21:00:00,1.0,1.0,1.0,1.0,0.5115858244030833,1.0,1.0
2019-03-10 22:00:00,1.0,1.0,1.0,1.0,0.514184997179921,1.0,1.0
2019-03-10 23:00:00,1.0,1.0,1.0,1.0,0.5184668170708779,1.0,1.0
2019-03-11 00:00:00,1.0,1.0,1.0,1.0,0.5265228426395939,1.0,1.0
2019-03-11 01:00:00,1.0,1.0,1.0,1.0,0.5120182365106223,1.0,1.0
2019-03-11 02:00:00,1.0,1.0,1.0,1.0,0.5131650686219213,1.0,1.0
2019-03-11 03:00:00,1.0,1.0,1.0,1.0,0.5053158488437676,1.0,1.0
2019-03-11 04:00:00,1.0,1.0,1.0,1.0,0.49867456288776085,1.0,1.0
2019-03-11 05:00:00,1.0,1.0,1.0,1.0,0.48277401767249484,1.0,1.0
2019-03-11 06:00:00,1.0,1.0,1.0,1.0,0.4759165256627185,1.0,1.0
2019-03-11 07:00:00,1.0,1.0,1.0,1.0,0.470704079714232,1.0,1.0
2019-03-11 08:00:00,1.0,1.0,1.0,1.0,0.4537930062041737,1.0,1.0
2019-03-11 09:00:00,1.0,1.0,1.0,1.0,0.45804662530550855,1.0,1.0
2019-03-11 10:00:00,1.0,1.0,1.0,1.0,0.48447546531302876,1.0,1.0
2019-03-11 11:00:00,1.0,1.0,1.0,1.0,0.4915491633765745,1.0,1.0
2019-03-11 12:00:00,1.0,1.0,1.0,1.0,0.503012784357962,1.0,1.0
2019-03-11 13:00:00,1.0,1.0,1.0,1.0,0.4970201165632637,1.0,1.0
2019-03-11 14:00:00,1.0,1.0,1.0,1.0,0.48896879112615155,1.0,1.0
2019-03-11 15:00:00,1.0,1.0,1.0,1.0,0.4729601428840007,1.0,1.0
2019-03-11 16:00:00,1.0,1.0,1.0,1.0,0.46710377890580934,1.0,1.0
2019-03-11 17:00:00,1.0,1.0,1.0,1.0,0.44495675878924607,1.0,1.0
2019-03-11 18:00:00,1.0,1.0,1.0,1.0,0.42987403647302125,1.0,1.0
2019-03-11 19:00:00,1.0,1.0,1.0,1.0,0.4137572852039857,1.0,1.0
2019-03-11 20:00:00,1.0,1.0,1.0,1.0,0.3906561383718744,1.0,1.0
2019-03-11 21:00:00,1.0,1.0,1.0,1.0,0.37519740552735475,1.0,1.0
2019-03-11 22:00:00,1.0,1.0,1.0,1.0,0.3350770821583004,1.0,1.0
2019-03-11 23:00:00,1.0,1.0,1.0,1.0,0.31340477533370936,1.0,1.0
