,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit,date,marginal_cost
34,2019-03-01 04:00:00,85708.33333333334,12500.0,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,12500.0,pp_2,2019-03-01,12.5
35,2019-03-01 04:00:00,85708.33333333334,31146.341463414636,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,31146.341463414636,pp_3,2019-03-01,31.146341463414636
36,2019-03-01 04:00:00,85708.33333333334,36156.25,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,36156.25,pp_4,2019-03-01,36.15625
37,2019-03-01 04:00:00,29792.06519865889,3.475982327505169,0.0,347.5982327505169,example_02a_elasticDemand_EE_Ramp_base,,3.475982327505169,Wind Onshore,2019-03-01,0.01
38,2019-03-01 04:00:00,214270.83333333334,139270.83333333334,0.0,2500.0,example_02a_elasticDemand_EE_Ramp_base,,139270.83333333334,pp_6,2019-03-01,55.708333333333336
39,2019-03-01 04:00:00,6154.32492893794,6154.32492893794,0.0,71.80544399344217,example_02a_elasticDemand_EE_Ramp_base,,6154.32492893794,pp_7,2019-03-01,85.70833333333334
40,2019-03-01 05:00:00,28429.45738939023,3.3170003760105273,0.0,331.7000376010527,example_02a_elasticDemand_EE_Ramp_base,,3.3170003760105273,Wind Onshore,2019-03-01,0.01
41,2019-03-01 05:00:00,7516.932738206609,7516.932738206609,0.0,87.70363914290647,example_02a_elasticDemand_EE_Ramp_base,,7516.932738206609,pp_7,2019-03-01,85.70833333333334
42,2019-03-01 05:00:00,214270.83333333334,139270.83333333334,0.0,2500.0,example_02a_elasticDemand_EE_Ramp_base,,139270.83333333334,pp_6,2019-03-01,55.708333333333336
43,2019-03-01 05:00:00,85708.33333333334,36156.25,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,36156.25,pp_4,2019-03-01,36.15625
44,2019-03-01 05:00:00,85708.33333333334,12500.0,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,12500.0,pp_1,2019-03-01,12.5
45,2019-03-01 05:00:00,85708.33333333334,12500.0,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,12500.0,pp_2,2019-03-01,12.5
46,2019-03-01 05:00:00,85708.33333333334,31146.341463414636,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,31146.341463414636,pp_3,2019-03-01,31.146341463414636
47,2019-03-01 05:00:00,-593050.5567942635,20758211.03023188,,-6919.403676743959,example_02a_elasticDemand_EE_Ramp_base,,,demand_EOM,2019-03-01,
48,2019-03-01 06:00:00,-593050.5567942635,20758211.03023188,,-6919.403676743959,example_02a_elasticDemand_EE_Ramp_base,,,demand_EOM,2019-03-01,
49,2019-03-01 06:00:00,85708.33333333334,12500.0,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,12500.0,pp_1,2019-03-01,12.5
50,2019-03-01 06:00:00,85708.33333333334,12500.0,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,12500.0,pp_2,2019-03-01,12.5
51,2019-03-01 06:00:00,85708.33333333334,31146.341463414636,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,31146.341463414636,pp_3,2019-03-01,31.146341463414636
52,2019-03-01 06:00:00,85708.33333333334,36156.25,0.0,1000.0,example_02a_elasticDemand_EE_Ramp_base,,36156.25,pp_4,2019-03-01,36.15625
53,2019-03-01 06:00:00,28115.24184135489,3.2803393495017854,0.0,328.03393495017855,example_02a_elasticDemand_EE_Ramp_base,,3.2803393495017854,Wind Onshore,2019-03-01,0.01
54,2019-03-01 06:00:00,214270.83333333334,139270.83333333334,0.0,2500.0,example_02a_elasticDemand_EE_Ramp_base,,139270.83333333334,pp_6,2019-03-01,55.708333333333336
