,DE_1_marginal_cost,DE_1_power,DE_1_positive_flex,DE_1_negative_flex
2019-01-01 00:00:00,3.413333333,62.49999999999998,-0.0,61.17999999999998
2019-01-01 01:00:00,4.441412822984225,1.3199999999999952,-0.0,0.0
2019-01-01 02:00:00,15.315705993928843,1.3200000000000003,-0.0,0.0
2019-01-01 03:00:00,15.315705993928555,1.3200000000000003,-0.0,0.0
2019-01-01 04:00:00,15.315705993928496,1.3199999999999996,-0.0,0.0
2019-01-01 05:00:00,15.315705993928496,1.3199999999999996,-0.0,0.0
2019-01-01 06:00:00,15.315705993928242,1.32,-0.0,0.0
2019-01-01 07:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-01 08:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-01 09:00:00,3.333333333,1.875068206798583,-0.0,0.555068206798583
2019-01-01 10:00:00,15.315705993928963,1.3200000000000003,-0.0,0.0
2019-01-01 11:00:00,15.315705993928242,1.32,-0.0,0.0
2019-01-01 12:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-01 13:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-01 14:00:00,93.41107194495625,20.333827841503798,-0.0,19.0138278415038
2019-01-01 15:00:00,5.387738258218329,68.64,-0.0,0.0
2019-01-01 16:00:00,26.31081159409275,132.0,-0.0,0.0
2019-01-01 17:00:00,3.333333333,1.3199999999999998,-0.0,0.0
2019-01-01 18:00:00,15.315705993928269,1.3200000000000003,-0.0,0.0
2019-01-01 19:00:00,15.315705993928402,1.3199999999999998,-0.0,0.0
2019-01-01 20:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-01 21:00:00,3.333333333,34.58631313131312,-0.0,33.26631313131312
2019-01-01 22:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-01 23:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-02 00:00:00,3.333333333,35.2050681812937,-0.0,33.8850681812937
2019-01-02 01:00:00,15.31574948658523,1.3200000000000005,-0.0,0.0
2019-01-02 02:00:00,15.31570599392804,1.3199999999999996,-0.0,0.0
2019-01-02 03:00:00,15.315705993928498,1.32,-0.0,0.0
2019-01-02 04:00:00,28.22021807507468,132.0,-0.0,0.0
2019-01-02 05:00:00,3.333333333,12.404056886938127,-0.0,11.084056886938127
2019-01-02 06:00:00,15.315705993928706,1.32,-0.0,0.0
2019-01-02 07:00:00,15.315705993928551,1.32,-0.0,0.0
2019-01-02 08:00:00,15.315705993928512,1.3200000000000003,-0.0,0.0
2019-01-02 09:00:00,15.315705993928397,1.3200000000000003,-0.0,0.0
2019-01-02 10:00:00,15.315705993928551,1.32,-0.0,0.0
2019-01-02 11:00:00,15.315705993928397,1.3200000000000003,-0.0,0.0
2019-01-02 12:00:00,15.315705993928551,1.32,-0.0,0.0
2019-01-02 13:00:00,15.315705993928397,1.3199999999999998,-0.0,0.0
2019-01-02 14:00:00,15.315705993928614,1.32,-0.0,0.0
2019-01-02 15:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-02 16:00:00,3.333333333,34.586313131322974,-0.0,33.266313131322974
2019-01-02 17:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-02 18:00:00,3.333333333,34.58631313131312,-0.0,33.26631313131312
2019-01-02 19:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-02 20:00:00,3.333333333,34.58631313131312,-0.0,33.26631313131312
2019-01-02 21:00:00,15.315705993928733,1.32,-0.0,0.0
2019-01-02 22:00:00,15.315705993928402,1.3199999999999998,-0.0,0.0
2019-01-02 23:00:00,26.310811594092744,132.0,-0.0,0.0
2019-01-03 00:00:00,3.333333333,1.32,-0.0,0.0
2019-01-03 01:00:00,15.315705993928711,1.32,-0.0,0.0
2019-01-03 02:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-03 03:00:00,3.333333333,34.58631313131312,-0.0,33.26631313131312
2019-01-03 04:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-03 05:00:00,3.333333333,34.58631313131311,-0.0,33.26631313131311
2019-01-03 06:00:00,15.315705993928727,1.3199999999999998,-0.0,0.0
2019-01-03 07:00:00,15.315705993928402,1.3199999999999998,-0.0,0.0
2019-01-03 08:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 09:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 10:00:00,3.333333333,1.8750707317889048,-0.0,0.5550707317889048
2019-01-03 11:00:00,15.315749486584824,1.32,-0.0,0.0
2019-01-03 12:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-03 13:00:00,3.333333333,34.58631313131311,-0.0,33.26631313131311
2019-01-03 14:00:00,15.315705993928656,1.3199999999999996,-0.0,0.0
2019-01-03 15:00:00,15.315705993928402,1.3199999999999998,-0.0,0.0
2019-01-03 16:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 17:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-03 18:00:00,3.333335499759325,35.20506895041084,-0.0,33.88506895041084
2019-01-03 19:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 20:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 21:00:00,26.299840510033494,132.0,-0.0,0.0
2019-01-03 22:00:00,32.041467304291864,132.0,-0.0,0.0
2019-01-03 23:00:00,3.3333397456450844,36.42407984819174,-0.0,35.10407984819174
2019-01-04 00:00:00,15.315698988463916,1.3200003056783571,-0.0,3.056783571819821e-07
