Unnamed: 0,DE1_power_flex,DE1_accepted,DE1_recalculated_power
1/1/2019 0:00,1.32,10.0,11.32
1/1/2019 1:00,1.32,0.0,1.32
1/1/2019 2:00,1.32,0.0,1.32
1/1/2019 3:00,1.32,0.0,1.32
1/1/2019 4:00,1.32,0.0,1.32
1/1/2019 5:00,1.32,0.0,1.32
1/1/2019 6:00,1.32,0.0,1.32
1/1/2019 7:00,132.0,0.0,132.0
1/1/2019 8:00,132.0,0.0,132.0
1/1/2019 9:00,1.32,0.0,1.32
1/1/2019 10:00,1.32,0.0,1.32
1/1/2019 11:00,1.32,0.0,1.32
1/1/2019 12:00,132.0,0.0,132.0
1/1/2019 13:00,132.0,0.0,132.0
1/1/2019 14:00,1.32,5.0,6.32
1/1/2019 15:00,68.64,0.0,68.64
1/1/2019 16:00,132.0,0.0,132.0
1/1/2019 17:00,1.32,0.0,1.32
1/1/2019 18:00,1.32,0.0,1.32
1/1/2019 19:00,1.32,0.0,1.32
1/1/2019 20:00,132.0,0.0,132.0
1/1/2019 21:00,1.32,15.0,16.32
1/1/2019 22:00,132.0,0.0,132.0
1/1/2019 23:00,132.0,0.0,132.0
1/2/2019 0:00,1.32,5.0,6.32
1/2/2019 1:00,1.32,0.0,1.32
1/2/2019 2:00,1.32,0.0,1.32
1/2/2019 3:00,1.32,0.0,1.32
1/2/2019 4:00,132.0,0.0,132.0
1/2/2019 5:00,1.32,11.08405689,12.40405689
1/2/2019 6:00,1.32,0.0,1.32
1/2/2019 7:00,1.32,0.0,1.32
1/2/2019 8:00,1.32,0.0,1.32
1/2/2019 9:00,1.32,0.0,1.32
1/2/2019 10:00,1.32,0.0,1.32
1/2/2019 11:00,1.32,0.0,1.32
1/2/2019 12:00,1.32,0.0,1.32
1/2/2019 13:00,1.32,0.0,1.32
1/2/2019 14:00,1.32,0.0,1.32
1/2/2019 15:00,132.0,0.0,132.0
1/2/2019 16:00,1.32,33.26631313,34.58631313
1/2/2019 17:00,132.0,0.0,132.0
1/2/2019 18:00,1.32,33.26631313,34.58631313
1/2/2019 19:00,132.0,0.0,132.0
1/2/2019 20:00,1.32,33.26631313,34.58631313
1/2/2019 21:00,1.32,0.0,1.32
1/2/2019 22:00,1.32,0.0,1.32
1/2/2019 23:00,132.0,0.0,132.0
1/3/2019 0:00,1.32,0.0,1.32
1/3/2019 1:00,1.32,0.0,1.32
1/3/2019 2:00,132.0,0.0,132.0
1/3/2019 3:00,1.32,33.26631313,34.58631313
1/3/2019 4:00,132.0,0.0,132.0
1/3/2019 5:00,1.32,33.26631313,34.58631313
1/3/2019 6:00,1.32,0.0,1.32
1/3/2019 7:00,1.32,0.0,1.32
1/3/2019 8:00,132.0,0.0,132.0
1/3/2019 9:00,132.0,0.0,132.0
1/3/2019 10:00,1.32,0.555070732,1.875070732
1/3/2019 11:00,1.32,0.0,1.32
1/3/2019 12:00,132.0,0.0,132.0
1/3/2019 13:00,1.32,33.26631313,34.58631313
1/3/2019 14:00,1.32,0.0,1.32
1/3/2019 15:00,1.32,0.0,1.32
1/3/2019 16:00,132.0,0.0,132.0
1/3/2019 17:00,132.0,0.0,132.0
1/3/2019 18:00,1.32,33.88506895,35.20506895
1/3/2019 19:00,132.0,0.0,132.0
1/3/2019 20:00,132.0,0.0,132.0
1/3/2019 21:00,132.0,0.0,132.0
1/3/2019 22:00,132.0,0.0,132.0
1/3/2019 23:00,1.32,35.10407985,36.42407985
1/4/2019 0:00,1.32,3.06e-07,1.320000306
