datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-01 04:15:00,2756,2827,6262.400000000001,6262.400000000001,14873.2,11742.0
2019-01-01 04:30:00,2756,2827,6256.0,6256.0,14858.0,11730.0
2019-01-01 04:45:00,2756,2827,6231.04,6231.04,14798.72,11683.199999999999
2019-01-01 05:00:00,2756,2827,6234.24,6234.24,14806.32,11689.199999999999
2019-01-01 05:15:00,2756,2827,6188.8,6188.8,14698.4,11604.0
2019-01-01 05:30:00,2756,2827,6176.64,6176.64,14669.52,11581.199999999999
2019-01-01 05:45:00,2756,2827,6126.72,6126.72,14550.960000000001,11487.6
2019-01-01 06:00:00,2756,2827,6071.04,6071.04,14418.72,11383.199999999999
2019-01-01 06:15:00,2756,2827,6073.6,6073.6,14424.8,11388.0
2019-01-01 06:30:00,2756,2827,6099.84,6099.84,14487.12,11437.199999999999
2019-01-01 06:45:00,2756,2827,6153.6,6153.6,14614.8,11538.0
2019-01-01 07:00:00,2756,2827,6174.72,6174.72,14664.960000000001,11577.6
2019-01-01 07:15:00,2756,2827,6210.56,6210.56,14750.08,11644.8
2019-01-01 07:30:00,2756,2827,6220.16,6220.16,14772.880000000001,11662.8
2019-01-01 07:45:00,2756,2827,6274.56,6274.56,14902.08,11764.8
2019-01-01 08:00:00,2756,2827,6282.88,6282.88,14921.84,11780.4
2019-01-01 08:15:00,2756,2827,6306.56,6306.56,14978.08,11824.8
2019-01-01 08:30:00,2756,2827,6376.32,6376.32,15143.76,11955.6
2019-01-01 08:45:00,2756,2827,6437.76,6437.76,15289.68,12070.8
2019-01-01 09:00:00,2756,2827,6588.16,6588.16,15646.880000000001,12352.8
2019-01-01 09:15:00,2756,2827,6695.68,6695.68,15902.24,12554.4
2019-01-01 09:30:00,2756,2827,6822.400000000001,6822.400000000001,16203.2,12792.0
2019-01-01 09:45:00,2756,2827,6924.8,6924.8,16446.4,12984.0
2019-01-01 10:00:00,2756,2827,7047.04,7047.04,16736.72,13213.199999999999
2019-01-01 10:15:00,2756,2827,7142.400000000001,7142.400000000001,16963.2,13392.0
2019-01-01 10:30:00,2756,2827,7240.96,7240.96,17197.28,13576.8
2019-01-01 10:45:00,2756,2827,7321.6,7321.6,17388.8,13728.0
2019-01-01 11:00:00,2756,2827,7489.28,7489.28,17787.04,14042.4
2019-01-01 11:15:00,2756,2827,7616.0,7616.0,18088.0,14280.0
2019-01-01 11:30:00,2756,2827,7726.72,7726.72,18350.96,14487.6
2019-01-01 11:45:00,2756,2827,7754.88,7754.88,18417.84,14540.4
2019-01-01 12:00:00,2756,2827,7831.04,7831.04,18598.72,14683.199999999999
2019-01-01 12:15:00,2756,2827,7872.64,7872.64,18697.52,14761.199999999999
2019-01-01 12:30:00,2756,2827,7861.76,7861.76,18671.68,14740.8
2019-01-01 12:45:00,2756,2827,7873.28,7873.28,18699.04,14762.4
2019-01-01 13:00:00,2756,2827,7840.0,7840.0,18620.0,14700.0
2019-01-01 13:15:00,2756,2827,7800.96,7800.96,18527.28,14626.8
2019-01-01 13:30:00,2756,2827,7799.680000000001,7799.680000000001,18524.24,14624.400000000001
2019-01-01 13:45:00,2756,2827,7786.24,7786.24,18492.32,14599.199999999999
2019-01-01 14:00:00,2756,2827,7791.360000000001,7791.360000000001,18504.48,14608.8
2019-01-01 14:15:00,2756,2827,7761.28,7761.28,18433.04,14552.4
2019-01-01 14:30:00,2756,2827,7759.360000000001,7759.360000000001,18428.48,14548.8
2019-01-01 14:45:00,2756,2827,7749.76,7749.76,18405.68,14530.8
2019-01-01 15:00:00,2756,2827,7820.8,7820.8,18574.4,14664.0
2019-01-01 15:15:00,2756,2827,7832.319999999999,7832.319999999999,18601.76,14685.599999999997
2019-01-01 15:30:00,2756,2827,7841.92,7841.92,18624.56,14703.6
2019-01-01 15:45:00,2756,2827,7843.84,7843.84,18629.12,14707.199999999999
2019-01-01 16:00:00,2756,2827,7919.360000000001,7919.360000000001,18808.48,14848.8
2019-01-01 16:15:00,2756,2827,8007.04,8007.04,19016.72,15013.199999999999
2019-01-01 16:30:00,2756,2827,8181.76,8181.76,19431.68,15340.8
2019-01-01 16:45:00,2756,2827,8335.36,8335.36,19796.48,15628.8
2019-01-01 17:00:00,2756,2827,8520.32,8520.32,20235.76,15975.599999999997
2019-01-01 17:15:00,2756,2827,8588.8,8588.8,20398.4,16104.0
2019-01-01 17:30:00,2756,2827,8663.680000000002,8663.680000000002,20576.24,16244.400000000001
2019-01-01 17:45:00,2756,2827,8721.28,8721.28,20713.040000000005,16352.400000000001
