,demand_DE
0,43932
1,43460
2,42952
3,42720
4,42396
5,41904
6,41432
7,40884
8,40584
9,40204
10,39936
11,39732
12,39572
13,39248
14,39224
15,39204
16,39204
17,39140
18,39100
19,38944
20,38964
21,38680
22,38604
23,38292
24,37944
25,37960
26,38124
27,38460
28,38592
29,38816
30,38876
31,39216
32,39268
33,39416
34,39852
35,40236
36,41176
37,41848
38,42640
39,43280
40,44044
41,44640
42,45256
43,45760
44,46808
45,47600
46,48292
47,48468
48,48944
49,49204
50,49136
51,49208
52,49000
53,48756
54,48748
55,48664
56,48696
57,48508
58,48496
59,48436
60,48880
61,48952
62,49012
63,49024
64,49496
65,50044
66,51136
67,52096
68,53252
69,53680
70,54148
71,54508
72,54688
73,54708
74,54660
75,54600
76,54428
77,53912
78,53448
79,52816
80,52204
81,51728
82,51052
83,50420
84,50144
85,49792
86,49596
87,49416
88,49668
89,49012
90,48484
91,47796
92,47100
93,46380
94,45424
95,44924
96,44652
97,44044
98,43452
99,43164
100,42876
101,42272
102,42148
103,42004
104,42136
105,41960
106,41856
107,41800
108,41900
109,42236
110,42656
111,42920
112,43124
113,43460
114,44128
115,44712
116,45472
117,46044
118,47360
119,48848
120,50488
121,52124
122,53408
123,54848
124,56572
125,57704
126,58716
127,59684
128,60880
129,61128
130,61812
131,62236
132,62924
133,63092
134,63668
135,64036
136,64260
137,64288
138,64560
139,64780
140,65144
141,65636
142,66208
143,66176
144,66276
145,66092
146,65996
147,65836
148,65852
149,65504
150,65308
151,64604
152,64532
153,64260
154,64036
155,63628
156,64244
157,64032
158,63856
159,63744
160,64308
161,64416
162,65420
163,66604
164,67840
165,68516
166,68636
167,68768
168,68420
169,68116
170,68048
171,67876
172,67672
173,66756
174,65992
175,65336
176,64188
177,63184
178,62100
179,61332
180,60388
181,59792
182,59208
183,58784
184,58916
185,58176
186,57192
187,56248
188,55552
189,54440
190,53360
191,52500
192,51580
193,51400
194,50948
195,50140
196,50252
197,50068
198,50052
199,49796
200,49748
201,49688
202,49828
203,49768
204,49740
205,49508
206,49584
207,49796
208,49920
209,50164
210,50580
211,51064
212,52096
213,52416
214,53280
215,54400
216,55896
217,57200
218,58556
219,59732
220,60880
221,61716
222,62704
223,63608
224,64148
225,64584
226,65004
227,65472
228,65904
229,66036
230,66112
231,66304
232,66488
233,66548
234,66732
235,66928
236,67260
237,67616
238,67760
239,67632
240,68076
241,67812
242,67740
243,67588
244,67312
245,66800
246,66416
247,66008
248,65944
249,65648
250,65504
251,65208
252,65376
253,64948
254,64756
255,64964
256,65284
257,65768
258,66516
259,67672
260,68820
261,69348
262,69632
263,69700
264,69452
265,69180
266,68880
267,68708
268,68228
269,67392
270,66656
271,66196
272,64936
273,63704
274,63076
275,62224
276,61520
277,60996
278,60096
279,59756
280,59428
281,58756
282,57644
283,57112
284,56240
285,55172
286,54460
287,53924
288,52744
289,52100
290,51592
291,51044
292,50156
293,49920
294,50100
295,49968
296,49460
297,49328
298,49592
299,49724
300,49704
301,49792
302,49940
303,50368
304,50768
305,50800
306,50984
307,51620
308,52536
309,52740
310,53632
311,54604
312,56352
313,57748
314,58776
315,60288
316,62148
317,63220
318,64180
319,64960
320,66184
321,66740
322,66976
323,67392
324,67748
325,68308
326,68736
327,68612
328,68720
329,68884
330,69196
331,69468
332,69212
333,69552
334,69892
335,70140
336,70476
337,70268
338,70324
339,70004
340,69824
341,69252
342,68920
343,68224
344,67816
345,67368
346,67036
347,66764
348,66808
349,66556
350,66452
351,66416
352,67216
353,67456
354,68036
355,68632
356,69592
357,69872
358,70104
359,70136
360,69788
361,69456
362,69168
363,68768
364,68424
365,67464
366,67096
367,66288
368,64652
369,63644
370,63128
371,61940
372,61052
373,60552
374,60260
375,59476
376,59460
377,59060
378,58152
379,57276
380,55808
381,54984
382,54044
383,53140
384,52436
385,51916
386,51540
387,50732
388,50148
389,49308
390,49148
391,48656
392,48392
393,47888
394,48044
395,47796
396,47708
397,47452
398,47504
399,47556
400,47712
401,47600
402,47620
403,47604
404,47740
405,47712
406,47684
407,47672
408,47764
409,48060
410,48544
411,48952
412,49852
413,50512
414,50912
415,51768
416,53240
417,54248
418,54464
419,55272
420,56576
421,57108
422,58080
423,58604
424,59152
425,59544
426,59832
427,60320
428,60728
429,60804
430,61188
431,60964
432,61148
433,60904
434,60764
435,60352
436,60236
437,59636
438,59240
439,58960
440,58956
441,58464
442,58404
443,58068
444,58276
445,57992
446,57912
447,57968
448,58248
449,58584
450,59168
451,60216
452,61484
453,61820
454,62004
455,62248
456,62452
457,61784
458,61948
459,61564
460,61108
461,60416
462,59800
463,59076
464,57604
465,56560
466,55788
467,55196
468,54576
469,54116
470,53744
471,53308
472,53768
473,53256
474,52520
475,52044
476,50944
477,50056
478,49624
479,49056
480,47820
481,46748
482,46192
483,45652
484,45092
485,44572
486,44404
487,44116
488,43504
489,43312
490,43080
491,42944
492,43080
493,43196
494,43028
495,42872
496,42952
497,43140
498,43096
499,43156
500,43056
501,42664
502,42536
503,42372
504,42108
505,42228
506,42244
507,42448
508,42872
509,43008
510,43380
511,44144
512,44984
513,45504
514,46192
515,47108
516,48220
517,49116
518,49944
519,50556
520,51464
521,52100
522,52780
523,53424
524,54260
525,54820
526,55340
527,55580
528,55828
529,55536
530,55376
531,55112
532,54584
533,54100
534,54012
535,53648
536,53840
537,53616
538,53396
539,53048
540,52620
541,52748
542,52720
543,52748
544,53200
545,53812
546,54792
547,56028
548,57168
549,57932
550,58304
551,58444
552,59300
553,59208
554,58776
555,58196
556,58176
557,57392
558,57144
559,56456
560,56016
561,55348
562,54456
563,53992
564,53856
565,53672
566,53104
567,52968
568,53032
569,53380
570,52664
571,51820
572,51132
573,50492
574,49656
575,48876
576,47952
577,47260
578,46808
579,46252
580,45812
581,45248
582,45252
583,44940
584,44868
585,44660
586,44840
587,44968
588,45272
589,45356
590,45600
591,45812
592,46452
593,46972
594,47600
595,48400
596,49880
597,50844
598,52112
599,53968
600,57276
601,59632
602,61448
603,62900
604,65188
605,66044
606,67284
607,68000
608,69040
609,69100
610,69408
611,69584
612,69424
613,69388
614,69548
615,69896
616,70356
617,70756
618,71104
619,71192
620,71484
621,71804
622,71912
623,71944
624,71724
625,71684
626,71724
627,71728
628,71932
629,71952
630,71812
631,71312
632,71308
633,71408
634,71512
635,71448
636,71820
637,71444
638,71200
639,71304
640,71620
641,72240
642,72696
643,73504
644,74412
645,74676
646,74768
647,74864
648,74440
649,73916
650,73636
651,73328
652,72860
653,72044
654,71548
655,71200
656,69972
657,68928
658,68164
659,67248
660,66728
661,65988
662,65236
663,64164
664,63872
665,62928
666,61840
667,60540
668,59432
669,58768
670,57896
671,57352
672,55424
673,54784
674,54180
675,53720
676,53344
677,53016
678,52612
679,52048
680,51896
681,51884
682,51880
683,51900
684,52192
685,52324
686,52580
687,52812
688,53236
689,53716
690,54456
691,54980
692,56148
693,56744
694,57916
695,59144
696,62072
697,63892
698,65640
699,67300
700,69444
701,70708
702,71588
703,72316
704,73256
705,73600
706,73568
707,73364
708,73240
709,73540
710,73644
711,73796
712,74208
713,74000
714,74240
715,74308
716,74680
717,74804
718,74964
719,74720
720,74768
721,74560
722,74484
723,74404
724,74608
725,74548
726,74252
727,74008
728,73728
729,73688
730,73588
731,73268
732,73356
733,73212
734,73020
735,73056
736,73284
737,73468
738,74136
739,74744
740,75468
741,75744
742,75996
743,76004
744,75456
745,75504
746,75268
747,74840
748,74384
749,73656
750,73288
751,72632
752,71336
753,70024
754,68968
755,68028
756,67252
757,66456
758,65516
759,64900
760,64368
761,63424
762,62492
763,61480
764,60516
765,59596
766,58896
767,58044
768,56704
769,56012
770,55024
771,54464
772,54096
773,53932
774,53696
775,53132
776,52512
777,52832
778,52792
779,52952
780,53008
781,52892
782,53292
783,53728
784,53820
785,54592
786,55348
787,55308
788,56316
789,57028
790,58540
791,59316
792,61724
793,64252
794,65992
795,67784
796,69892
797,70896
798,71860
799,72916
800,73796
801,74256
802,74052
803,74148
804,74060
805,74528
806,74712
807,75136
808,75280
809,75176
810,75488
811,75876
812,76148
813,76224
814,76512
815,76440
816,75972
817,75812
818,75832
819,75780
820,75996
821,75692
822,75436
823,75020
824,75032
825,75120
826,74756
827,74508
828,74612
829,74140
830,74008
831,73832
832,73960
833,74156
834,74652
835,75536
836,76332
837,76972
838,77180
839,77128
840,76480
841,76112
842,76056
843,75700
844,75396
845,74676
846,73944
847,73172
848,71704
849,70368
850,69536
851,68636
852,67856
853,67116
854,66088
855,64952
856,65056
857,64268
858,63028
859,61624
860,60516
861,59380
862,58344
863,57580
864,57148
865,56660
866,56240
867,55244
868,54612
869,54152
870,53708
871,53364
872,53140
873,52972
874,52844
875,53036
876,53212
877,53088
878,53028
879,53244
880,53468
881,53572
882,53908
883,54432
884,55424
885,55896
886,56868
887,58264
888,60916
889,62636
890,64588
891,66084
892,68064
893,68932
894,69800
895,70600
896,71608
897,71968
898,71880
899,71792
900,71484
901,71796
902,72108
903,72064
904,72524
905,72608
906,72760
907,73020
908,73292
909,73292
910,73468
911,73200
912,73228
913,73052
914,72976
915,72952
916,73088
917,72924
918,72320
919,71744
920,71580
921,71564
922,71368
923,71340
924,71368
925,71080
926,70796
927,70800
928,70908
929,71000
930,71472
931,72280
932,73340
933,73724
934,73920
935,74060
936,73540
937,73116
938,72880
939,72824
940,72476
941,71772
942,70940
943,70412
944,69320
945,68376
946,67320
947,66448
948,65540
949,64604
950,63620
951,63060
952,63356
953,62760
954,61568
955,60896
956,59448
957,58536
958,58100
959,57400
960,57128
961,56476
962,55836
963,55328
964,54624
965,54132
966,53948
967,53704
968,53468
969,53516
970,53712
971,53656
972,53800
973,53892
974,54084
975,54384
976,54800
977,55160
978,55600
979,56072
980,56888
981,57476
982,58676
983,60124
984,62832
985,65112
986,66956
987,68612
988,70324
989,71392
990,72568
991,73640
992,74408
993,74616
994,74832
995,75052
996,74840
997,75084
998,75184
999,75672
1000,75684
1001,75584
1002,76124
1003,76036
1004,76380
1005,76668
1006,76728
1007,76748
1008,76516
1009,76152
1010,76052
1011,75520
1012,75348
1013,75080
1014,74668
1015,73832
1016,73452
1017,72968
1018,72936
1019,72560
1020,72356
1021,72060
1022,71848
1023,71804
1024,72052
1025,72004
1026,72392
1027,73012
1028,73972
1029,74552
1030,74576
1031,74340
1032,73840
1033,73304
1034,73012
1035,72724
1036,72380
1037,71820
1038,71184
1039,70356
1040,68816
1041,67544
1042,66400
1043,65552
1044,64696
1045,63768
1046,62968
1047,62200
1048,62244
1049,61472
1050,60588
1051,59684
1052,58568
1053,57588
1054,56716
1055,56152
1056,54292
1057,53404
1058,52700
1059,52172
1060,51428
1061,50760
1062,50432
1063,50036
1064,49360
1065,48912
1066,48648
1067,48808
1068,48364
1069,48180
1070,48124
1071,48240
1072,48600
1073,48652
1074,48592
1075,48528
1076,49108
1077,48964
1078,48816
1079,48964
1080,49760
1081,50244
1082,50708
1083,51060
1084,52260
1085,53276
1086,54092
1087,54848
1088,55992
1089,56836
1090,57440
1091,58376
1092,59588
1093,60420
1094,60988
1095,61680
1096,62628
1097,62844
1098,63380
1099,63828
1100,64124
1101,64656
1102,64764
1103,64788
1104,64416
1105,64412
1106,64144
1107,63716
1108,63284
1109,62580
1110,62388
1111,62004
1112,61800
1113,61432
1114,61520
1115,61212
1116,61056
1117,60976
1118,60944
1119,61008
1120,61208
1121,61608
1122,62132
1123,63256
1124,64336
1125,64724
1126,64644
1127,64588
1128,64920
1129,64352
1130,64028
1131,63852
1132,63232
1133,62496
1134,61736
1135,61328
1136,60456
1137,59180
1138,58096
1139,57556
1140,56652
1141,56260
1142,55640
1143,55348
1144,55764
1145,55136
1146,54348
1147,53768
1148,53164
1149,52520
1150,51900
1151,50968
1152,49784
1153,48872
1154,48308
1155,47560
1156,47052
1157,46696
1158,46316
1159,45780
1160,45560
1161,45300
1162,44912
1163,44828
1164,44532
1165,44368
1166,44368
1167,44240
1168,44272
1169,44024
1170,44380
1171,44280
1172,44316
1173,44068
1174,43716
1175,43560
1176,43236
1177,43176
1178,43340
1179,43868
1180,44564
1181,45020
1182,45868
1183,46652
1184,47940
1185,48716
1186,49808
1187,50460
1188,51928
1189,52928
1190,53964
1191,54824
1192,55440
1193,56164
1194,57004
1195,57748
1196,58848
1197,59552
1198,60104
1199,60352
1200,60148
1201,59984
1202,59788
1203,59448
1204,59260
1205,58820
1206,58808
1207,58320
1208,58112
1209,58012
1210,57904
1211,57616
1212,57720
1213,57440
1214,57364
1215,57440
1216,57776
1217,58096
1218,58664
1219,59256
1220,60452
1221,60980
1222,61484
1223,62040
1224,62440
1225,62152
1226,62080
1227,61764
1228,61396
1229,60844
1230,60432
1231,59916
1232,59012
1233,58052
1234,57404
1235,56952
1236,56808
1237,56424
1238,56136
1239,56152
1240,56840
1241,56360
1242,55832
1243,55264
1244,54568
1245,53844
1246,53224
1247,52228
1248,51536
1249,51144
1250,50680
1251,50044
1252,49036
1253,48768
1254,48616
1255,48408
1256,48092
1257,47856
1258,47800
1259,48472
1260,48392
1261,48464
1262,48628
1263,48852
1264,49428
1265,49944
1266,50536
1267,51272
1268,53112
1269,53824
1270,55060
1271,56768
1272,59996
1273,62376
1274,64128
1275,66072
1276,68408
1277,69544
1278,70524
1279,71408
1280,72140
1281,72516
1282,72664
1283,72872
1284,72072
1285,72560
1286,72996
1287,73140
1288,72904
1289,73028
1290,72996
1291,73216
1292,73564
1293,73628
1294,74056
1295,74140
1296,73764
1297,73504
1298,73660
1299,73712
1300,73988
1301,73840
1302,73616
1303,73172
1304,73152
1305,73024
1306,73056
1307,72884
1308,72788
1309,72188
1310,71884
1311,71524
1312,71556
1313,71356
1314,71344
1315,72372
1316,74040
1317,74744
1318,75276
1319,75188
1320,74864
1321,74384
1322,74336
1323,73932
1324,73440
1325,72632
1326,72416
1327,71728
1328,70104
1329,68876
1330,67972
1331,67288
1332,66448
1333,65472
1334,64756
1335,63840
1336,63592
1337,62388
1338,61644
1339,60756
1340,59428
1341,58284
1342,57588
1343,56592
1344,56012
1345,55496
1346,55024
1347,54628
1348,53704
1349,53460
1350,53336
1351,53696
1352,53136
1353,52884
1354,52884
1355,52936
1356,53076
1357,53004
1358,53292
1359,53272
1360,53696
1361,53864
1362,54440
1363,55004
1364,56436
1365,57068
1366,58100
1367,59220
1368,61972
1369,63744
1370,65188
1371,67060
1372,69404
1373,70552
1374,71696
1375,72652
1376,73332
1377,73516
1378,73568
1379,73692
1380,73296
1381,73212
1382,73752
1383,73920
1384,74444
1385,74484
1386,74396
1387,74640
1388,74828
1389,75024
1390,75008
1391,74884
1392,74504
1393,74316
1394,74192
1395,74240
1396,74332
1397,74424
1398,74144
1399,73792
1400,73676
1401,73836
1402,73768
1403,73876
1404,73680
1405,73492
1406,73168
1407,73092
1408,73108
1409,73060
1410,73432
1411,73820
1412,74632
1413,75352
1414,75696
1415,75880
1416,75212
1417,74764
1418,74440
1419,74572
1420,74144
1421,73096
1422,72832
1423,72112
1424,70636
1425,69716
1426,69012
1427,67748
1428,66964
1429,66108
1430,65568
1431,64432
1432,64048
1433,63524
1434,62276
1435,61252
1436,59976
1437,58740
1438,58336
1439,57288
1440,56268
1441,55360
1442,54892
1443,54128
1444,53576
1445,53220
1446,52732
1447,52516
1448,52104
1449,52120
1450,51788
1451,51716
1452,51680
1453,52016
1454,52236
1455,52456
1456,53144
1457,53452
1458,53912
1459,53908
1460,55540
1461,56064
1462,57036
1463,58552
1464,61420
1465,63760
1466,66008
1467,68032
1468,70096
1469,71392
1470,72432
1471,73036
1472,73792
1473,73840
1474,73868
1475,74084
1476,73832
1477,73912
1478,74120
1479,74156
1480,74432
1481,74756
1482,74992
1483,75180
1484,75436
1485,75532
1486,75556
1487,75408
1488,75040
1489,74756
1490,74900
1491,74972
1492,75308
1493,75092
1494,74720
1495,73904
1496,73524
1497,73312
1498,73212
1499,73188
1500,73224
1501,72868
1502,72784
1503,72476
1504,72308
1505,72528
1506,72960
1507,73500
1508,74704
1509,75624
1510,76116
1511,76184
1512,75704
1513,75300
1514,74960
1515,74828
1516,74616
1517,73800
1518,73200
1519,72616
1520,70992
1521,69712
1522,68580
1523,67880
1524,67044
1525,66300
1526,65416
1527,64452
1528,64068
1529,63288
1530,62520
1531,61572
1532,60380
1533,59488
1534,58720
1535,57832
1536,56964
1537,56236
1538,55976
1539,55336
1540,54892
1541,54044
1542,53972
1543,53876
1544,53148
1545,52980
1546,52824
1547,52924
1548,52876
1549,53096
1550,52868
1551,53060
1552,53720
1553,54436
1554,54792
1555,55548
1556,56688
1557,57176
1558,58076
1559,59304
1560,62432
1561,64464
1562,66280
1563,68064
1564,70384
1565,71828
1566,72780
1567,73888
1568,74328
1569,74660
1570,74768
1571,74576
1572,74176
1573,74432
1574,74564
1575,74680
1576,74676
1577,74944
1578,75168
1579,75424
1580,75448
1581,75840
1582,76304
1583,76528
1584,76096
1585,75852
1586,75912
1587,75984
1588,76156
1589,75864
1590,75424
1591,74800
1592,74872
1593,74832
1594,74608
1595,74272
1596,74104
1597,73688
1598,73652
1599,73368
1600,73200
1601,73168
1602,73372
1603,73896
1604,75028
1605,76140
1606,76616
1607,76804
1608,76316
1609,76068
1610,76148
1611,75788
1612,75052
1613,74208
1614,73544
1615,73296
1616,72236
1617,70976
1618,69872
1619,68688
1620,67584
1621,66880
1622,65968
1623,65664
1624,65016
1625,63932
1626,62716
1627,61688
1628,60044
1629,59612
1630,58548
1631,57728
1632,57152
1633,56700
1634,56284
1635,55676
1636,54736
1637,54284
1638,53892
1639,53500
1640,53096
1641,52780
1642,52480
1643,52592
1644,53072
1645,52804
1646,53020
1647,53252
1648,53948
1649,54256
1650,54340
1651,54688
1652,55800
1653,56208
1654,57324
1655,58680
1656,61252
1657,63520
1658,65180
1659,66684
1660,68900
1661,70016
1662,71092
1663,71520
1664,72392
1665,72544
1666,72544
1667,72364
1668,72100
1669,72136
1670,72312
1671,72460
1672,72116
1673,72176
1674,72124
1675,72224
1676,72416
1677,72704
1678,72552
1679,72368
1680,72116
1681,71800
1682,71444
1683,71280
1684,71124
1685,70612
1686,70176
1687,69276
1688,69472
1689,69236
1690,68960
1691,68904
1692,68700
1693,68376
1694,68248
1695,68116
1696,68316
1697,68344
1698,68600
1699,69420
1700,70956
1701,71992
1702,72532
1703,72500
1704,72268
1705,71872
1706,71512
1707,71320
1708,71000
1709,70220
1710,69388
1711,68560
1712,67252
1713,66224
1714,65316
1715,64416
1716,63660
1717,63092
1718,62708
1719,61688
1720,61668
1721,60792
1722,59904
1723,59460
1724,58572
1725,57864
1726,57668
1727,56888
1728,55920
1729,55180
1730,54988
1731,54500
1732,53572
1733,53172
1734,52708
1735,52492
1736,51840
1737,51424
1738,51332
1739,51424
1740,51196
1741,50920
1742,50696
1743,50592
1744,50736
1745,50688
1746,50420
1747,50508
1748,50684
1749,50556
1750,50240
1751,50200
1752,50620
1753,50888
1754,50980
1755,51844
1756,52752
1757,53372
1758,54064
1759,54980
1760,56184
1761,57092
1762,57748
1763,58444
1764,59344
1765,60020
1766,60868
1767,61084
1768,61560
1769,61760
1770,62116
1771,62044
1772,62276
1773,62104
1774,62412
1775,62376
1776,61812
1777,61488
1778,61052
1779,60560
1780,60096
1781,59272
1782,58948
1783,58440
1784,58132
1785,57816
1786,57504
1787,57272
1788,57500
1789,57604
1790,57444
1791,57400
1792,57868
1793,58224
1794,58820
1795,59668
1796,61492
1797,62736
1798,63664
1799,63628
1800,63780
1801,63620
1802,63484
1803,63180
1804,62580
1805,61992
1806,61452
1807,60872
1808,59652
1809,58400
1810,57468
1811,56744
1812,56460
1813,55952
1814,55500
1815,55292
1816,55964
1817,55420
1818,54816
1819,54280
1820,53856
1821,53340
1822,52776
1823,52252
1824,51380
1825,50748
1826,50360
1827,50064
1828,49180
1829,48932
1830,48544
1831,48180
1832,48060
1833,47624
1834,47564
1835,47232
1836,47204
1837,47180
1838,46896
1839,46928
1840,46788
1841,46528
1842,46564
1843,46764
1844,46500
1845,46368
1846,46016
1847,45992
1848,45148
1849,45544
1850,45652
1851,45900
1852,46232
1853,47032
1854,47656
1855,48144
1856,49064
1857,50152
1858,51072
1859,51780
1860,52864
1861,53792
1862,54288
1863,54652
1864,55032
1865,55528
1866,56040
1867,56380
1868,56736
1869,57400
1870,57808
1871,57812
1872,57704
1873,57328
1874,57112
1875,56700
1876,56260
1877,55744
1878,55432
1879,54836
1880,54452
1881,54160
1882,54020
1883,53684
1884,53812
1885,53664
1886,53800
1887,53808
1888,54328
1889,54480
1890,55308
1891,56112
1892,57528
1893,59384
1894,60248
1895,60820
1896,61500
1897,61284
1898,61552
1899,61272
1900,60948
1901,60332
1902,60052
1903,59592
1904,58772
1905,58052
1906,57424
1907,56892
1908,56308
1909,56344
1910,56264
1911,56468
1912,57316
1913,57144
1914,56608
1915,56052
1916,55424
1917,54964
1918,54556
1919,53916
1920,53664
1921,53224
1922,52924
1923,52308
1924,51732
1925,51424
1926,51424
1927,51288
1928,50836
1929,50820
1930,50756
1931,50900
1932,50756
1933,51100
1934,51360
1935,51376
1936,52036
1937,52512
1938,53128
1939,53564
1940,55100
1941,56184
1942,57212
1943,58784
1944,61724
1945,64292
1946,66384
1947,68032
1948,70324
1949,71280
1950,72448
1951,73232
1952,73448
1953,73572
1954,73756
1955,73948
1956,73512
1957,73576
1958,73932
1959,73820
1960,73580
1961,73864
1962,74160
1963,74272
1964,74312
1965,74476
1966,74632
1967,74584
1968,74128
1969,73608
1970,73772
1971,73664
1972,73948
1973,73480
1974,73216
1975,72532
1976,72536
1977,72216
1978,72076
1979,71944
1980,72004
1981,71768
1982,71464
1983,71136
1984,71216
