,wind_onshore_DE,wind_offshore_DE,solar_DE,water_DE,biomass_DE
120,31111.0,3697.0,0.0,1403.0,4794.0
121,31229.0,3923.0,0.0,1417.0,4792.0
122,31415.0,3913.0,0.0,1418.0,4791.0
123,31363.0,3976.0,0.0,1413.0,4794.0
124,31102.0,4426.0,0.0,1391.0,4812.0
125,30958.0,4585.0,0.0,1397.0,4830.0
126,30773.0,4586.0,0.0,1406.0,4831.0
127,30294.0,4602.0,0.0,1409.0,4838.0
128,29987.0,4543.0,7.0,1403.0,4861.0
129,29828.0,4280.0,30.0,1408.0,4863.0
130,29700.0,4262.0,105.0,1409.0,4865.0
131,29484.0,4267.0,291.0,1395.0,4832.0
132,29304.0,4254.0,651.0,1384.0,4851.0
133,28862.0,4254.0,1154.0,1381.0,4870.0
134,28464.0,4240.0,1746.0,1378.0,4870.0
135,28389.0,4192.0,2368.0,1376.0,4853.0
136,28456.0,4179.0,3058.0,1390.0,4875.0
137,28403.0,4154.0,3788.0,1407.0,4875.0
138,28172.0,4125.0,4588.0,1416.0,4860.0
139,27942.0,4047.0,5159.0,1397.0,4866.0
140,28205.0,3954.0,5837.0,1434.0,4890.0
141,28381.0,3859.0,6196.0,1455.0,4886.0
142,28577.0,3699.0,6541.0,1478.0,4883.0
143,28567.0,3535.0,6764.0,1431.0,4870.0
144,28872.0,3419.0,6902.0,1479.0,4880.0
145,28831.0,3352.0,6954.0,1447.0,4898.0
146,28709.0,3402.0,6917.0,1462.0,4891.0
147,28493.0,3391.0,6944.0,1479.0,4889.0
148,28530.0,3284.0,6808.0,1503.0,4893.0
149,28494.0,3204.0,6479.0,1457.0,4885.0
150,28376.0,3143.0,6131.0,1460.0,4903.0
151,27800.0,3045.0,5665.0,1452.0,4884.0
152,27167.0,3136.0,5242.0,1450.0,4907.0
153,26886.0,2975.0,4604.0,1492.0,4895.0
154,26253.0,2863.0,3940.0,1451.0,4915.0
155,25655.0,2899.0,3268.0,1417.0,4900.0
156,24720.0,3010.0,2494.0,1462.0,4913.0
157,23918.0,3075.0,1737.0,1543.0,4912.0
158,23866.0,3251.0,1132.0,1437.0,4905.0
159,23708.0,3132.0,637.0,1501.0,4905.0
160,23267.0,2865.0,252.0,1368.0,4903.0
161,22754.0,2936.0,72.0,1370.0,4909.0
162,22375.0,2798.0,8.0,1411.0,4900.0
163,22300.0,2939.0,0.0,1654.0,4913.0
164,22186.0,3056.0,0.0,1405.0,4901.0
165,21836.0,3018.0,0.0,1449.0,4896.0
166,21384.0,2810.0,0.0,1436.0,4920.0
167,21125.0,2561.0,0.0,1515.0,4921.0
168,20735.0,2535.0,0.0,1475.0,4917.0
169,20335.0,2618.0,0.0,1472.0,4913.0
170,19641.0,2732.0,0.0,1502.0,4905.0
171,19105.0,2908.0,0.0,1508.0,4919.0
172,18566.0,2918.0,0.0,1574.0,4911.0
173,18201.0,2989.0,0.0,1544.0,4917.0
174,17672.0,3007.0,0.0,1474.0,4903.0
175,17285.0,2933.0,0.0,1442.0,4903.0
176,16994.0,2808.0,0.0,1495.0,4897.0
177,16739.0,2560.0,0.0,1436.0,4901.0
178,16330.0,2728.0,0.0,1422.0,4888.0
179,16044.0,2767.0,0.0,1417.0,4897.0
180,15668.0,2620.0,0.0,1404.0,4898.0
181,15178.0,2706.0,0.0,1370.0,4891.0
182,14689.0,3030.0,0.0,1380.0,4893.0
183,14480.0,3037.0,0.0,1376.0,4879.0
184,14103.0,3102.0,0.0,1443.0,4873.0
185,13694.0,3046.0,0.0,1385.0,4859.0
186,13430.0,3230.0,0.0,1390.0,4864.0
187,13142.0,2875.0,0.0,1382.0,4839.0
188,12839.0,2910.0,0.0,1450.0,4846.0
189,12600.0,2753.0,0.0,1410.0,4849.0
190,12586.0,2717.0,0.0,1424.0,4854.0
191,12355.0,2901.0,0.0,1392.0,4838.0
192,12267.0,3062.0,0.0,1460.0,4844.0
193,12049.0,3318.0,0.0,1435.0,4839.0
194,11859.0,3153.0,0.0,1422.0,4825.0
195,11643.0,3304.0,0.0,1413.0,4826.0
196,11616.0,3622.0,0.0,1459.0,4807.0
197,11537.0,3763.0,0.0,1442.0,4791.0
198,11312.0,3929.0,0.0,1434.0,4811.0
199,11106.0,3968.0,0.0,1434.0,4796.0
200,11065.0,3655.0,0.0,1440.0,4804.0
201,11013.0,3919.0,0.0,1400.0,4798.0
202,10992.0,3838.0,0.0,1447.0,4773.0
203,10873.0,3699.0,0.0,1429.0,4793.0
204,10890.0,3852.0,0.0,1420.0,4804.0
205,11066.0,4142.0,0.0,1387.0,4777.0
206,11250.0,4079.0,0.0,1387.0,4789.0
207,11411.0,4189.0,0.0,1388.0,4806.0
208,11507.0,3942.0,0.0,1414.0,4828.0
209,11626.0,4149.0,0.0,1389.0,4792.0
210,11924.0,4236.0,0.0,1392.0,4805.0
211,12013.0,4297.0,0.0,1411.0,4792.0
212,12029.0,4384.0,0.0,1426.0,4810.0
213,12147.0,4393.0,0.0,1404.0,4809.0
214,12292.0,4483.0,0.0,1449.0,4811.0
215,12384.0,4256.0,0.0,1463.0,4789.0
216,12556.0,4276.0,0.0,1442.0,4797.0
217,12609.0,4295.0,0.0,1458.0,4803.0
218,12636.0,4260.0,0.0,1485.0,4815.0
219,12600.0,4027.0,0.0,1488.0,4807.0
220,12572.0,4074.0,0.0,1402.0,4846.0
221,12813.0,4191.0,0.0,1441.0,4849.0
222,12833.0,4154.0,0.0,1457.0,4860.0
223,12756.0,4048.0,0.0,1484.0,4844.0
224,12730.0,4039.0,8.0,1448.0,4873.0
225,12805.0,4047.0,51.0,1425.0,4888.0
226,12634.0,4038.0,194.0,1427.0,4886.0
227,12531.0,4086.0,469.0,1416.0,4882.0
228,12569.0,3817.0,894.0,1405.0,4853.0
229,12273.0,3641.0,1359.0,1393.0,4871.0
230,11909.0,3696.0,1824.0,1405.0,4881.0
231,11282.0,3430.0,2351.0,1401.0,4884.0
232,10829.0,3348.0,2836.0,1413.0,4885.0
233,10457.0,3280.0,3317.0,1412.0,4889.0
234,10064.0,3110.0,3750.0,1378.0,4875.0
235,9662.0,2853.0,4122.0,1393.0,4885.0
236,9167.0,2753.0,4380.0,1420.0,4887.0
237,8813.0,2719.0,4738.0,1420.0,4897.0
238,8591.0,2554.0,4935.0,1431.0,4901.0
239,8395.0,2335.0,4911.0,1459.0,4893.0
240,8130.0,2455.0,4902.0,1398.0,4906.0
241,7995.0,2301.0,4866.0,1368.0,4903.0
242,7732.0,2002.0,4748.0,1367.0,4901.0
243,7566.0,1997.0,4587.0,1357.0,4904.0
244,7337.0,1886.0,4439.0,1369.0,4919.0
245,7174.0,1736.0,4268.0,1363.0,4881.0
246,6894.0,1818.0,4074.0,1374.0,4880.0
247,6814.0,1745.0,3740.0,1377.0,4860.0
248,6588.0,1743.0,3422.0,1368.0,4858.0
249,6472.0,1795.0,2954.0,1364.0,4857.0
250,6311.0,1770.0,2466.0,1415.0,4883.0
251,6310.0,1727.0,1968.0,1360.0,4874.0
252,6339.0,1725.0,1430.0,1380.0,4908.0
253,6561.0,1626.0,973.0,1373.0,4900.0
254,6703.0,1498.0,622.0,1410.0,4907.0
255,6928.0,1501.0,343.0,1420.0,4911.0
256,7231.0,1462.0,136.0,1384.0,4901.0
257,7449.0,1522.0,35.0,1377.0,4895.0
258,7689.0,1442.0,3.0,1370.0,4902.0
259,8040.0,1439.0,0.0,1385.0,4909.0
260,8554.0,1455.0,0.0,1368.0,4918.0
261,8928.0,1400.0,0.0,1386.0,4896.0
262,9055.0,1309.0,0.0,1386.0,4929.0
263,9161.0,1303.0,0.0,1405.0,4933.0
264,9195.0,1306.0,0.0,1459.0,4939.0
265,9254.0,1329.0,0.0,1371.0,4931.0
266,9274.0,1388.0,0.0,1352.0,4930.0
267,9198.0,1558.0,0.0,1358.0,4922.0
268,9054.0,1698.0,0.0,1393.0,4927.0
269,8977.0,1696.0,0.0,1380.0,4929.0
270,8813.0,1701.0,0.0,1370.0,4922.0
271,8726.0,1667.0,0.0,1359.0,4922.0
272,8682.0,1692.0,0.0,1422.0,4918.0
273,8716.0,1667.0,0.0,1377.0,4914.0
274,8678.0,1598.0,0.0,1429.0,4914.0
275,8704.0,1690.0,0.0,1388.0,4897.0
276,8597.0,1481.0,0.0,1433.0,4911.0
277,8402.0,1316.0,0.0,1426.0,4913.0
278,8180.0,1218.0,0.0,1362.0,4900.0
279,7941.0,1230.0,0.0,1360.0,4899.0
280,7589.0,1206.0,0.0,1416.0,4894.0
281,7314.0,1318.0,0.0,1388.0,4885.0
282,7040.0,1375.0,0.0,1365.0,4886.0
283,6921.0,1319.0,0.0,1368.0,4884.0
284,6749.0,1354.0,0.0,1427.0,4878.0
285,6666.0,1390.0,0.0,1358.0,4877.0
286,6545.0,1323.0,0.0,1361.0,4872.0
287,6435.0,1332.0,0.0,1380.0,4873.0
288,6337.0,1441.0,0.0,1505.0,4853.0
289,6290.0,1504.0,0.0,1407.0,4860.0
290,6347.0,1723.0,0.0,1366.0,4861.0
291,6545.0,1963.0,0.0,1363.0,4852.0
292,6701.0,2230.0,0.0,1378.0,4853.0
293,7044.0,2231.0,0.0,1348.0,4851.0
294,7420.0,2443.0,0.0,1344.0,4851.0
295,7681.0,2624.0,0.0,1341.0,4849.0
296,7725.0,3063.0,0.0,1384.0,4860.0
297,7901.0,3310.0,0.0,1359.0,4852.0
298,7947.0,3412.0,0.0,1358.0,4877.0
299,8324.0,3462.0,0.0,1351.0,4878.0
300,8493.0,3688.0,0.0,1412.0,4871.0
301,8918.0,3838.0,0.0,1368.0,4870.0
302,9381.0,3915.0,0.0,1359.0,4864.0
303,9681.0,4300.0,0.0,1356.0,4860.0
304,10060.0,4542.0,0.0,1372.0,4866.0
305,10394.0,4191.0,0.0,1375.0,4847.0
306,10820.0,4161.0,0.0,1402.0,4870.0
307,11259.0,4186.0,0.0,1417.0,4861.0
308,11718.0,4261.0,0.0,1417.0,4876.0
309,12107.0,4224.0,0.0,1387.0,4859.0
310,12498.0,4311.0,0.0,1391.0,4868.0
311,12791.0,4319.0,0.0,1380.0,4856.0
312,13460.0,4367.0,0.0,1371.0,4849.0
313,13594.0,4143.0,0.0,1385.0,4868.0
314,14134.0,4146.0,0.0,1368.0,4851.0
315,14570.0,4186.0,0.0,1389.0,4846.0
316,15141.0,4216.0,0.0,1374.0,4869.0
317,15598.0,4225.0,0.0,1384.0,4857.0
318,16308.0,4212.0,0.0,1397.0,4872.0
319,16787.0,4224.0,0.0,1430.0,4882.0
320,17097.0,3977.0,7.0,1391.0,4906.0
321,17240.0,3890.0,31.0,1403.0,4902.0
322,17516.0,3856.0,95.0,1404.0,4918.0
323,17651.0,3845.0,221.0,1423.0,4920.0
324,17827.0,3839.0,391.0,1492.0,4884.0
325,18107.0,3824.0,586.0,1550.0,4868.0
326,18343.0,3798.0,798.0,1543.0,4897.0
327,18387.0,3799.0,1022.0,1520.0,4916.0
328,18904.0,3790.0,1236.0,1487.0,4918.0
329,19208.0,3802.0,1442.0,1539.0,4916.0
