tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
177,0.9,1.8,8.530158196,25.06235811,21.67,20.7,23.389375
178,0.9,1.8,8.530316239,25.06340381,21.67,20.7,23.36875
179,0.9,1.8,8.530474281,25.06444951,21.67,20.7,23.348125
180,0.9,1.8,8.530632324,25.06549521,21.67,20.7,23.3275
181,0.9,1.8,8.530790366,25.06654091,21.67,20.7,23.306875
182,0.9,1.8,8.530948408,25.06758661,21.67,20.7,23.28625
183,0.9,1.8,8.531106451,25.06863231,21.67,20.7,23.265625
184,0.9,1.8,8.531264493,25.06967801,21.67,20.7,23.245
185,0.9,1.8,8.531422536,25.07072371,21.67,20.7,23.224375
186,0.9,1.8,8.531580578,25.07176941,21.67,20.7,23.20375
187,0.9,1.8,8.531738621,25.07281511,21.67,20.7,23.183125
188,0.9,1.8,8.531896663,25.07386082,21.67,20.7,23.1625
189,0.9,1.8,8.532054705,25.07490652,21.67,20.7,23.141875
190,0.9,1.8,8.532212748,25.07595222,21.67,20.7,23.12125
191,0.9,1.8,8.53237079,25.07699792,21.67,20.7,23.100625
192,0.9,1.8,8.532528833,25.07804362,21.67,20.7,23.08
193,0.9,1.8,8.532686875,25.07874075,21.67,20.7,23.08479167
194,0.9,1.8,8.532844918,25.07943788,21.67,20.7,23.08958333
195,0.9,1.8,8.53300296,25.08013502,21.67,20.7,23.094375
196,0.9,1.8,8.533161002,25.08083215,21.67,20.7,23.09916667
197,0.9,1.8,8.533319045,25.08152928,21.67,20.7,23.10395833
198,0.9,1.8,8.533477087,25.08222642,21.67,20.7,23.10875
199,0.9,1.8,8.53363513,25.08292355,21.67,20.7,23.11354167
200,0.9,1.8,8.533793172,25.08362068,21.67,20.7,23.11833333
201,0.9,1.8,8.533951215,25.08431782,21.67,20.7,23.123125
202,0.9,1.8,8.534109257,25.08501495,21.67,20.7,23.12791667
203,0.9,1.8,8.534267299,25.08571208,21.67,20.7,23.13270833
204,0.9,1.8,8.534425342,25.08640922,21.67,20.7,23.1375
205,0.9,1.8,8.534583384,25.08710635,21.67,20.7,23.14229167
206,0.9,1.8,8.534741427,25.08780348,21.67,20.7,23.14708333
207,0.9,1.8,8.534899469,25.08850062,21.67,20.7,23.151875
208,0.9,1.8,8.535057512,25.08919775,21.67,20.7,23.15666667
209,0.9,1.8,8.535057512,25.09024345,21.67,20.7,23.16145833
210,0.9,1.8,8.535057512,25.09128915,21.67,20.7,23.16625
211,0.9,1.8,8.535057512,25.09233485,21.67,20.7,23.17104167
212,0.9,1.8,8.535057512,25.09338055,21.67,20.7,23.17583333
213,0.9,1.8,8.535057512,25.09442625,21.67,20.7,23.180625
214,0.9,1.8,8.535057512,25.09547195,21.67,20.7,23.18541667
215,0.9,1.8,8.535057512,25.09651765,21.67,20.7,23.19020833
216,0.9,1.8,8.535057512,25.09756335,21.67,20.7,23.195
217,0.9,1.8,8.535057512,25.09860905,21.67,20.7,23.19979167
218,0.9,1.8,8.535057512,25.09965475,21.67,20.7,23.20458333
219,0.9,1.8,8.535057512,25.10070045,21.67,20.7,23.209375
220,0.9,1.8,8.535057512,25.10174615,21.67,20.7,23.21416667
221,0.9,1.8,8.535057512,25.10279185,21.67,20.7,23.21895833
222,0.9,1.8,8.535057512,25.10383755,21.67,20.7,23.22375
223,0.9,1.8,8.535057512,25.10488325,21.67,20.7,23.22854167
224,0.9,1.8,8.535057512,25.10592895,21.67,20.7,23.23333333
225,0.9,1.8,8.53497849,25.10592895,21.67,20.7,23.238125
226,0.9,1.8,8.534899469,25.10592895,21.67,20.7,23.24291667
227,0.9,1.8,8.534820448,25.10592895,21.67,20.7,23.24770833
228,0.9,1.8,8.534741427,25.10592895,21.67,20.7,23.2525
229,0.9,1.8,8.534662406,25.10592895,21.67,20.7,23.25729167
230,0.9,1.8,8.534583384,25.10592895,21.67,20.7,23.26208333
231,0.9,1.8,8.534504363,25.10592895,21.67,20.7,23.266875
232,0.9,1.8,8.534425342,25.10592895,21.67,20.7,23.27166667
233,0.9,1.8,8.534346321,25.10592895,21.67,20.7,23.27645833
234,0.9,1.8,8.534267299,25.10592895,21.67,20.7,23.28125
235,0.9,1.8,8.534188278,25.10592895,21.67,20.7,23.28604167
236,0.9,1.8,8.534109257,25.10592895,21.67,20.7,23.29083333
237,0.9,1.8,8.534030236,25.10592895,21.67,20.7,23.295625
238,0.9,1.8,8.533951215,25.10592895,21.67,20.7,23.30041667
239,0.9,1.8,8.533872193,25.10592895,21.67,20.7,23.30520833
240,0.9,1.8,8.533793172,25.10592895,21.67,20.7,23.31
241,0.9,1.8,8.533608789,25.10662609,21.67,20.7,23.31479167
242,0.9,1.8,8.533424406,25.10732322,21.67,20.7,23.31958333
243,0.9,1.8,8.533240024,25.10802035,21.67,20.7,23.324375
244,0.9,1.8,8.533055641,25.10871749,21.67,20.7,23.32916667
245,0.9,1.8,8.532871258,25.10941462,21.67,20.7,23.33395833
246,0.9,1.8,8.532686875,25.11011175,21.67,20.7,23.33875
247,0.9,1.8,8.532502492,25.11080889,21.67,20.7,23.34354167
248,0.9,1.8,8.532318109,25.11150602,21.67,20.7,23.34833333
249,0.9,1.8,8.532133727,25.11220315,21.67,20.7,23.353125
250,0.9,1.8,8.531949344,25.11290029,21.67,20.7,23.35791667
251,0.9,1.8,8.531764961,25.11359742,21.67,20.7,23.36270833
252,0.9,1.8,8.531580578,25.11429455,21.67,20.7,23.3675
253,0.9,1.8,8.531396195,25.11499169,21.67,20.7,23.37229167
254,0.9,1.8,8.531211812,25.11568882,21.67,20.7,23.37708333
255,0.9,1.8,8.53102743,25.11638595,21.67,20.7,23.381875
256,0.9,1.8,8.530843047,25.11708309,21.67,20.7,23.38666667
257,0.9,1.8,8.530711345,25.11812879,21.67,20.7,23.39145833
258,0.9,1.8,8.530579643,25.11917449,21.67,20.7,23.39625
259,0.9,1.8,8.530447941,25.12022019,21.67,20.7,23.40104167
260,0.9,1.8,8.530316239,25.12126589,21.67,20.7,23.40583333
261,0.9,1.8,8.530184537,25.12231159,21.67,20.7,23.410625
262,0.9,1.8,8.530052835,25.12335729,21.67,20.7,23.41541667
263,0.9,1.8,8.529921133,25.12440299,21.67,20.7,23.42020833
264,0.9,1.8,8.529789431,25.12544869,21.67,20.7,23.425
265,0.9,1.8,8.529657729,25.12649439,21.67,20.7,23.42979167
266,0.9,1.8,8.529526027,25.12754009,21.67,20.7,23.43458333
267,0.9,1.8,8.529394324,25.12858579,21.67,20.7,23.439375
