,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
0,480,480,80640,80640,16.532,25.452,0,,2019-01-01 02:00:00,2019-01-08 02:00:00,,LTM_OTC,2019-01-01 02:00:00,experiment_cement_plant_case
1,200,200,800,800,85.3,119.39,64.845,,2019-01-01 01:00:00,2019-01-01 05:00:00,,CRM_pos,2019-01-01 01:00:00,experiment_cement_plant_case
2,0,0,0,0,0,0,0,,2019-01-01 01:00:00,2019-01-01 05:00:00,,CRM_neg,2019-01-01 01:00:00,experiment_cement_plant_case
3,200,200,800,800,85.3,119.39,64.845,,2019-01-01 05:00:00,2019-01-01 09:00:00,,CRM_pos,2019-01-01 05:00:00,experiment_cement_plant_case
4,0,0,0,0,0,0,0,,2019-01-01 05:00:00,2019-01-01 09:00:00,,CRM_neg,2019-01-01 05:00:00,experiment_cement_plant_case
5,200,200,800,800,85.3,119.39,64.845,,2019-01-01 09:00:00,2019-01-01 13:00:00,,CRM_pos,2019-01-01 09:00:00,experiment_cement_plant_case
6,0,0,0,0,0,0,0,,2019-01-01 09:00:00,2019-01-01 13:00:00,,CRM_neg,2019-01-01 09:00:00,experiment_cement_plant_case
7,200,200,800,800,85.3,119.39,64.845,,2019-01-01 13:00:00,2019-01-01 17:00:00,,CRM_pos,2019-01-01 13:00:00,experiment_cement_plant_case
8,0,0,0,0,0,0,0,,2019-01-01 13:00:00,2019-01-01 17:00:00,,CRM_neg,2019-01-01 13:00:00,experiment_cement_plant_case
9,200,200,800,800,85.3,119.39,64.845,,2019-01-01 17:00:00,2019-01-01 21:00:00,,CRM_pos,2019-01-01 17:00:00,experiment_cement_plant_case
10,0,0,0,0,0,0,0,,2019-01-01 17:00:00,2019-01-01 21:00:00,,CRM_neg,2019-01-01 17:00:00,experiment_cement_plant_case
11,510,510,510,510,119.39,119.39,119.39,,2019-01-02 00:00:00,2019-01-02 01:00:00,,EOM,2019-01-02 00:00:00,experiment_cement_plant_case
12,880,880,880,880,119.39,119.39,119.39,,2019-01-02 01:00:00,2019-01-02 02:00:00,,EOM,2019-01-02 01:00:00,experiment_cement_plant_case
13,880,880,880,880,119.39,119.39,119.39,,2019-01-02 02:00:00,2019-01-02 03:00:00,,EOM,2019-01-02 02:00:00,experiment_cement_plant_case
14,880,880,880,880,119.39,119.39,119.39,,2019-01-02 03:00:00,2019-01-02 04:00:00,,EOM,2019-01-02 03:00:00,experiment_cement_plant_case
15,880,880,880,880,119.39,119.39,119.39,,2019-01-02 04:00:00,2019-01-02 05:00:00,,EOM,2019-01-02 04:00:00,experiment_cement_plant_case
16,880,880,880,880,119.39,119.39,119.39,,2019-01-02 05:00:00,2019-01-02 06:00:00,,EOM,2019-01-02 05:00:00,experiment_cement_plant_case
17,880,880,880,880,119.39,119.39,119.39,,2019-01-02 06:00:00,2019-01-02 07:00:00,,EOM,2019-01-02 06:00:00,experiment_cement_plant_case
