start_time,end_time,price,volume,node,bid_id,unit_id,accepted_volume,accepted_price,market_id,bid_type,simulation
2019-01-01 02:00:00,2019-01-08 02:00:00,25.452,100,south,KKW PHILIPPSBURG 2_1,KKW PHILIPPSBURG 2,100,25.452,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,25.452,100,south,KKW BROKDORF_1,KKW BROKDORF,100,25.452,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,25.452,100,south,KKW ISAR 2_1,KKW ISAR 2,100,25.452,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,3000,-508.27,north,demand_EOM1_1,demand_EOM1,-480,25.452,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,0,40,north,Wind onshore_1,Wind onshore,40,0,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,0,50,north,Solar_1,Solar,50,0,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,0,10,north,Wind offshore_1,Wind offshore,10,0,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,0,30,north,Hydro_1,Hydro,30,0,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,6,50,north,Biomass_1,Biomass,50,6,LTM_OTC,,experiment_cement_plant_case
2019-01-01 02:00:00,2019-01-08 02:00:00,3000,-546.61,south,demand_EOM2_1,demand_EOM2,0,16.532,LTM_OTC,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,119.39,50,north,Reserve unit 1_1,Reserve unit 1,50,119.39,CRM_pos,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,92.118,50,south,Reserve unit 2_1,Reserve unit 2,50,92.118,CRM_pos,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,64.845,50,north,Reserve unit 3_1,Reserve unit 3,50,64.845,CRM_pos,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,64.845,50,south,Reserve unit 4_1,Reserve unit 4,50,64.845,CRM_pos,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,3000,-300,north,demand_CRM_pos_1,demand_CRM_pos,-200,119.39,CRM_pos,,experiment_cement_plant_case
2019-01-01 01:00:00,2019-01-01 05:00:00,3000,-400,south,demand_CRM_neg_1,demand_CRM_neg,0,0,CRM_neg,,experiment_cement_plant_case
2019-01-01 05:00:00,2019-01-01 09:00:00,119.39,50,north,Reserve unit 1_1,Reserve unit 1,50,119.39,CRM_pos,,experiment_cement_plant_case
2019-01-01 05:00:00,2019-01-01 09:00:00,92.118,50,south,Reserve unit 2_1,Reserve unit 2,50,92.118,CRM_pos,,experiment_cement_plant_case
2019-01-01 05:00:00,2019-01-01 09:00:00,64.845,50,north,Reserve unit 3_1,Reserve unit 3,50,64.845,CRM_pos,,experiment_cement_plant_case
2019-01-01 05:00:00,2019-01-01 09:00:00,64.845,50,south,Reserve unit 4_1,Reserve unit 4,50,64.845,CRM_pos,,experiment_cement_plant_case
