,volume,price,name,time
0,500,24.8,simple_dayahead_auction,1546308000.0
0,500,24.8,simple_dayahead_auction,1546311600.0
0,500,24.8,simple_dayahead_auction,1546315200.0
0,500,24.8,simple_dayahead_auction,1546318800.0
0,500,24.8,simple_dayahead_auction,1546322400.0
0,500,24.8,simple_dayahead_auction,1546326000.0
0,500,24.8,simple_dayahead_auction,1546329600.0
0,500,24.8,simple_dayahead_auction,1546333200.0
0,500,24.8,simple_dayahead_auction,1546336800.0
0,500,24.8,simple_dayahead_auction,1546340400.0
0,500,24.8,simple_dayahead_auction,1546344000.0
0,500,24.8,simple_dayahead_auction,1546347600.0
0,500,24.8,simple_dayahead_auction,1546351200.0
0,500,24.8,simple_dayahead_auction,1546354800.0
0,500,24.8,simple_dayahead_auction,1546358400.0
0,500,24.8,simple_dayahead_auction,1546362000.0
0,500,24.8,simple_dayahead_auction,1546365600.0
0,500,24.8,simple_dayahead_auction,1546369200.0
0,500,24.8,simple_dayahead_auction,1546372800.0
0,500,24.8,simple_dayahead_auction,1546376400.0
0,500,24.8,simple_dayahead_auction,1546380000.0
0,500,24.8,simple_dayahead_auction,1546383600.0
0,500,24.8,simple_dayahead_auction,1546387200.0
0,500,24.8,simple_dayahead_auction,1546390800.0
0,500,24.8,simple_dayahead_auction,1546394400.0
0,500,24.8,simple_dayahead_auction,1546398000.0
0,500,24.8,simple_dayahead_auction,1546401600.0
0,500,24.8,simple_dayahead_auction,1546405200.0
0,500,24.8,simple_dayahead_auction,1546408800.0
0,500,24.8,simple_dayahead_auction,1546412400.0
0,500,24.8,simple_dayahead_auction,1546416000.0
0,500,24.8,simple_dayahead_auction,1546419600.0
0,500,24.8,simple_dayahead_auction,1546423200.0
0,500,24.8,simple_dayahead_auction,1546426800.0
0,500,24.8,simple_dayahead_auction,1546430400.0
0,500,24.8,simple_dayahead_auction,1546434000.0
0,500,24.8,simple_dayahead_auction,1546437600.0
0,500,24.8,simple_dayahead_auction,1546441200.0
0,500,24.8,simple_dayahead_auction,1546444800.0
0,500,24.8,simple_dayahead_auction,1546448400.0
0,500,24.8,simple_dayahead_auction,1546452000.0
0,500,24.8,simple_dayahead_auction,1546455600.0
0,500,24.8,simple_dayahead_auction,1546459200.0
0,500,24.8,simple_dayahead_auction,1546462800.0
0,500,24.8,simple_dayahead_auction,1546466400.0
0,500,24.8,simple_dayahead_auction,1546470000.0
0,500,24.8,simple_dayahead_auction,1546308000.0
0,500,24.8,simple_dayahead_auction,1546311600.0
0,500,24.8,simple_dayahead_auction,1546315200.0
0,500,24.8,simple_dayahead_auction,1546318800.0
0,500,24.8,simple_dayahead_auction,1546322400.0
0,500,24.8,simple_dayahead_auction,1546326000.0
0,500,24.8,simple_dayahead_auction,1546329600.0
0,500,24.8,simple_dayahead_auction,1546333200.0
0,500,24.8,simple_dayahead_auction,1546336800.0
0,500,24.8,simple_dayahead_auction,1546340400.0
0,500,24.8,simple_dayahead_auction,1546344000.0
0,500,24.8,simple_dayahead_auction,1546347600.0
0,500,24.8,simple_dayahead_auction,1546351200.0
0,500,24.8,simple_dayahead_auction,1546354800.0
0,500,24.8,simple_dayahead_auction,1546358400.0
0,500,24.8,simple_dayahead_auction,1546362000.0
0,500,24.8,simple_dayahead_auction,1546365600.0
0,500,24.8,simple_dayahead_auction,1546369200.0
0,500,24.8,simple_dayahead_auction,1546372800.0
0,500,24.8,simple_dayahead_auction,1546376400.0
0,500,24.8,simple_dayahead_auction,1546380000.0
0,500,24.8,simple_dayahead_auction,1546383600.0
0,500,24.8,simple_dayahead_auction,1546387200.0
0,500,24.8,simple_dayahead_auction,1546390800.0
0,500,24.8,simple_dayahead_auction,1546394400.0
0,500,24.8,simple_dayahead_auction,1546398000.0
0,500,24.8,simple_dayahead_auction,1546401600.0
0,500,24.8,simple_dayahead_auction,1546405200.0
0,500,24.8,simple_dayahead_auction,1546408800.0
0,500,24.8,simple_dayahead_auction,1546412400.0
0,500,24.8,simple_dayahead_auction,1546416000.0
0,500,24.8,simple_dayahead_auction,1546419600.0
0,500,24.8,simple_dayahead_auction,1546423200.0
0,500,24.8,simple_dayahead_auction,1546426800.0
0,500,24.8,simple_dayahead_auction,1546430400.0
0,500,24.8,simple_dayahead_auction,1546434000.0
0,500,24.8,simple_dayahead_auction,1546437600.0
0,500,24.8,simple_dayahead_auction,1546441200.0
0,500,24.8,simple_dayahead_auction,1546444800.0
0,500,24.8,simple_dayahead_auction,1546448400.0
0,500,24.8,simple_dayahead_auction,1546452000.0
0,500,24.8,simple_dayahead_auction,1546455600.0
0,500,24.8,simple_dayahead_auction,1546459200.0
0,500,24.8,simple_dayahead_auction,1546462800.0
0,500,24.8,simple_dayahead_auction,1546466400.0
0,500,24.8,simple_dayahead_auction,1546470000.0
