datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen
1/1/2040 0:00,3.259296784,189.6227082,136.0563443,188.112651,107.5569925,0.0,,442.2933231,121.25228108135026
1/1/2040 1:00,3.259296784,189.6227082,136.0563443,188.112651,107.5569925,0.0,,442.2933231,121.25228108135026
1/1/2040 2:00,3.259296784,189.6227082,136.0563443,188.112651,107.5569925,0.0,,442.2933231,121.25228108135026
1/1/2040 3:00,3.259358678,189.6227082,136.0563444,188.112651,107.5569951,0.0,,442.2951876,121.3905407333651
1/1/2040 4:00,3.259358678,189.6227082,136.0563444,188.112651,107.5569951,0.0,,442.2951876,121.3905407333651
1/1/2040 5:00,3.259358678,189.6227082,136.0563444,188.112651,107.5569951,0.0,,442.2951876,121.3905407333651
1/1/2040 6:00,3.259420862,189.6227082,136.0563444,188.112651,107.5569961,0.0,,442.2963493,121.43391976439923
1/1/2040 7:00,3.259420862,189.6227082,136.0563444,188.112651,107.5569961,0.0,,442.2963493,121.43391976439923
1/1/2040 8:00,3.259420862,189.6227082,136.0563444,188.112651,107.5569961,0.0,,442.2963493,121.43391976439923
1/1/2040 9:00,3.25948334,189.6227082,136.0563444,188.112651,107.5569967,0.0,,442.2972733,121.21214277401256
1/1/2040 10:00,3.25948334,189.6227082,136.0563444,188.112651,107.5569967,0.0,,442.2972733,121.21214277401256
1/1/2040 11:00,3.25948334,189.6227082,136.0563444,188.112651,107.5569967,0.0,,442.2972733,121.21214277401256
1/1/2040 12:00,3.259546117,189.6227082,136.0563444,188.112651,107.5569972,0.0,,442.29807,121.19220189743608
1/1/2040 13:00,3.259546117,189.6227082,136.0563444,188.112651,107.5569972,0.0,,442.29807,121.19220189743608
1/1/2040 14:00,3.259546117,189.6227082,136.0563444,188.112651,107.5569972,0.0,,442.29807,121.19220189743608
1/1/2040 15:00,3.259609197,189.6227082,136.0563444,188.112651,107.5569976,0.0,,442.2987844,121.2257668524888
1/1/2040 16:00,3.259609197,189.6227082,136.0563444,188.112651,107.5569976,0.0,,442.2987844,121.2257668524888
1/1/2040 17:00,3.259609197,189.6227082,136.0563444,188.112651,107.5569976,0.0,,442.2987844,121.2257668524888
1/1/2040 18:00,3.259672582,189.6227082,136.0563444,188.112651,107.5569979,0.0,,442.2994395,121.0910468293849
1/1/2040 19:00,3.259672582,189.6227082,136.0563444,188.112651,107.5569979,0.0,,442.2994395,121.0910468293849
1/1/2040 20:00,3.259672582,189.6227082,136.0563444,188.112651,107.5569979,0.0,,442.2994395,121.0910468293849
1/1/2040 21:00,3.259736279,189.6227082,136.0563443,188.112651,107.5569982,0.0,,442.3000486,121.05572023890052
1/1/2040 22:00,3.259736279,189.6227082,136.0563443,188.112651,107.5569982,0.0,,442.3000486,121.05572023890052
1/1/2040 23:00,3.259736279,189.6227082,136.0563443,188.112651,107.5569982,0.0,,442.3000486,121.05572023890052
1/2/2040 0:00,3.259800292,189.6227082,136.0563443,188.112651,107.5569984,0.0,,442.3006205,121.04482742380024
1/2/2040 1:00,3.259800292,189.6227082,136.0563443,188.112651,107.5569984,0.0,,442.3006205,121.04482742380024
1/2/2040 2:00,3.259800292,189.6227082,136.0563443,188.112651,107.5569984,0.0,,442.3006205,121.04482742380024
1/2/2040 3:00,3.259864624,189.6227082,136.0563444,188.112651,107.5569987,0.0,,442.170637,121.09146118013066
1/2/2040 4:00,3.259864624,189.6227082,136.0563444,188.112651,107.5569987,0.0,,442.170637,121.09146118013066
1/2/2040 5:00,3.259864624,189.6227082,136.0563444,188.112651,107.5569987,0.0,,442.170637,121.09146118013066
1/2/2040 6:00,3.259929278,189.6227082,136.0563444,188.112651,107.5569989,0.0,,442.1711742,121.19284025496373
1/2/2040 7:00,3.259929278,189.6227082,136.0563444,188.112651,107.5569989,0.0,,442.1711742,121.19284025496373
1/2/2040 8:00,3.259929278,189.6227082,136.0563444,188.112651,107.5569989,0.0,,442.1711742,121.19284025496373
1/2/2040 9:00,3.259994254,189.6227082,136.0563444,188.112651,107.556999,0.0,,442.1717075,121.18110423982574
1/2/2040 10:00,3.259994254,189.6227082,136.0563444,188.112651,107.556999,0.0,,442.1717075,121.18110423982574
1/2/2040 11:00,3.259994254,189.6227082,136.0563444,188.112651,107.556999,0.0,,442.1717075,121.18110423982574
1/2/2040 12:00,3.260059559,189.6227082,136.0563444,188.112651,107.5569992,0.0,,442.1722379,121.24014784698235
1/2/2040 13:00,3.260059559,189.6227082,136.0563444,188.112651,107.5569992,0.0,,442.1722379,121.24014784698235
1/2/2040 14:00,3.260059559,189.6227082,136.0563444,188.112651,107.5569992,0.0,,442.1722379,121.24014784698235
1/2/2040 15:00,3.260125196,189.6227082,136.0563444,188.112651,107.5569993,0.0,,442.1727671,122.00006916342208
1/2/2040 16:00,3.260125196,189.6227082,136.0563444,188.112651,107.5569993,0.0,,442.1727671,122.00006916342208
1/2/2040 17:00,3.260125196,189.6227082,136.0563444,188.112651,107.5569993,0.0,,442.1727671,122.00006916342208
1/2/2040 18:00,3.260191161,189.6227082,136.0563444,188.112651,107.5569994,0.0,,442.1732895,121.72333830054654
1/2/2040 19:00,3.260191161,189.6227082,136.0563444,188.112651,107.5569994,0.0,,442.1732895,121.72333830054654
1/2/2040 20:00,3.260191161,189.6227082,136.0563444,188.112651,107.5569994,0.0,,442.1732895,121.72333830054654
1/2/2040 21:00,3.260257462,189.6227082,136.0563444,188.112651,107.5569996,0.0,,442.1738088,121.47186331055558
1/2/2040 22:00,3.260257462,189.6227082,136.0563444,188.112651,107.5569996,0.0,,442.1738088,121.47186331055558
1/2/2040 23:00,3.260257462,189.6227082,136.0563444,188.112651,107.5569996,0.0,,442.1738088,121.47186331055558
1/3/2040 0:00,3.260324102,189.6227082,136.0563444,188.112651,107.5569997,0.0,,442.1743256,121.46211680328685
1/3/2040 1:00,3.260324102,189.6227082,136.0563444,188.112651,107.5569997,0.0,,442.1743256,121.46211680328685
1/3/2040 2:00,3.260324102,189.6227082,136.0563444,188.112651,107.5569997,0.0,,442.1743256,121.46211680328685
1/3/2040 3:00,3.260391084,189.6227082,136.0563444,188.112651,107.5569998,0.0,,442.1748407,121.77207766169016
1/3/2040 4:00,3.260391084,189.6227082,136.0563444,188.112651,107.5569998,0.0,,442.1748407,121.77207766169016
