name,technology,bidding_EOM,bidding_redispatch,bidding_CRM_pos,bidding_CRM_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion0,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,4.524973,4.524973,0.95,0.95,1,8.31122,0.28,0.28,0,battery_operator_0,DE1-220
battery_li_ion1,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,5.633533,5.633533,0.95,0.95,1,9.449594,0.28,0.28,0,battery_operator_1,DE10-380
battery_li_ion2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,4.04281,4.04281,0.95,0.95,1,7.41708,0.28,0.28,0,battery_operator_2,DE100-220
battery_li_ion3,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,8.752931,8.752931,0.95,0.95,1,17.948075,0.28,0.28,0,battery_operator_3,DE102-220
battery_li_ion4,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,40.450409,40.450409,0.95,0.95,1,99.579944,0.28,0.28,0,battery_operator_4,DE103-380
battery_li_ion5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,8.964219,8.964219,0.95,0.95,1,17.214006,0.28,0.28,0,battery_operator_5,DE104-380
battery_li_ion6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,24.613208,24.613208,0.95,0.95,1,32.91729,0.28,0.28,0,battery_operator_6,DE108-220
battery_li_ion7,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.0768,3.0768,0.95,0.95,1,5.22635,0.28,0.28,0,battery_operator_7,DE109-220
battery_li_ion8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.465421,3.465421,0.95,0.95,1,6.163329,0.28,0.28,0,battery_operator_8,DE112-380
battery_li_ion9,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,9.024072,9.024072,0.95,0.95,1,13.53088,0.28,0.28,0,battery_operator_9,DE113-220
battery_li_ion10,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,6.617757,6.617757,0.95,0.95,1,10.080184,0.28,0.28,0,battery_operator_10,DE114-380
battery_li_ion11,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,16.470119,16.470119,0.95,0.95,1,31.342523,0.28,0.28,0,battery_operator_11,DE117-380
battery_li_ion12,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,4.348273,4.348273,0.95,0.95,1,8.207897,0.28,0.28,0,battery_operator_12,DE118-220
battery_li_ion13,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,23.101318,23.101318,0.95,0.95,1,29.752694,0.28,0.28,0,battery_operator_13,DE12-380
battery_li_ion14,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.451816,3.451816,0.95,0.95,1,6.293754,0.28,0.28,0,battery_operator_14,DE121-380
battery_li_ion15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,10.799342,10.799342,0.95,0.95,1,18.415837,0.28,0.28,0,battery_operator_15,DE122-220
battery_li_ion16,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,2.787859,2.787859,0.95,0.95,1,5.656665,0.28,0.28,0,battery_operator_16,DE124-380
battery_li_ion17,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,5.898285,5.898285,0.95,0.95,1,11.169689,0.28,0.28,0,battery_operator_17,DE125-380
battery_li_ion18,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.453222,3.453222,0.95,0.95,1,5.516675,0.28,0.28,0,battery_operator_18,DE129-220
battery_li_ion19,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,18.560962,18.560962,0.95,0.95,1,35.374035,0.28,0.28,0,battery_operator_19,DE13-380
battery_li_ion20,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,4.490295,4.490295,0.95,0.95,1,7.05787,0.28,0.28,0,battery_operator_20,DE131-220
battery_li_ion21,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,27.111455,27.111455,0.95,0.95,1,52.129792,0.28,0.28,0,battery_operator_21,DE133-380
battery_li_ion22,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,6.549268,6.549268,0.95,0.95,1,12.351247,0.28,0.28,0,battery_operator_22,DE134-380
battery_li_ion23,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,6.578318,6.578318,0.95,0.95,1,11.426424,0.28,0.28,0,battery_operator_23,DE135-220
battery_li_ion24,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,25.43031,25.43031,0.95,0.95,1,54.715719,0.28,0.28,0,battery_operator_24,DE136-380
battery_li_ion25,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,2.628295,2.628295,0.95,0.95,1,5.399059,0.28,0.28,0,battery_operator_25,DE138-220
battery_li_ion26,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,7.956786,7.956786,0.95,0.95,1,12.662998,0.28,0.28,0,battery_operator_26,DE14-380
battery_li_ion27,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,11.841,11.841,0.95,0.95,1,21.065777,0.28,0.28,0,battery_operator_27,DE141-380
battery_li_ion28,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,15.540772,15.540772,0.95,0.95,1,27.898264,0.28,0.28,0,battery_operator_28,DE142-380
battery_li_ion29,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,6.216615,6.216615,0.95,0.95,1,10.594843,0.28,0.28,0,battery_operator_29,DE144-380
battery_li_ion30,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,2.548302,2.548302,0.95,0.95,1,5.167406,0.28,0.28,0,battery_operator_30,DE145-220
battery_li_ion31,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,9.27043,9.27043,0.95,0.95,1,16.129641,0.28,0.28,0,battery_operator_31,DE146-380
battery_li_ion32,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,6.16492,6.16492,0.95,0.95,1,7.888084,0.28,0.28,0,battery_operator_32,DE148-220
battery_li_ion33,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,5.510819,5.510819,0.95,0.95,1,9.501542,0.28,0.28,0,battery_operator_33,DE149-380
battery_li_ion34,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,14.571968,14.571968,0.95,0.95,1,25.887759,0.28,0.28,0,battery_operator_34,DE15-220
battery_li_ion35,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,7.857805,7.857805,0.95,0.95,1,12.207796,0.28,0.28,0,battery_operator_35,DE150-380
battery_li_ion36,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.97085,3.97085,0.95,0.95,1,7.334771,0.28,0.28,0,battery_operator_36,DE151-220
battery_li_ion37,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,7.50393,7.50393,0.95,0.95,1,18.197962,0.28,0.28,0,battery_operator_37,DE152-380
battery_li_ion38,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,14.117213,14.117213,0.95,0.95,1,16.902646,0.28,0.28,0,battery_operator_38,DE153-380
battery_li_ion39,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,14.553843,14.553843,0.95,0.95,1,22.920672,0.28,0.28,0,battery_operator_39,DE154-380
battery_li_ion40,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,18.375351,18.375351,0.95,0.95,1,27.625231,0.28,0.28,0,battery_operator_40,DE155-380
battery_li_ion41,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,44.221773,44.221773,0.95,0.95,1,75.323887,0.28,0.28,0,battery_operator_41,DE156-380
battery_li_ion42,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,20.117283,20.117283,0.95,0.95,1,38.378418,0.28,0.28,0,battery_operator_42,DE158-380
battery_li_ion43,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,25.379568,25.379568,0.95,0.95,1,38.266434,0.28,0.28,0,battery_operator_43,DE159-380
battery_li_ion44,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,flexable_pos_crm_storage,flexable_neg_crm_storage,3.671968,3.671968,0.95,0.95,1,5.48228,0.28,0.28,0,battery_operator_44,DE160-220
