datetime,hard coal,natural gas,oil,biomass,renewable,waste,co2,hydrogen,naphtha for industry,solid biomass for industry,natural gas for industry,hard coal for industry
12/31/2044 0:00,6.356762206630591,26.792523997139263,139.3202535,82.25872904,0.0,0.0,366.16140103884646,101.43396392493877,78.93892136001462,57.43101843611559,99.30934219,129.4460654
12/31/2044 1:00,6.356762206630591,26.792523997139263,139.3202535,82.25872904,0.0,0.0,366.16140103884646,101.43396392493877,78.93892136001462,57.43101843611559,99.30934219,129.4460654
12/31/2044 2:00,6.356762206630591,26.792523997139263,139.3202535,82.25872904,0.0,0.0,366.16140103884646,101.43396392493877,78.93892136001462,57.43101843611559,99.30934219,129.4460654
12/31/2044 3:00,6.356762206630591,26.79252401757937,139.3202535,82.25873004,0.0,0.0,366.16140103884646,101.39914987736444,76.48805965881111,57.4317543923793,99.30934221,129.4460654
12/31/2044 4:00,6.356762206630591,26.79252401757937,139.3202535,82.25873004,0.0,0.0,366.16140103884646,101.39914987736444,76.48805965881111,57.4317543923793,99.30934221,129.4460654
12/31/2044 5:00,6.356762206630591,26.79252401757937,139.3202535,82.25873004,0.0,0.0,366.16140103884646,101.39914987736444,76.48805965881111,57.4317543923793,99.30934221,129.4460654
12/31/2044 6:00,6.356762206630592,26.79252401715044,139.3202535,82.25873046,0.0,0.0,366.16140103884646,101.67129559986816,76.80746975096454,57.426916386558446,99.30934221,129.4460654
12/31/2044 7:00,6.356762206630592,26.79252401715044,139.3202535,82.25873046,0.0,0.0,366.16140103884646,101.67129559986816,76.80746975096454,57.426916386558446,99.30934221,129.4460654
12/31/2044 8:00,6.356762206630592,26.79252401715044,139.3202535,82.25873046,0.0,0.0,366.16140103884646,101.67129559986816,76.80746975096454,57.426916386558446,99.30934221,129.4460654
12/31/2044 9:00,6.356762206630594,26.79252401173486,139.3202535,82.25873073,0.0,0.0,366.16140103884646,101.14259086089903,80.11735066135263,57.424889668307166,99.30934221,129.4460654
12/31/2044 10:00,6.356762206630594,26.79252401173486,139.3202535,82.25873073,0.0,0.0,366.16140103884646,101.14259086089903,80.11735066135263,57.424889668307166,99.30934221,129.4460654
12/31/2044 11:00,6.356762206630594,26.79252401173486,139.3202535,82.25873073,0.0,0.0,366.16140103884646,101.14259086089903,80.11735066135263,57.424889668307166,99.30934221,129.4460654
12/31/2044 12:00,6.356762206630595,26.792524010526733,139.3202535,82.25873093,0.0,0.0,366.16140103884646,101.35029776736306,80.13146943688187,57.42383667942222,99.30934221,129.4460654
12/31/2044 13:00,6.356762206630595,26.792524010526733,139.3202535,82.25873093,0.0,0.0,366.16140103884646,101.35029776736306,80.13146943688187,57.42383667942222,99.30934221,129.4460654
12/31/2044 14:00,6.356762206630595,26.792524010526733,139.3202535,82.25873093,0.0,0.0,366.16140103884646,101.35029776736306,80.13146943688187,57.42383667942222,99.30934221,129.4460654
12/31/2044 15:00,6.356762206630595,26.79252401323696,139.3202535,82.25873109,0.0,0.0,366.16140103884646,101.38213039533268,80.02925215030608,57.423399259914746,99.30934221,129.4460654
12/31/2044 16:00,6.356762206630595,26.79252401323696,139.3202535,82.25873109,0.0,0.0,366.16140103884646,101.38213039533268,80.02925215030608,57.423399259914746,99.30934221,129.4460654
12/31/2044 17:00,6.356762206630595,26.79252401323696,139.3202535,82.25873109,0.0,0.0,366.16140103884646,101.38213039533268,80.02925215030608,57.423399259914746,99.30934221,129.4460654
12/31/2044 18:00,6.356762206630598,26.792524013160264,139.3202535,82.25873122,0.0,0.0,366.16140103884646,101.09246979619108,80.02467166022731,57.42287134322438,99.30934221,129.4460654
12/31/2044 19:00,6.356762206630598,26.792524013160264,139.3202535,82.25873122,0.0,0.0,366.16140103884646,101.09246979619108,80.02467166022731,57.42287134322438,99.30934221,129.4460654
12/31/2044 20:00,6.356762206630598,26.792524013160264,139.3202535,82.25873122,0.0,0.0,366.16140103884646,101.09246979619108,80.02467166022731,57.42287134322438,99.30934221,129.4460654
12/31/2044 21:00,6.356762206630599,26.792523997276348,139.3202535,82.25873133,0.0,0.0,366.16140103884646,101.06275724555694,81.12103824177817,57.42134589699147,99.30934219,129.4460654
12/31/2044 22:00,6.356762206630599,26.792523997276348,139.3202535,82.25873133,0.0,0.0,366.16140103884646,101.06275724555694,81.12103824177817,57.42134589699147,99.30934219,129.4460654
