,charging_station_1,charging_station_2
timestep_219,0.0,0.0
timestep_220,0.0,0.0
timestep_221,0.0,0.0
timestep_222,0.03,0.03
timestep_223,0.03,0.03
timestep_224,0.0,0.0
timestep_225,0.0,0.0
timestep_226,0.0,0.0
timestep_227,0.0,0.0
timestep_228,0.0,0.0
timestep_229,0.0,0.0
timestep_230,0.0,0.0
timestep_231,0.0,0.0
timestep_232,0.0,0.0
timestep_233,0.0,0.0
timestep_234,0.0,0.0
timestep_235,0.0,0.0
timestep_236,0.0,0.0
timestep_237,0.0,0.0
timestep_238,0.0,0.0
timestep_239,0.0,0.0
timestep_240,0.0,0.0
timestep_241,0.0,0.0
timestep_242,0.0,0.0
timestep_243,0.0,0.0
timestep_244,0.0,0.0
timestep_245,0.0,0.0
timestep_246,0.0,0.0
timestep_247,0.0,0.0
timestep_248,0.0,0.0
timestep_249,0.0,0.0
timestep_250,0.0,0.0
timestep_251,0.0,0.0
timestep_252,0.0,0.0
timestep_253,0.0,0.0
timestep_254,0.0,0.0
timestep_255,0.0,0.0
timestep_256,0.0,0.0
timestep_257,0.0,0.0
timestep_258,0.0,0.0
timestep_259,0.0,0.0
timestep_260,0.0,0.0
timestep_261,0.0,0.0
timestep_262,0.0,0.0
timestep_263,0.0,0.0
timestep_264,0.0,0.0
timestep_265,0.0,0.0
timestep_266,0.0,0.0
timestep_267,0.0,0.0
timestep_268,0.0,0.0
timestep_269,0.0,0.0
timestep_270,0.026799999999998325,0.026799999999998325
timestep_271,0.0,0.0
timestep_272,0.0,0.0
timestep_273,0.0,0.0
timestep_274,0.0,0.0
timestep_275,0.0,0.0
timestep_276,0.0,0.0
timestep_277,0.0,0.0
timestep_278,0.0,0.0
timestep_279,0.0,0.0
timestep_280,0.0,0.0
timestep_281,0.0,0.0
timestep_282,0.0,0.005360000000001697
timestep_283,0.0,0.0
timestep_284,0.0,0.0
timestep_285,0.0,0.0
timestep_286,0.0,0.0
timestep_287,0.0,0.0
timestep_288,0.0,0.0
timestep_289,0.0,0.0
timestep_290,0.0,0.0
timestep_291,0.0,0.0
timestep_292,0.0,0.0
timestep_293,0.0,0.0
timestep_294,0.0,0.0
timestep_295,0.0,0.0
timestep_296,0.0,0.0
timestep_297,0.0,0.0
timestep_298,0.0,0.0
timestep_299,0.0,0.0
timestep_300,0.0,0.03
timestep_301,0.0,0.0
timestep_302,0.0,0.03
timestep_303,0.0017866666666672276,0.0
timestep_304,0.031786666666667227,0.0
timestep_305,0.06178666666666723,0.03
timestep_306,0.06,0.06
timestep_307,0.03,0.03
timestep_308,0.0,0.0
timestep_309,0.0,0.0
timestep_310,0.0,0.0
timestep_311,0.0,0.0
timestep_312,0.0,0.0
timestep_313,0.0,0.0
timestep_314,0.0,0.0
