variable,ident,value,simulation
sum_profit,future_markets_paper_base_case_2013_pp_all,9.0287e+08,future_markets_paper_base_case_2013_pp_all_episode_9
avg_price,future_markets_paper_base_case_2013_pp_all,194.38,future_markets_paper_base_case_2013_pp_all_episode_9
min_price,future_markets_paper_base_case_2013_pp_all,0.17038,future_markets_paper_base_case_2013_pp_all_episode_9
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_9
sum_reward,future_markets_paper_base_case_2013_pp_all,2253.3,future_markets_paper_base_case_2013_pp_all_episode_10
sum_regret,future_markets_paper_base_case_2013_pp_all,7.971e+06,future_markets_paper_base_case_2013_pp_all_episode_10
sum_profit,future_markets_paper_base_case_2013_pp_all,8.8961e+08,future_markets_paper_base_case_2013_pp_all_episode_10
avg_price,future_markets_paper_base_case_2013_pp_all,197.5,future_markets_paper_base_case_2013_pp_all_episode_10
min_price,future_markets_paper_base_case_2013_pp_all,0.084317,future_markets_paper_base_case_2013_pp_all_episode_10
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_10
sum_reward,future_markets_paper_base_case_2013_pp_all,1867.4,future_markets_paper_base_case_2013_pp_all_episode_11
sum_regret,future_markets_paper_base_case_2013_pp_all,3.7696e+06,future_markets_paper_base_case_2013_pp_all_episode_11
sum_profit,future_markets_paper_base_case_2013_pp_all,2.5444e+07,future_markets_paper_base_case_2013_pp_all_episode_11
avg_price,future_markets_paper_base_case_2013_pp_all,166.45,future_markets_paper_base_case_2013_pp_all_episode_11
min_price,future_markets_paper_base_case_2013_pp_all,-412.58,future_markets_paper_base_case_2013_pp_all_episode_11
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_11
sum_reward,future_markets_paper_base_case_2013_pp_all,1022.8,future_markets_paper_base_case_2013_pp_all_episode_12
sum_regret,future_markets_paper_base_case_2013_pp_all,23177,future_markets_paper_base_case_2013_pp_all_episode_12
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.2811e+09,future_markets_paper_base_case_2013_pp_all_episode_12
avg_price,future_markets_paper_base_case_2013_pp_all,83.052,future_markets_paper_base_case_2013_pp_all_episode_12
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_12
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_12
sum_reward,future_markets_paper_base_case_2013_pp_all,983.5,future_markets_paper_base_case_2013_pp_all_episode_13
sum_regret,future_markets_paper_base_case_2013_pp_all,0,future_markets_paper_base_case_2013_pp_all_episode_13
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.3356e+09,future_markets_paper_base_case_2013_pp_all_episode_13
avg_price,future_markets_paper_base_case_2013_pp_all,78.343,future_markets_paper_base_case_2013_pp_all_episode_13
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_13
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_13
sum_reward,future_markets_paper_base_case_2013_pp_all,937.07,future_markets_paper_base_case_2013_pp_all_episode_14
sum_regret,future_markets_paper_base_case_2013_pp_all,14223,future_markets_paper_base_case_2013_pp_all_episode_14
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.3927e+09,future_markets_paper_base_case_2013_pp_all_episode_14
avg_price,future_markets_paper_base_case_2013_pp_all,75.739,future_markets_paper_base_case_2013_pp_all_episode_14
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_14
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_14
sum_reward,future_markets_paper_base_case_2013_pp_all,964.81,future_markets_paper_base_case_2013_pp_all_episode_15
sum_regret,future_markets_paper_base_case_2013_pp_all,0,future_markets_paper_base_case_2013_pp_all_episode_15
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.3657e+09,future_markets_paper_base_case_2013_pp_all_episode_15
avg_price,future_markets_paper_base_case_2013_pp_all,77.005,future_markets_paper_base_case_2013_pp_all_episode_15
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_15
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_15
sum_reward,future_markets_paper_base_case_2013_pp_all,931.36,future_markets_paper_base_case_2013_pp_all_episode_16
sum_regret,future_markets_paper_base_case_2013_pp_all,32620,future_markets_paper_base_case_2013_pp_all_episode_16
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.43e+09,future_markets_paper_base_case_2013_pp_all_episode_16
avg_price,future_markets_paper_base_case_2013_pp_all,74.372,future_markets_paper_base_case_2013_pp_all_episode_16
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_16
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_16
sum_reward,future_markets_paper_base_case_2013_pp_all,982.83,future_markets_paper_base_case_2013_pp_all_episode_17
sum_regret,future_markets_paper_base_case_2013_pp_all,0,future_markets_paper_base_case_2013_pp_all_episode_17
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.3155e+09,future_markets_paper_base_case_2013_pp_all_episode_17
avg_price,future_markets_paper_base_case_2013_pp_all,79.007,future_markets_paper_base_case_2013_pp_all_episode_17
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_17
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_17
sum_reward,future_markets_paper_base_case_2013_pp_all,1108.6,future_markets_paper_base_case_2013_pp_all_episode_18
sum_regret,future_markets_paper_base_case_2013_pp_all,0,future_markets_paper_base_case_2013_pp_all_episode_18
sum_profit,future_markets_paper_base_case_2013_pp_all,-1.0707e+09,future_markets_paper_base_case_2013_pp_all_episode_18
avg_price,future_markets_paper_base_case_2013_pp_all,89.229,future_markets_paper_base_case_2013_pp_all_episode_18
min_price,future_markets_paper_base_case_2013_pp_all,-500,future_markets_paper_base_case_2013_pp_all_episode_18
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_18
sum_reward,future_markets_paper_base_case_2013_pp_all,2070.5,future_markets_paper_base_case_2013_pp_all_episode_19
sum_regret,future_markets_paper_base_case_2013_pp_all,1.6912e+06,future_markets_paper_base_case_2013_pp_all_episode_19
sum_profit,future_markets_paper_base_case_2013_pp_all,9.0908e+08,future_markets_paper_base_case_2013_pp_all_episode_19
avg_price,future_markets_paper_base_case_2013_pp_all,176.2,future_markets_paper_base_case_2013_pp_all_episode_19
min_price,future_markets_paper_base_case_2013_pp_all,-18.256,future_markets_paper_base_case_2013_pp_all_episode_19
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_19
sum_reward,future_markets_paper_base_case_2013_pp_all,2019.4,future_markets_paper_base_case_2013_pp_all_episode_20
sum_regret,future_markets_paper_base_case_2013_pp_all,3.8394e+06,future_markets_paper_base_case_2013_pp_all_episode_20
sum_profit,future_markets_paper_base_case_2013_pp_all,7.8868e+08,future_markets_paper_base_case_2013_pp_all_episode_20
avg_price,future_markets_paper_base_case_2013_pp_all,185.52,future_markets_paper_base_case_2013_pp_all_episode_20
min_price,future_markets_paper_base_case_2013_pp_all,-232.59,future_markets_paper_base_case_2013_pp_all_episode_20
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_20
sum_reward,future_markets_paper_base_case_2013_pp_all,4212.1,future_markets_paper_base_case_2013_pp_all_eval_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all,8.5716e+06,future_markets_paper_base_case_2013_pp_all_eval_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all,1.6344e+09,future_markets_paper_base_case_2013_pp_all_eval_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all,192.2,future_markets_paper_base_case_2013_pp_all_eval_episode_1
min_price,future_markets_paper_base_case_2013_pp_all,-472.76,future_markets_paper_base_case_2013_pp_all_eval_episode_1
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_eval_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all,2115.6,future_markets_paper_base_case_2013_pp_all_episode_21
sum_regret,future_markets_paper_base_case_2013_pp_all,1.0469e+07,future_markets_paper_base_case_2013_pp_all_episode_21
sum_profit,future_markets_paper_base_case_2013_pp_all,7.9032e+08,future_markets_paper_base_case_2013_pp_all_episode_21
avg_price,future_markets_paper_base_case_2013_pp_all,198.99,future_markets_paper_base_case_2013_pp_all_episode_21
min_price,future_markets_paper_base_case_2013_pp_all,-250.52,future_markets_paper_base_case_2013_pp_all_episode_21
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_21
sum_reward,future_markets_paper_base_case_2013_pp_all,2031.2,future_markets_paper_base_case_2013_pp_all_episode_22
sum_regret,future_markets_paper_base_case_2013_pp_all,1.9434e+07,future_markets_paper_base_case_2013_pp_all_episode_22
sum_profit,future_markets_paper_base_case_2013_pp_all,7.7863e+08,future_markets_paper_base_case_2013_pp_all_episode_22
avg_price,future_markets_paper_base_case_2013_pp_all,195.52,future_markets_paper_base_case_2013_pp_all_episode_22
min_price,future_markets_paper_base_case_2013_pp_all,-188.73,future_markets_paper_base_case_2013_pp_all_episode_22
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_22
sum_reward,future_markets_paper_base_case_2013_pp_all,2103.9,future_markets_paper_base_case_2013_pp_all_episode_23
sum_regret,future_markets_paper_base_case_2013_pp_all,1.3966e+07,future_markets_paper_base_case_2013_pp_all_episode_23
sum_profit,future_markets_paper_base_case_2013_pp_all,7.8186e+08,future_markets_paper_base_case_2013_pp_all_episode_23
avg_price,future_markets_paper_base_case_2013_pp_all,200.08,future_markets_paper_base_case_2013_pp_all_episode_23
min_price,future_markets_paper_base_case_2013_pp_all,-300.95,future_markets_paper_base_case_2013_pp_all_episode_23
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_23
sum_reward,future_markets_paper_base_case_2013_pp_all,2054.8,future_markets_paper_base_case_2013_pp_all_episode_24
sum_regret,future_markets_paper_base_case_2013_pp_all,4.8954e+06,future_markets_paper_base_case_2013_pp_all_episode_24
sum_profit,future_markets_paper_base_case_2013_pp_all,8.1272e+08,future_markets_paper_base_case_2013_pp_all_episode_24
avg_price,future_markets_paper_base_case_2013_pp_all,186.4,future_markets_paper_base_case_2013_pp_all_episode_24
min_price,future_markets_paper_base_case_2013_pp_all,-112.7,future_markets_paper_base_case_2013_pp_all_episode_24
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_24
sum_reward,future_markets_paper_base_case_2013_pp_all,2052.3,future_markets_paper_base_case_2013_pp_all_episode_25
sum_regret,future_markets_paper_base_case_2013_pp_all,37095,future_markets_paper_base_case_2013_pp_all_episode_25
sum_profit,future_markets_paper_base_case_2013_pp_all,8.3754e+08,future_markets_paper_base_case_2013_pp_all_episode_25
avg_price,future_markets_paper_base_case_2013_pp_all,182.3,future_markets_paper_base_case_2013_pp_all_episode_25
min_price,future_markets_paper_base_case_2013_pp_all,0.39911,future_markets_paper_base_case_2013_pp_all_episode_25
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_25
sum_reward,future_markets_paper_base_case_2013_pp_all,2051.9,future_markets_paper_base_case_2013_pp_all_episode_26
sum_regret,future_markets_paper_base_case_2013_pp_all,1.1376e+06,future_markets_paper_base_case_2013_pp_all_episode_26
sum_profit,future_markets_paper_base_case_2013_pp_all,8.6005e+08,future_markets_paper_base_case_2013_pp_all_episode_26
avg_price,future_markets_paper_base_case_2013_pp_all,179.03,future_markets_paper_base_case_2013_pp_all_episode_26
min_price,future_markets_paper_base_case_2013_pp_all,0.56929,future_markets_paper_base_case_2013_pp_all_episode_26
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_26
sum_reward,future_markets_paper_base_case_2013_pp_all,2044.2,future_markets_paper_base_case_2013_pp_all_episode_27
sum_regret,future_markets_paper_base_case_2013_pp_all,4.8738e+05,future_markets_paper_base_case_2013_pp_all_episode_27
sum_profit,future_markets_paper_base_case_2013_pp_all,8.6228e+08,future_markets_paper_base_case_2013_pp_all_episode_27
avg_price,future_markets_paper_base_case_2013_pp_all,176.06,future_markets_paper_base_case_2013_pp_all_episode_27
min_price,future_markets_paper_base_case_2013_pp_all,0.19592,future_markets_paper_base_case_2013_pp_all_episode_27
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_27
sum_reward,future_markets_paper_base_case_2013_pp_all,2014.2,future_markets_paper_base_case_2013_pp_all_episode_28
sum_regret,future_markets_paper_base_case_2013_pp_all,1.0214e+06,future_markets_paper_base_case_2013_pp_all_episode_28
sum_profit,future_markets_paper_base_case_2013_pp_all,8.3089e+08,future_markets_paper_base_case_2013_pp_all_episode_28
