,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487,0.70487
13,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671,0.68671
14,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586,0.67586
15,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636,0.66636
16,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262,0.67262
17,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879,0.6879
18,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489,0.67489
19,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254,0.63254
20,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784,0.59784
21,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036,0.57036
