timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
57,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0998,49.9,0.0048,0,0.0,0.0,0.12659999999999996,63.299999999999976,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09524,47.620000000000005,0.00456,0,0.0,0.0,0.12203999999999997,61.01999999999998,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09116,45.58,0.004079999999999999,0,0.0,0.0,0.11795999999999997,58.979999999999976,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08744,43.72,0.0037199999999999998,0,0.0,0.0,0.11423999999999997,57.11999999999998,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08252000000000001,41.260000000000005,0.004919999999999999,0,0.0,0.0,0.10931999999999997,54.65999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07760000000000002,38.800000000000004,0.004919999999999999,0,0.0,0.0,0.10439999999999998,52.19999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07268000000000002,36.34000000000001,0.004919999999999999,0,0.0,0.0,0.09947999999999999,49.73999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06800000000000002,34.00000000000001,0.004679999999999999,0,0.0,0.0,0.09479999999999998,47.399999999999984,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392000000000002,31.960000000000004,0.004079999999999999,0,0.0,0.0,0.09071999999999998,45.35999999999999,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392000000000002,31.960000000000004,0.0,1,0.0,0.0,0.09071999999999998,45.35999999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392000000000002,31.960000000000004,0.0,1,0.0,0.0,0.09071999999999998,45.35999999999999,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05924000000000002,29.620000000000008,0.004679999999999999,0,0.0,0.0,0.08603999999999998,43.01999999999999,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05444000000000002,27.22000000000001,0.0048,0,0.0,0.0,0.08123999999999998,40.61999999999999,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988000000000002,24.94000000000001,0.00456,0,0.0,0.0,0.07667999999999998,38.33999999999999,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04580000000000002,22.90000000000001,0.004079999999999999,0,0.0,0.0,0.07259999999999998,36.29999999999999,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04208000000000002,21.04000000000001,0.0037199999999999998,0,0.0,0.0,0.06887999999999998,34.43999999999999,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03716000000000002,18.58000000000001,0.004919999999999999,0,0.0,0.0,0.06395999999999999,31.979999999999993,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03224000000000002,16.120000000000008,0.004919999999999999,0,0.0,0.0,0.059039999999999995,29.519999999999996,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027320000000000018,13.660000000000009,0.004919999999999999,0,0.0,0.0,0.054119999999999994,27.059999999999995,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022640000000000018,11.320000000000007,0.004679999999999999,0,0.0,0.0,0.04944,24.72,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018560000000000017,9.280000000000008,0.004079999999999999,0,0.0,0.0,0.04536,22.679999999999996,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02679999999999998,0.0,-0.02679999999999998,0.02679999999999998,0.0,0.0,0.0,0.02679999999999998,0.0,0.02679999999999998,0.0,0.04536,22.679999999999996,0.0,1,0.0,0.0,0.04536,22.679999999999996,0.0,1,0.02679999999999998,0.0,0.02679999999999998,112.12851999999991,0.0,-112.12851999999991,0.0,100.0,0.0
79,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04536,22.679999999999996,0.0,1,0.0,0.0,0.04536,22.679999999999996,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04068,20.34,0.004679999999999999,0,0.0,0.0,0.04068,20.34,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03588,17.94,0.0048,0,0.0,0.0,0.03588,17.94,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03132,15.659999999999998,0.00456,0,0.0,0.0,0.03132,15.659999999999998,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02724,13.62,0.004079999999999999,0,0.0,0.0,0.02724,13.62,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02352,11.76,0.0037199999999999998,0,0.0,0.0,0.02352,11.76,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,9.299999999999999,0.004919999999999999,0,0.0,0.0,0.0186,9.299999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013679999999999998,6.839999999999999,0.004919999999999999,0,0.0,0.0,0.013679999999999998,6.839999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008759999999999999,4.379999999999999,0.004919999999999999,0,0.0,0.0,0.008759999999999999,4.379999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004079999999999999,2.0399999999999996,0.004679999999999999,0,0.0,0.0,0.004079999999999999,2.0399999999999996,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.03,15.0,0.0,1,0.03,0.0,0.03,15.0,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
91,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.12,0.06,0.0,0.06,0.0,0.12,0.0,0.06,0.0,0.09,44.99999999999999,0.0,1,0.06,0.0,0.09,44.99999999999999,0.0,1,0.12,0.0,0.12,312.44399999999996,0.0,-312.44399999999996,0.0,100.0,0.0
92,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.12,60.0,0.0,1,0.03,0.0,0.12,60.0,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
93,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,60.0,0.0,1,0.0,0.0,0.12,60.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2603.7,2700.0,0,0,0,0,0.08,0.0722,0.0,0.0,-0.007800000000000001,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.02333333333333333,0.09666666666666668,48.33333333333334,0.0,1,0.0,0.01666666666666667,0.10333333333333333,51.66666666666666,0.0,1,0.0,0.08,-0.08,0.0,108.0,108.0,0.0,0.0,0.0
95,2603.7,2700.0,0,0,0,0,0.16000000000000003,0.14440000000000003,0.0,0.0,-0.015600000000000003,0.0,0.0,0.0,0.0,0.08,0.0,0.08000000000000002,0.0,0.16000000000000003,0.0,0.03333333333333334,0.06333333333333334,31.666666666666664,0.0,1,0.0,0.04666666666666667,0.05666666666666666,28.33333333333333,0.0,1,0.0,0.16000000000000003,-0.16000000000000003,0.0,216.0,216.0,0.0,0.0,0.0
96,2603.7,2700.0,0,0,0,0,0.24,0.2166,0.0,0.0,-0.023400000000000004,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.24,0.0,0.06333333333333334,0.0,0.0,0.0,1,0.0,0.05666666666666666,0.0,0.0,0.0,1,0.0,0.24,-0.24,0.0,324.0,324.0,0.0,0.0,0.0
