timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
14,2603.7,2700.0,0,0,0,0,0.16,0.1444,0.0,0.0,-0.015600000000000003,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.16,0.0,0.05000000000000002,0.05000000000000002,25.000000000000007,0.0,1,0.0,0.029999999999999985,0.03000000000000002,15.000000000000007,0.0,1,0.0,0.16,-0.16,0.0,216.0,216.0,0.0,0.0,0.0
15,2603.7,2700.0,0,0,0,0,0.08,0.0722,0.0,0.0,-0.007800000000000001,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.03,0.020000000000000018,10.000000000000009,0.0,1,0.0,0.010000000000000002,0.020000000000000018,10.000000000000009,0.0,1,0.0,0.08,-0.08,0.0,108.0,108.0,0.0,0.0,0.0
16,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.05000000000000002,25.000000000000007,0.0,1,0.03,0.0,0.05000000000000002,25.000000000000007,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
17,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.12,0.06,0.0,0.06,0.0,0.12,0.0,0.06,0.0,0.11000000000000001,55.00000000000001,0.0,1,0.06,0.0,0.11000000000000001,55.00000000000001,0.0,1,0.12,0.0,0.12,312.44399999999996,0.0,-312.44399999999996,0.0,100.0,0.0
18,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.12,0.06,0.0,0.06,0.0,0.12,0.0,0.06,0.0,0.17,85.0,0.0,1,0.06,0.0,0.17,85.0,0.0,1,0.12,0.0,0.12,312.44399999999996,0.0,-312.44399999999996,0.0,100.0,0.0
19,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,-0.06,0.03,0.0,0.03,0.0,0.06,0.0,0.03,0.0,0.2,100.0,0.0,1,0.03,0.0,0.2,100.0,0.0,1,0.06,0.0,0.06,156.22199999999998,0.0,-156.22199999999998,0.0,100.0,0.0
20,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19532000000000002,97.66,0.004679999999999999,0,0.0,0.0,0.19532000000000002,97.66,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19052000000000002,95.26,0.0048,0,0.0,0.0,0.19052000000000002,95.26,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18596000000000001,92.98,0.00456,0,0.0,0.0,0.18596000000000001,92.98,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2603.7,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18188000000000001,90.94,0.004079999999999999,0,0.0,0.0,0.18188000000000001,90.94,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
