variable,ident,value,simulation
total_volume,EOM,4.9452e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.72583,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,66.154,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,3.2715e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.9452e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.72583,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,74.787,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.0293e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.3877e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77268,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,74.787,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,4.0293e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,5.3877e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.77268,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,57.996,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,2.685e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.6296e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.72308,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,60.021,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,2.8496e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.754e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.73332,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,60.021,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,2.8496e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.754e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.73332,example_02a_elasticDemand_EE_Ramp_base_episode_1
avg_price,EOM,57.996,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_cost,EOM,2.685e+08,example_02a_elasticDemand_EE_Ramp_base_episode_1
total_volume,EOM,4.6296e+06,example_02a_elasticDemand_EE_Ramp_base_episode_1
capacity_factor,EOM,0.72308,example_02a_elasticDemand_EE_Ramp_base_episode_1
