variable,ident,value,simulation
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_46,2200.2,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_46,8.5408e+06,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_46,8.8249e+08,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_46,192.46,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
min_price,future_markets_paper_base_case_2013_pp_all_kurz_46,0.13598,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
max_price,future_markets_paper_base_case_2013_pp_all_kurz_46,3000,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_46,2184.7,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_46,9.2985e+06,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_46,8.8019e+08,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_46,191.91,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
min_price,future_markets_paper_base_case_2013_pp_all_kurz_46,0.087736,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
max_price,future_markets_paper_base_case_2013_pp_all_kurz_46,3000,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_2
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_46,2213.1,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_3
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_46,1.0446e+07,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_3
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_46,8.8086e+08,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_3
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_46,194.6,future_markets_paper_base_case_2013_pp_all_kurz_46_episode_3
