Station_ID,Time_Step,Discharge_Power_kW,Max_Power_kW,Utilization_Percentage,Electricity_Price_EUR_per_MWh,Cost_per_Time_Step_EUR,Marginal_Cost_EUR_per_kWh,Assigned_EVs_Count
charging_station_1,71,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,72,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,73,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,74,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,75,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,76,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,77,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,78,0.02679999999999998,0.15,17.866666666666653,4183.9,0.11212851999999991,4.1838999999999995,1
charging_station_1,79,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_1,80,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,81,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,82,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,83,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,84,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,85,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,86,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,87,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_1,88,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_1,89,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_1,90,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_1,91,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_1,92,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_1,93,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_1,94,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_1,95,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_1,96,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,0,0.09000000000000005,0.15,60.00000000000004,2603.7,0.2343330000000001,2.6037,1
charging_station_2,1,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_2,2,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,3,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,4,0.0,0.15,0.0,2603.7,0.0,2.6037,1
