EV_ID,Time_Step,Availability,Status,Assigned_Station,Charge_Power_kW,Discharge_Power_kW,Usage_Power_kW,SOC_kWh,SOC_Percentage,Max_Capacity_kWh,Net_Power_kW
electric_vehicle_1,43,1,Charging,charging_station_2,0.0,0.0,0.0,0.15464,77.32,0.2,0.0
electric_vehicle_1,44,0,Driving,,0.0,0.0,0.004679999999999999,0.14996,74.98,0.2,-0.004679999999999999
electric_vehicle_1,45,0,Driving,,0.0,0.0,0.0048,0.14516,72.58,0.2,-0.0048
electric_vehicle_1,46,0,Driving,,0.0,0.0,0.00456,0.1406,70.3,0.2,-0.00456
electric_vehicle_1,47,0,Driving,,0.0,0.0,0.004079999999999999,0.13652,68.26,0.2,-0.004079999999999999
electric_vehicle_1,48,0,Driving,,0.0,0.0,0.0037199999999999998,0.1328,66.39999999999999,0.2,-0.0037199999999999998
electric_vehicle_1,49,0,Driving,,0.0,0.0,0.004919999999999999,0.12788,63.94,0.2,-0.004919999999999999
electric_vehicle_1,50,0,Driving,,0.0,0.0,0.004919999999999999,0.12296,61.480000000000004,0.2,-0.004919999999999999
electric_vehicle_1,51,0,Driving,,0.0,0.0,0.004919999999999999,0.11804,59.019999999999996,0.2,-0.004919999999999999
electric_vehicle_1,52,0,Driving,,0.0,0.0,0.004679999999999999,0.11336,56.68,0.2,-0.004679999999999999
electric_vehicle_1,53,0,Driving,,0.0,0.0,0.004079999999999999,0.10928,54.64,0.2,-0.004079999999999999
electric_vehicle_1,54,1,Charging,charging_station_1,0.0,0.0,0.0,0.10928,54.64,0.2,0.0
electric_vehicle_1,55,1,Charging,charging_station_1,0.0,0.0,0.0,0.10928,54.64,0.2,0.0
electric_vehicle_1,56,0,Driving,,0.0,0.0,0.004679999999999999,0.1046,52.29999999999999,0.2,-0.004679999999999999
electric_vehicle_1,57,0,Driving,,0.0,0.0,0.0048,0.0998,49.9,0.2,-0.0048
electric_vehicle_1,58,0,Driving,,0.0,0.0,0.00456,0.09524,47.620000000000005,0.2,-0.00456
