variable,ident,value,simulation
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7983e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_4
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,192.42,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_4
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-3.2554,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_4
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_4
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2200.9,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.0256e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8463e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.55,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.12939,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4401.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,2.0511e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7693e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.55,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.12939,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_5
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2201.8,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.7772e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.9004e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.89,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-19.745,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4403.6,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7554e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7801e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.89,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-19.745,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_6
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2196.8,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.1186e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.9438e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,192.81,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.12701,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4393.6,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,2.2372e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7888e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,192.81,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.12701,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_7
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2200.8,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8327e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8576e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.33,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-18.523,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,4401.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7665e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7715e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.33,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-18.523,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_8
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2214.5,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8749e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.9941e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,194.43,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,0.19618,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_9
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2211.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,6.8222e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.8185e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,193.74,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_10
