,electric_vehicle_1_charge,electric_vehicle_2_charge,electric_vehicle_1_discharge,electric_vehicle_2_discharge,electric_vehicle_1_usage,electric_vehicle_2_usage
timestep_77,0.0,0.0,0.0,0.0,0.004079999999999999,0.004079999999999999
timestep_78,0.0,0.0,0.0,0.0,0.0,0.0
timestep_79,0.0,0.02679999999999998,0.0,0.0,0.0,0.0
timestep_80,0.0,0.0,0.0,0.0,0.004679999999999999,0.004679999999999999
timestep_81,0.0,0.0,0.0,0.0,0.0048,0.0048
timestep_82,0.0,0.0,0.0,0.0,0.00456,0.00456
timestep_83,0.0,0.0,0.0,0.0,0.004079999999999999,0.004079999999999999
timestep_84,0.0,0.0,0.0,0.0,0.0037199999999999998,0.0037199999999999998
timestep_85,0.0,0.0,0.0,0.0,0.004919999999999999,0.004919999999999999
timestep_86,0.0,0.0,0.0,0.0,0.004919999999999999,0.004919999999999999
timestep_87,0.0,0.0,0.0,0.0,0.004919999999999999,0.004919999999999999
timestep_88,0.0,0.0,0.0,0.0,0.004679999999999999,0.004679999999999999
timestep_89,0.0,0.0,0.0,0.0,0.004079999999999999,0.004079999999999999
timestep_90,0.03,0.03,0.0,0.0,0.0,0.0
timestep_91,0.06,0.06,0.0,0.0,0.0,0.0
timestep_92,0.03,0.03,0.0,0.0,0.0,0.0
timestep_93,0.0,0.0,0.0,0.0,0.0,0.0
timestep_94,0.0,0.0,0.03,0.010000000000000002,0.0,0.0
timestep_95,0.0,0.0,0.03999999999999999,0.04,0.0,0.0
timestep_96,0.0,0.0,0.05000000000000001,0.07,0.0,0.0
