time_step,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_usage_kW,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_usage_kW,charging_station_1_power_kW,charging_station_2_power_kW,electricity_price_EUR_MWh,total_power_demand_kW
49,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
50,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
51,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
52,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
53,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
54,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.03,4183.9,0.0
55,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.03,4183.9,0.0
56,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
57,0.0,0.0,0.0048,0.0,0.0,0.0048,0.0,0.0,4183.9,0.0
58,0.0,0.0,0.00456,0.0,0.0,0.00456,0.0,0.0,4183.9,0.0
59,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
60,0.0,0.0,0.0037199999999999998,0.0,0.0,0.0037199999999999998,0.0,0.0,4183.9,0.0
61,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
62,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
63,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
64,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
65,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
66,0.0,0.02567999999999923,0.0,0.0,0.0,0.0,0.0,0.0,4183.9,0.0
67,0.0,0.010000000000000064,0.0,0.0,0.03,0.0,0.0,0.0,4183.9,0.0
68,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
69,0.0,0.0,0.0048,0.0,0.0,0.0048,0.0,0.0,4183.9,0.0
70,0.0,0.0,0.00456,0.0,0.0,0.00456,0.0,0.0,4183.9,0.0
71,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
72,0.0,0.0,0.0037199999999999998,0.0,0.0,0.0037199999999999998,0.0,0.0,4183.9,0.0
73,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
74,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
75,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
76,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
77,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
78,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.03,4183.9,0.026799999999998346
79,0.0,0.022160000000000915,0.0,0.0,0.017839999999999148,0.0,0.0,0.0,4183.9,0.0
80,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,4183.9,0.0
81,0.0,0.0,0.0048,0.0,0.0,0.0048,0.0,0.0,4183.9,0.0
82,0.0,0.0,0.00456,0.0,0.0,0.00456,0.0,0.0,4183.9,0.0
83,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,4183.9,0.0
84,0.0,0.0,0.0037199999999999998,0.0,0.0,0.0037199999999999998,0.0,0.0,4183.9,0.0
85,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
86,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
87,0.0,0.0,0.004919999999999999,0.0,0.0,0.004919999999999999,0.0,0.0,4183.9,0.0
88,0.0,0.0,0.004679999999999999,0.0,0.0,0.004679999999999999,0.0,0.0,2603.7,0.0
89,0.0,0.0,0.004079999999999999,0.0,0.0,0.004079999999999999,0.0,0.0,2603.7,0.0
90,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.03,2603.7,0.05999998804712828
91,0.06,0.0,0.0,0.06,0.0,0.0,0.06,0.06,2603.7,0.11999994674100611
92,0.06,0.0,0.0,0.060000000000000164,0.0,0.0,0.060000000000000754,0.06,2603.7,0.1199999140618977
93,0.03,0.0,0.0,0.030000000000000075,0.0,0.0,0.030000000000000235,0.03,2603.7,0.059999914061897155
94,0.0,0.010000000000000106,0.0,0.0,0.030000000000000054,0.0,0.0,0.0,2603.7,0.0
95,0.03000000000000009,0.0,0.0,0.030000000000000075,0.0,0.0,0.030000000000000096,0.03000000000000009,2603.7,0.05999994674100589
96,0.0,0.02249999999999998,0.0,0.0,0.017500000000000487,0.0,0.0,0.0,2603.7,0.0
97,0.0,0.05249999999999998,0.0,0.0,0.02750000000000047,0.0,0.0,0.0,2603.7,0.0
98,0.0,0.06250000000000047,0.0,0.0,0.05750000000000047,0.0,0.0,0.0,2603.7,0.0
99,0.0,0.06249999999999955,0.0,0.0,0.08750000000000047,0.0,0.0,0.0,2603.7,0.0
