,EOM
2018-12-31 20:00:00,2.727272727272727
2018-12-31 21:00:00,2.727272727272727
2018-12-31 22:00:00,35.22870541765233
2018-12-31 23:00:00,41.10257075286152
2019-01-01 00:00:00,36.01149805056902
2019-01-01 01:00:00,28.707529889780748
2019-01-01 02:00:00,31.769851577552988
2019-01-01 03:00:00,35.31209293006391
2019-01-01 04:00:00,39.41059344623629
2019-01-01 05:00:00,28.355919569229272
2019-01-01 06:00:00,27.1884173872348
2019-01-01 07:00:00,34.511852150537635
2019-01-01 08:00:00,40.76790961541344
2019-01-01 09:00:00,39.938731802310166
2019-01-01 10:00:00,34.26423209641577
2019-01-01 11:00:00,28.061789183937822
2019-01-01 12:00:00,2.727272727272727
2019-01-01 13:00:00,25.83062018661137
2019-01-01 14:00:00,30.038691430097685
2019-01-01 15:00:00,32.117168834296734
2019-01-01 16:00:00,31.848892569108777
2019-01-01 17:00:00,31.417157305480565
2019-01-01 18:00:00,36.49607949271061
2019-01-01 19:00:00,44.21054349729532
2019-01-01 20:00:00,40.6652502537082
2019-01-01 21:00:00,40.55670754397819
2019-01-01 22:00:00,41.89768585154941
2019-01-01 23:00:00,56.58352237569444
2019-01-02 00:00:00,43.47924670231482
2019-01-02 01:00:00,43.07721477724358
2019-01-02 02:00:00,47.45525621161262
2019-01-02 03:00:00,55.267246515612314
2019-01-02 04:00:00,50.395001861832405
2019-01-02 05:00:00,36.34908996309612
2019-01-02 06:00:00,31.46749100156495
2019-01-02 07:00:00,29.556248514625292
2019-01-02 08:00:00,35.8596898760094
2019-01-02 09:00:00,38.86017853880456
2019-01-02 10:00:00,40.84750655901033
2019-01-02 11:00:00,39.75108870291494
2019-01-02 12:00:00,40.08772155425012
2019-01-02 13:00:00,39.26646879127057
2019-01-02 14:00:00,40.96521060730057
2019-01-02 15:00:00,40.370064227666106
2019-01-02 16:00:00,35.20150165144638
2019-01-02 17:00:00,35.922872041102146
2019-01-02 18:00:00,36.00187271493977
2019-01-02 19:00:00,41.97969152663818
2019-01-02 20:00:00,39.87490853103088
2019-01-02 21:00:00,40.32627792016461
2019-01-02 22:00:00,34.57078326781614
2019-01-02 23:00:00,30.597552083333337
2019-01-03 00:00:00,2.727272727272727
2019-01-03 01:00:00,24.971482574884792
2019-01-03 02:00:00,24.957561297169743
2019-01-03 03:00:00,29.5532470657814
2019-01-03 04:00:00,33.952664704845816
2019-01-03 05:00:00,34.10906766282571
2019-01-03 06:00:00,36.818500125842775
2019-01-03 07:00:00,38.89304127521368
2019-01-03 08:00:00,38.2759383516137
2019-01-03 09:00:00,33.33469577618698
2019-01-03 10:00:00,28.86918125410914
2019-01-03 11:00:00,28.587398409165843
2019-01-03 12:00:00,32.996350133637534
2019-01-03 13:00:00,33.42235142378163
2019-01-03 14:00:00,33.10069002682613
2019-01-03 15:00:00,36.88858845270919
2019-01-03 16:00:00,32.407463826788344
2019-01-03 17:00:00,35.5582003433421
2019-01-03 18:00:00,36.81719545284699
2019-01-03 19:00:00,32.2918318445301
2019-01-03 20:00:00,28.31867272502473
2019-01-03 21:00:00,35.64288244004517
2019-01-03 22:00:00,37.106415509317415
2019-01-03 23:00:00,37.83311655663883
2019-01-04 00:00:00,38.61629655304299
2019-01-04 01:00:00,34.07934027777778
2019-01-04 02:00:00,34.578803203754916
2019-01-04 03:00:00,39.5225560265215
2019-01-04 04:00:00,37.61820026895205
2019-01-04 05:00:00,27.03371195874183
2019-01-04 06:00:00,2.727272727272727
2019-01-04 07:00:00,26.335038507109005
2019-01-04 08:00:00,26.440183933091618
2019-01-04 09:00:00,33.617637970163564
2019-01-04 10:00:00,30.48023734025865
2019-01-04 11:00:00,28.763628114261177
2019-01-04 12:00:00,25.535878996255757
2019-01-04 13:00:00,26.981192895561005
2019-01-04 14:00:00,2.727272727272727
2019-01-04 15:00:00,27.992695357245132
2019-01-04 16:00:00,28.007477444048643
2019-01-04 17:00:00,33.5924974379779
2019-01-04 18:00:00,27.99978971016839
2019-01-04 19:00:00,26.218752008078063
2019-01-04 20:00:00,26.8646863794247
2019-01-04 21:00:00,26.68626457166939
2019-01-04 22:00:00,26.517297538807192
2019-01-04 23:00:00,25.48123790481833
2019-01-05 00:00:00,2.727272727272727
2019-01-05 01:00:00,24.450039642537124
2019-01-05 02:00:00,28.644789854242987
2019-01-05 03:00:00,36.53955534641317
2019-01-05 04:00:00,36.54586198904395
2019-01-05 05:00:00,36.19180125025639
2019-01-05 06:00:00,36.00437370373517
2019-01-05 07:00:00,36.51910002264641
2019-01-05 08:00:00,32.76623437689672
2019-01-05 09:00:00,32.11768310355436
2019-01-05 10:00:00,28.866618660426113
2019-01-05 11:00:00,27.25314802631579
2019-01-05 12:00:00,32.81871326995071
2019-01-05 13:00:00,33.95623194395587
2019-01-05 14:00:00,38.148978747151915
2019-01-05 15:00:00,38.72116024835445
2019-01-05 16:00:00,37.73390339794582
2019-01-05 17:00:00,34.78499863772096
2019-01-05 18:00:00,29.24993420042971
2019-01-05 19:00:00,27.531207721646517
2019-01-05 20:00:00,33.02573832269877
2019-01-05 21:00:00,30.18249941314554
2019-01-05 22:00:00,32.6275284371909
2019-01-05 23:00:00,39.03684467515052
2019-01-06 00:00:00,39.778952231344306
2019-01-06 01:00:00,39.81492802387775
2019-01-06 02:00:00,41.42906310694445
2019-01-06 03:00:00,33.83719291907515
2019-01-06 04:00:00,32.08584821428571
2019-01-06 05:00:00,33.72889408776253
2019-01-06 06:00:00,37.75608965765356
2019-01-06 07:00:00,36.554175691402406
2019-01-06 08:00:00,36.905774794585795
