name,energy,capacity_pos,capacity_neg
KW BASF LUDWIGSHAFEN MITTE,flexable_eom,naive,naive
EMSLAND LINGEN B,flexable_eom,naive,naive
EMSLAND LINGEN C,flexable_eom,naive,naive
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,flexable_eom,naive,naive
BERLIN MITTE HKW,flexable_eom,naive,naive
GUD HUERTH KNAPSACK 2,flexable_eom,naive,naive
HKW MUENCHEN SUED GUD,flexable_eom,naive,naive
KW LAUSWARD BLOCK EMIL GUD,flexable_eom,naive,naive
KW HERDECKE CUNO MARK E,flexable_eom,naive,naive
GERSTEINWERK BLOCK F,flexable_eom,naive,naive
GERSTEINWERK BLOCK G,flexable_eom,naive,naive
KOELN NIEHL 2,flexable_eom,naive,naive
HAMM UENTROP BLOCK 10,flexable_eom,naive,naive
HAMM UENTROP BLOCK 20,flexable_eom,naive,naive
MAINZ III,flexable_eom,naive,naive
KW BASF LUDWIGSHAFEN SUED,flexable_eom,naive,naive
RDK (KARLSRUHE) 4RP,flexable_eom,naive,naive
HKW DRESDEN NOSSENER BRUECKE,flexable_eom,naive,naive
HKW HANNOVER LINDEN,flexable_eom,naive,naive
HKW DUISBURG WANHEIM IIIB,flexable_eom,naive,naive
HKW HAGEN KABEL,flexable_eom,naive,naive
HKW HOECHST BUSINESS PARK,flexable_eom,naive,naive
HKW JENA SUED,flexable_eom,naive,naive
HKW LEIPZIG NORD GUD,flexable_eom,naive,naive
KIRCHMOESER,flexable_eom,naive,naive
KW KIRCHLENGERN,flexable_eom,naive,naive
HKW MUENCHEN FREIMANN GUD,flexable_eom,naive,naive
HAMBURG TIEFSTACK GUD,flexable_eom,naive,naive
HKW SAARBRUECKEN ROEMERBRUECKE GUD,flexable_eom,naive,naive
GUD LEUNA,flexable_eom,naive,naive
HKW ERFURT OST,flexable_eom,naive,naive
GUD BITTERFELD ENVIA,flexable_eom,naive,naive
GUD ANLAGE RÜSSELSHEIM OPEL,flexable_eom,naive,naive
GUD ROSTOCK MARIENEHE,flexable_eom,naive,naive
HKW KOELN MERKENICH GUD,flexable_eom,naive,naive
GUD MUENSTER HAFEN,flexable_eom,naive,naive
KW LAUSWARD BLOCK ANTON GUD,flexable_eom,naive,naive
KW PLATTLING DAIMLER AG,flexable_eom,naive,naive
HALLE TROTHA,flexable_eom,naive,naive
HKW BARMEN I WUPPERTAL,flexable_eom,naive,naive
HKW POTSDAM SUED,flexable_eom,naive,naive
HKW FRANKFURT ODER AM HOHEN FELD,flexable_eom,naive,naive
HKW SANDREUTH 1 NUERNBERG,flexable_eom,naive,naive
HKW SANDREUTH 2 NUERNBERG,flexable_eom,naive,naive
HKW GUD NEUBRANDENBURG,flexable_eom,naive,naive
GUD GERA NORD,flexable_eom,naive,naive
