name,technology,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,fixed_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator,bidding_energy,bidding_capacity_pos,bidding_capacity_neg
HKW CHEMNITZ NORD II BLOCK A,open cycle gas turbine,natural gas,0.201,67.0,17.0,0.335,67.0,67.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,0.0,EINS ENERGIE IN SACHSEN GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
INDUSTRIEKRAFTWERK BERNBURG (IKB),open cycle gas turbine,natural gas,0.201,66.0,17.0,0.36,66.0,66.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,215.0,SOLVAY SA,flexable_eom,naive_pos_reserve,naive_neg_reserve
ALTBACH II GT E,open cycle gas turbine,natural gas,0.201,65.0,17.0,0.361,65.0,65.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KW OBERNBURG GT1,open cycle gas turbine,natural gas,0.201,64.0,16.0,0.36,64.0,64.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,112.0,AKZO NOBEL FIBERS BV,flexable_eom,naive_pos_reserve,naive_neg_reserve
GTKW BIELEFELD UMMELN,open cycle gas turbine,natural gas,0.201,60.0,15.0,0.31,60.0,60.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,STADTWERKE BIELEFELD GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
CHARLOTTENBURG GT 3,open cycle gas turbine,natural gas,0.201,60.0,15.0,0.308,60.0,60.0,5.5,17.1,21.8,29.6,0.0,0.0,yes,100.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KW LANDESBERGEN GT,open cycle gas turbine,natural gas,0.201,56.0,14.0,0.345,56.0,56.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,STATKRAFT AS,flexable_eom,naive_pos_reserve,naive_neg_reserve
GERSTEINWERK BLOCK I GT,open cycle gas turbine,natural gas,0.201,55.0,14.0,0.308,55.0,55.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,RWE POWER AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KW ZIELITZ,open cycle gas turbine,natural gas,0.201,52.0,13.0,0.41,52.0,52.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,K+S AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KW EMDEN BLOCK 4 GT,open cycle gas turbine,natural gas,0.201,50.0,13.0,0.308,50.0,50.0,5.5,17.1,21.8,29.6,0.0,0.0,no,0.0,STATKRAFT AS,flexable_eom,naive_pos_reserve,naive_neg_reserve
IKW GENDORF INFRASERV,open cycle gas turbine,natural gas,0.201,49.0,13.0,0.369,49.0,49.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,INFRASERV,flexable_eom,naive_pos_reserve,naive_neg_reserve
GTKW DARMSTADT GT 1,open cycle gas turbine,natural gas,0.201,47.0,12.0,0.396,47.0,47.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENTEGA AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
GTKW DARMSTADT GT 2,open cycle gas turbine,natural gas,0.201,47.0,12.0,0.396,47.0,47.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENTEGA AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
UPM SCHONGAU,open cycle gas turbine,natural gas,0.201,45.0,12.0,0.308,45.0,45.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,UPM OYJ,flexable_eom,naive_pos_reserve,naive_neg_reserve
WOLFEN ENVIA,open cycle gas turbine,natural gas,0.201,40.0,10.0,0.361,40.0,40.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENVIA MITTELDEUTSCHE ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
HKW DUISBURG WANHEIM IIIA,open cycle gas turbine,natural gas,0.201,40.0,10.0,0.36,40.0,40.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,STADTWERKE DUISBURG AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
KW LEUNA GT 3,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.36,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,STEAG GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
AHRENSFELDE GT D,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.353,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
AHRENSFELDE GT A,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.344,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
AHRENSFELDE GT B,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.344,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
THYROW GT E,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.344,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
AHRENSFELDE GT C,open cycle gas turbine,natural gas,0.201,38.0,10.0,0.343,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
INGOLSTADT 3,oil,oil,0.776,400.0,100.0,0.308,400.0,400.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
INGOLSTADT 4,oil,oil,0.776,400.0,100.0,0.308,400.0,400.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
MARBACH 3,oil,oil,0.776,275.0,70.0,0.308,275.0,275.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
LICHTERFELDE 1,oil,oil,0.776,150.0,40.0,0.298,150.0,150.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WALHEIM GT 1,oil,oil,0.776,120.0,30.0,0.326,120.0,120.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
BARMEN II,oil,oil,0.776,111.0,30.0,0.339,111.0,111.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,WSW - WUPPERTALER STADTWERKE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WILMERSDORF GT 2,oil,oil,0.776,110.0,30.0,0.307,110.0,110.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WILMERSDORF GT 3,oil,oil,0.776,110.0,30.0,0.307,110.0,110.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WERDOHL ELVERLINGSEN 2,oil,oil,0.776,107.0,30.0,0.307,107.0,107.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENERVIE - SUEDWESTFALEN ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
WERDOHL ELVERLINGSEN 1,oil,oil,0.776,98.0,25.0,0.308,98.0,98.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENERVIE - SUEDWESTFALEN ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
ALTBACH I GT 3,oil,oil,0.776,97.0,25.0,0.298,97.0,97.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
MITTELSBUEREN GT 3,oil,oil,0.776,88.0,22.0,0.308,88.0,88.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,SWB AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
FLINGERN GT 1,oil,oil,0.776,77.0,20.0,0.298,77.0,77.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
ALTBACH I GT 2,oil,oil,0.776,75.0,19.0,0.298,75.0,75.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
MARBACH 3 GT 1,oil,oil,0.776,60.0,15.0,0.35,60.0,60.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
MARIENEHE 1,oil,oil,0.776,60.0,15.0,0.35,60.0,60.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
WILHELMSHAVEN GT 1,oil,oil,0.776,56.0,14.0,0.308,56.0,56.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
NUERNBERG FRANKEN I GT 1,oil,oil,0.776,53.0,14.0,0.308,53.0,53.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,UNIPER,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEDEL GT 1,oil,oil,0.776,51.0,13.0,0.298,51.0,51.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
WEDEL GT 2,oil,oil,0.776,51.0,13.0,0.298,51.0,51.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,VATTENFALL EUROPE AG,flexable_eom,naive_pos_reserve,naive_neg_reserve
ALTBACH I NO 5 GT 1,oil,oil,0.776,50.0,13.0,0.298,50.0,50.0,5.5,20.7,35.8,45.1,0.0,0.0,no,0.0,ENBW ENERGIE BADEN-WURTTEMBERG,flexable_eom,naive_pos_reserve,naive_neg_reserve
PEISSENBERG 1,oil,oil,0.776,44.0,11.0,0.326,44.0,44.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,PEISSENBERGER KRAFTWERKS GMBH,flexable_eom,naive_pos_reserve,naive_neg_reserve
GROSSKAYNA GT 1,oil,oil,0.776,38.0,10.0,0.352,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENVIA MITTELDEUTSCHE ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
GROSSKAYNA GT 2,oil,oil,0.776,38.0,10.0,0.352,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENVIA MITTELDEUTSCHE ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
GROSSKAYNA GT 3,oil,oil,0.776,38.0,10.0,0.352,38.0,38.0,5.5,9.3,9.3,9.3,0.0,0.0,no,0.0,ENVIA MITTELDEUTSCHE ENERGIE,flexable_eom,naive_pos_reserve,naive_neg_reserve
