Timestamp,mcp,residual_demand
2018-12-31 20:00:00,13.027272727272727,7280.35915492958
2018-12-31 21:00:00,38.11032240905972,37920.375886524824
2018-12-31 22:00:00,33.356071367752534,27760.801418439718
2018-12-31 23:00:00,35.79524631365743,31648.457746478874
2019-01-01 00:00:00,35.691664535555546,32179.98581560284
2019-01-01 01:00:00,31.13556250890383,25435.212765957447
2019-01-01 02:00:00,41.17349230824633,46436.09859154931
2019-01-01 03:00:00,33.7143925156041,30374.156028368794
2019-01-01 04:00:00,13.027272727272727,9509.773049645393
2019-01-01 05:00:00,32.57426001398462,26800.822695035466
2019-01-01 06:00:00,32.74197893628992,26003.197183098593
2019-01-01 07:00:00,38.325285058620466,37510.75886524824
2019-01-01 08:00:00,43.38607319366335,43774.63829787235
2019-01-01 09:00:00,43.29341192960312,45527.373239436616
2019-01-01 10:00:00,45.61207967550406,50254.042553191495
2019-01-01 11:00:00,50.18780982652545,55117.42553191491
2019-01-01 12:00:00,51.495285186675716,55466.76595744682
2019-01-01 13:00:00,32.4465170645765,25774.542253521133
2019-01-01 14:00:00,37.19406753862188,34886.184397163124
2019-01-01 15:00:00,41.453268852456,42211.65957446808
2019-01-01 16:00:00,41.45849135390863,46577.387323943665
2019-01-01 17:00:00,40.70758713564311,43425.489361702144
2019-01-01 18:00:00,39.720884697619894,39678.482269503555
2019-01-01 19:00:00,37.29084668666525,36051.21985815604
2019-01-01 20:00:00,42.526761923845456,46304.823943661984
2019-01-01 21:00:00,36.91033657438061,34086.24113475178
2019-01-01 22:00:00,28.073170731707318,17352.248226950356
2019-01-01 23:00:00,26.60127140191114,11704.915492957747
2019-01-02 00:00:00,34.68222765726378,32149.85815602838
2019-01-02 01:00:00,36.68273879233977,38373.46099290781
2019-01-02 02:00:00,39.49687101137602,46336.24822695036
2019-01-02 03:00:00,33.737527026912005,31446.521126760563
2019-01-02 04:00:00,33.373174404073815,32307.914893617035
2019-01-02 05:00:00,34.8042754203226,35168.85815602837
2019-01-02 06:00:00,34.98751387320022,38117.35211267605
2019-01-02 07:00:00,37.56423558898427,43560.510638297885
2019-01-02 08:00:00,32.833412704003656,32247.872340425543
2019-01-02 09:00:00,37.53287507873213,41353.14893617022
2019-01-02 10:00:00,39.34319792806373,45798.528169014084
2019-01-02 11:00:00,35.64188679275716,34951.92907801418
2019-01-02 12:00:00,40.17037116179756,42590.8439716312
2019-01-02 13:00:00,28.71895501427403,18375.471830985924
2019-01-02 14:00:00,27.217842139343727,11557.021276595748
2019-01-02 15:00:00,32.420906484152745,27622.929078014193
2019-01-02 16:00:00,28.830361287718738,17359.063829787236
2019-01-02 17:00:00,28.107376218608813,14491.07746478873
2019-01-02 18:00:00,27.82302896931283,15481.581560283685
2019-01-02 19:00:00,32.19997967754538,27796.75886524823
2019-01-02 20:00:00,27.865976819225864,15873.47887323944
2019-01-02 21:00:00,29.879791054239146,20747.312056737588
2019-01-02 22:00:00,26.50401254167658,12542.574468085106
2019-01-02 23:00:00,13.027272727272727,9925.822695035455
2019-01-03 00:00:00,34.646456663529854,37328.37323943662
2019-01-03 01:00:00,35.910020442154256,38335.75177304965
2019-01-03 02:00:00,37.91540647121092,42442.6170212766
2019-01-03 03:00:00,31.950022667307223,30283.54929577466
2019-01-03 04:00:00,30.008532660717794,25472.432624113473
2019-01-03 05:00:00,35.04124000345315,34290.283687943265
2019-01-03 06:00:00,40.06071537478081,44008.581560283696
2019-01-03 07:00:00,37.03328465535738,38904.73943661973
2019-01-03 08:00:00,30.17052718035461,23297.98581560284
2019-01-03 09:00:00,32.5467977408691,28941.141843971633
2019-01-03 10:00:00,36.033362102050354,35843.43661971832
2019-01-03 11:00:00,41.138798452132036,42067.18439716313
2019-01-03 12:00:00,39.46951523303683,38967.886524822694
2019-01-03 13:00:00,33.802735779730774,25589.411347517733
2019-01-03 14:00:00,37.551751962078555,37026.739436619726
2019-01-03 15:00:00,38.40268337339798,34850.02127659575
2019-01-03 16:00:00,41.1078632970179,38919.87943262412
2019-01-03 17:00:00,38.05125728853462,32673.690140845072
2019-01-03 18:00:00,36.4408853688928,25826.503546099302
2019-01-03 19:00:00,36.95895825986443,26148.4255319149
2019-01-03 20:00:00,37.619867495754676,27456.007092198583
2019-01-03 21:00:00,32.215927710843374,15269.760563380281
2019-01-03 22:00:00,34.512331606217614,20463.156028368805
2019-01-03 23:00:00,13.027272727272727,9049.78723404255
2019-01-04 00:00:00,31.404952943467254,11812.97887323944
2019-01-04 01:00:00,36.62045564293547,24797.751773049655
2019-01-04 02:00:00,37.38524751297686,31389.893617021276
2019-01-04 03:00:00,35.83769513314968,25813.29787234043
2019-01-04 04:00:00,38.10142105166708,35404.140845070426
2019-01-04 05:00:00,35.986643679452605,26756.63829787235
2019-01-04 06:00:00,33.64129651082972,23658.4609929078
2019-01-04 07:00:00,35.5889521539548,27578.978873239448
2019-01-04 08:00:00,34.1951530532674,24308.531914893625
2019-01-04 09:00:00,37.97483054505585,35299.87943262412
2019-01-04 10:00:00,39.087782977671154,36910.78723404256
2019-01-04 11:00:00,37.96416145654638,36199.94366197183
2019-01-04 12:00:00,36.78447231013535,30913.907801418445
2019-01-04 13:00:00,31.090145373824036,18970.673758865247
2019-01-04 14:00:00,37.06360506732924,31498.44366197184
2019-01-04 15:00:00,37.19604173086519,35781.269503546115
2019-01-04 16:00:00,38.242932612005845,38097.36170212766
2019-01-04 17:00:00,34.69726634438306,26204.13475177306
2019-01-04 18:00:00,36.378357320585366,32435.55633802817
2019-01-04 19:00:00,36.594455492462586,31930.70921985816
