name,capacity,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE979595639073,3.04,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.04,2.736,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_33,DE125-380
SEE990507976062,6.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.6,5.94,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_34,way/29077623-220
SEE913803051882,1.024,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.024,0.9216,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_35,way/25044557-380
SEE984737129138,1.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.6,1.44,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_36,way/93278553-220
SEE978876536599,3,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3,2.7,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_37,way/25943440-220
SEE938935870958,1.52,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.52,1.368,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_38,way/22767509-380
SEE995541369856,2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2,1.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_39,DE155-380
SEE959442677670,2.233,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.233,2.0097,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_40,way/373967500-380
SEE909817520346,2.7,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.7,2.43,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_41,way/1024536785-380
SEE944347555529,2.16,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.16,1.944,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_42,way/156402422-220
SEE974949152857,6.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.5,5.85,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_43,way/152924508-220
SEE930624296063,3,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3,2.7,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_44,way/1223405794-220
SEE971065048545,2.496,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.496,2.2464,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_45,way/1024536785-380
SEE968425507361,2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2,1.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_46,DE155-380
SEE905867758128,2.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.5,2.25,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_47,DE171-220
SEE948840887729,1.632,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.632,1.4688,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_48,way/154869247-220
